# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/16/23  16:09:11                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 3656 (N) to 3679 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1      -1.0611      -0.0288      -1.0899
            2      -0.7842      -0.0331      -0.8174
            3      -0.7572      -0.0331      -0.7902
            4      -0.7398      -0.0293      -0.7691
            5      -1.1856      -0.0341      -1.2197
            6      -1.1360      -0.0319      -1.1679
            7      -0.8956      -0.0393      -0.9349
            8      -1.0283      -0.0409      -1.0692
            9      -1.1565      -0.0350      -1.1915
           10      -0.6921      -0.0350      -0.7271
           11      -0.8760      -0.0381      -0.9141
           12      -0.9293      -0.0341      -0.9634
           13      -0.8969      -0.0334      -0.9303
           14      -0.9679      -0.0327      -1.0006
           15      -0.6926      -0.0302      -0.7228
           16      -1.1901      -0.0361      -1.2263
           17      -0.6214      -0.0304      -0.6518
           18      -0.8318      -0.0285      -0.8602
           19      -0.7605      -0.0311      -0.7916
           20      -0.8458      -0.0309      -0.8767
           21      -0.8533      -0.0320      -0.8853
           22      -1.1837      -0.0352      -1.2188
           23      -0.8073      -0.0327      -0.8400
           24      -0.8103      -0.0371      -0.8474
           25      -1.0207      -0.0386      -1.0593
           26      -0.6071      -0.0358      -0.6429
           27      -0.4696      -0.0344      -0.5040
           28      -0.9470      -0.0341      -0.9812
           29      -0.9194      -0.0377      -0.9571
           30      -0.8848      -0.0311      -0.9159
           31      -1.1723      -0.0377      -1.2100
           32      -0.9402      -0.0332      -0.9735
           33      -1.1087      -0.0474      -1.1560
           34      -0.2342      -0.0298      -0.2640
           35       0.0219      -0.0276      -0.0057
           36      -0.8499      -0.0340      -0.8839
           37      -0.6783      -0.0333      -0.7116
           38      -0.9500      -0.0322      -0.9822
           39      -0.4830      -0.0324      -0.5154
           40       0.0632      -0.0352       0.0280
           41      -0.7455      -0.0373      -0.7827
           42      -1.4952      -0.0346      -1.5298
           43       0.1134      -0.0254       0.0880
           44      -0.1394      -0.0290      -0.1684
           45      -0.1596      -0.0289      -0.1886
           46      -0.9175      -0.0369      -0.9544
           47      -1.0511      -0.0412      -1.0923
           48      -0.9237      -0.0343      -0.9580
