# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/27/23  14:18:31                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Protein has 258 residues.
# You selected atoms 4260 (Na+) to 49205 (H2).
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1      -1.8570      -1.0702      -2.9272
            2       3.5166      -2.0100       1.5066
            3       0.2342      -1.2289      -0.9947
            4       0.6129      -1.4449      -0.8321
            5       5.0662      -1.5069       3.5592
            6      -0.9160      -1.4410      -2.3570
            7      -0.7023      -2.2134      -2.9157
            8       2.7665      -1.8213       0.9452
            9      -0.4531      -1.7519      -2.2049
           10       4.0316      -2.1173       1.9143
           11       4.3042      -1.3549       2.9492
           12      -1.5791      -2.8026      -4.3816
           13      -1.5507      -2.0181      -3.5688
           14       2.1421      -1.0180       1.1240
           15       0.8832      -1.4852      -0.6020
           16       3.2884      -1.8109       1.4775
           17      -0.3876      -2.1739      -2.5616
           18       0.6290      -1.7336      -1.1047
           19       2.5410      -1.7301       0.8109
           20      -1.6516      -1.3567      -3.0083
           21       0.0867      -1.4939      -1.4072
           22       1.4490      -1.2687       0.1803
           23       5.4355      -1.7365       3.6990
           24       3.3300      -2.4768       0.8532
           25       3.9606      -1.9909       1.9697
           26       3.0278      -1.6882       1.3396
           27       3.1103      -2.1978       0.9124
           28       3.4323      -1.6633       1.7691
           29       2.0728      -1.6106       0.4621
           30       4.0402      -0.9729       3.0673
           31       2.6615      -2.0278       0.6337
           32       2.4383      -1.6243       0.8139
           33       0.4218      -1.8728      -1.4509
           34      -0.2585      -1.8050      -2.0634
           35      -0.0971      -1.7465      -1.8437
           36       2.6090      -1.2893       1.3197
           37       5.1148      -1.7473       3.3675
           38       0.9638      -0.4576       0.5062
           39       2.2957      -1.8516       0.4441
           40       3.1886      -1.3386       1.8500
           41       0.6524      -1.7159      -1.0635
           42      -0.6469      -1.6449      -2.2918
           43       1.7534      -1.6991       0.0543
           44       4.4811      -1.5272       2.9539
           45       4.5815      -2.2072       2.3743
           46       5.6429      -1.1459       4.4969
           47       4.6062      -1.9170       2.6892
           48       3.8737      -1.9415       1.9323
           49       3.5878      -1.9130       1.6747
           50      -0.1038      -1.1609      -1.2647
           51       4.1893      -1.0576       3.1317
           52       2.7695      -0.9397       1.8297
           53      -0.8556      -1.6744      -2.5299
           54      -2.2765       0.3317      -1.9448
           55      -0.4923      -1.6511      -2.1434
           56       4.9737      -1.8882       3.0855
           57      -1.8217      -1.4646      -3.2862
           58      -2.2511      -1.3862      -3.6373
           59       0.8724       0.3139       1.1863
           60       3.4975      -2.0117       1.4858
           61       1.6561      -2.1313      -0.4752
           62       0.4417      -1.5890      -1.1474
           63      -0.0170      -1.9628      -1.9799
           64       1.2102      -1.3411      -0.1309
           65       6.5086      -0.7614       5.7472
           66       8.0991      -1.2076       6.8915
           67      -1.0600       0.1172      -0.9428
           68       2.4331      -1.7609       0.6722
           69       3.7626      -1.9469       1.8157
           70       5.8158      -1.9122       3.9035
           71       4.7345      -2.0974       2.6371
           72      -1.7986      -2.1479      -3.9465
           73       2.0470      -0.9227       1.1244
           74       2.0918      -0.9088       1.1829
           75      -5.5370       1.9824      -3.5546
           76       2.5189      -1.4617       1.0572
           77       2.7276      -0.0438       2.6838
           78       2.4610      -1.9170       0.5439
           79       5.3430      -1.2775       4.0655
           80      -0.1231      -1.3133      -1.4364
           81       3.2773      -1.4219       1.8554
           82       3.9117      -1.5861       2.3256
           83       2.9462      -1.2385       1.7078
           84       2.2260      -1.6698       0.5562
           85       0.7761      -1.3073      -0.5312
           86       2.1052      -0.5260       1.5791
           87      -1.6063      -2.0933      -3.6996
           88       2.4938      -1.3690       1.1248
           89      -0.7312      -1.7559      -2.4871
           90      -3.0049      -1.5446      -4.5495
           91       0.4182      -1.4943      -1.0762
           92       1.5427      -1.5650      -0.0223
           93       2.7300      -1.4714       1.2586
           94       2.0107      -1.6617       0.3490
           95       0.8642      -1.6573      -0.7930
           96       2.4740      -1.5865       0.8875
           97       3.2049      -1.4777       1.7271
           98       5.9923      -1.9178       4.0745
           99       1.4546      -1.6874      -0.2328
          100       2.3016      -1.6236       0.6780
          101       3.4745      -1.5792       1.8953
          102       0.1484      -1.5736      -1.4251
          103      -1.2282      -1.6713      -2.8995
          104       1.8997      -1.3772       0.5225
          105       4.0553      -1.3676       2.6877
          106      -6.0028      -1.3358      -7.3386
          107       0.3415      -1.6516      -1.3101
          108       1.9158      -1.1561       0.7596
          109       0.3154      -1.4172      -1.1018
          110       0.6492      -1.2728      -0.6237
          111       4.0053      -1.4167       2.5886
          112       1.4551      -1.3139       0.1412
          113      -1.5011      -0.8409      -2.3420
          114       3.3226      -1.0620       2.2605
          115       1.0119      -1.4098      -0.3979
          116       2.2845      -1.3962       0.8883
          117       1.6704      -0.7890       0.8814
          118       6.1962      -1.5263       4.6699
          119       2.8346      -2.0003       0.8343
          120       1.6510      -1.7879      -0.1369
          121       5.0881      -1.1595       3.9287
          122       2.4860      -1.4435       1.0425
          123       1.2933      -1.4430      -0.1497
          124       0.8336      -1.1390      -0.3054
          125       0.8644      -1.7894      -0.9250
          126       0.8398      -1.2298      -0.3900
          127       1.8265      -1.9005      -0.0740
          128      -1.9474      -1.5770      -3.5244
          129      -2.0221      -0.6951      -2.7172
          130       1.6928      -1.3766       0.3162
          131       6.0309      -1.2275       4.8034
          132       2.5628      -1.9002       0.6626
          133       3.5654      -1.7901       1.7753
          134       0.0061      -1.6169      -1.6107
          135       0.3052      -1.4229      -1.1177
          136       2.0404      -1.6641       0.3763
          137       4.2681      -1.5789       2.6892
          138      -0.3875      -1.7656      -2.1531
          139       6.9285      -1.8349       5.0936
          140       1.1239      -1.9166      -0.7927
          141       6.0287      -1.0225       5.0062
          142       2.1948      -1.8339       0.3608
          143       1.5824      -1.5487       0.0337
          144       5.9187      -0.9094       5.0092
          145       5.0703      -1.9177       3.1527
          146       4.2113      -0.9781       3.2331
          147       1.9236      -1.3658       0.5577
          148      -3.3746       1.1767      -2.1979
          149       2.5359      -1.5107       1.0252
          150      -7.3264       0.4227      -6.9037
          151       6.7877      -1.5254       5.2623
          152       2.2697      -1.4079       0.8618
          153      -5.8590       1.7615      -4.0975
          154      -4.5491       1.4726      -3.0765
          155       5.2667      -1.8256       3.4411
          156      -3.1108      -0.3378      -3.4486
          157       0.7653      -1.4741      -0.7088
          158       3.8643      -0.8375       3.0267
          159       7.9549      -1.5659       6.3889
          160      -7.5179       0.5245      -6.9934
          161       0.8833      -1.4844      -0.6011
          162       5.4799      -1.3875       4.0924
          163       2.7121      -1.8258       0.8864
          164       0.6563      -1.7641      -1.1079
          165       1.0015      -1.4837      -0.4822
          166       4.1319      -1.8929       2.2390
          167       6.5831      -1.3363       5.2467
          168       4.6858      -1.5419       3.1440
          169       5.9012      -1.4627       4.4385
