# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/27/23  14:18:31                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file PDBs/leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 708 (N) to 721 (O)
# NetCDF Frame dimension: 563
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1     -10.6456      -2.7637     -13.4093
            2     -13.0765      -2.2080     -15.2845
            3     -14.8578      -2.5760     -17.4338
            4     -10.9590      -3.4630     -14.4221
            5     -14.6134      -0.8289     -15.4423
            6      -9.4652      -3.9546     -13.4198
            7     -14.1186      -1.1701     -15.2887
            8     -12.4689      -3.1803     -15.6492
            9      -7.5268      -3.1218     -10.6486
           10     -14.1323      -2.7209     -16.8532
           11     -14.1559      -0.6900     -14.8460
           12      -7.7603      -2.9435     -10.7039
           13     -10.9237      -3.2693     -14.1930
           14     -11.2545      -3.5276     -14.7821
           15     -12.4005      -3.4091     -15.8096
           16     -12.3716      -2.2509     -14.6225
           17     -11.7364      -4.0961     -15.8325
           18     -10.9426      -3.6729     -14.6155
           19     -11.3684      -2.7613     -14.1297
           20     -14.1513      -1.9985     -16.1498
           21     -13.5673      -3.2264     -16.7937
           22     -13.1087      -3.2489     -16.3576
           23     -15.3886      -1.7786     -17.1672
           24     -12.6753      -2.0745     -14.7498
           25     -10.0515      -3.4584     -13.5099
           26      -9.1983      -3.6820     -12.8803
           27     -15.6720      -0.4582     -16.1301
           28     -16.7645       0.4991     -16.2654
           29     -15.6296      -1.8040     -17.4336
           30     -12.7998      -3.2064     -16.0063
           31     -14.5319      -1.4373     -15.9692
           32     -16.8240       0.7695     -16.0546
           33     -13.1365      -2.6348     -15.7714
           34     -16.9301      -0.2306     -17.1608
           35     -13.3092      -0.6949     -14.0042
           36      -8.3343      -3.5372     -11.8715
           37     -12.9150      -2.2114     -15.1264
           38     -11.0459      -3.4075     -14.4534
           39     -14.7780      -0.4944     -15.2724
           40     -10.5243      -2.7764     -13.3007
           41     -16.6454      -1.2748     -17.9202
           42     -15.1628      -2.0396     -17.2024
           43     -11.2522      -2.7642     -14.0164
           44      -6.1172      -2.5632      -8.6804
           45      -8.2406      -3.0458     -11.2863
           46     -15.2598      -1.6098     -16.8696
           47     -17.1221      -0.7232     -17.8453
