# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/27/23  14:18:31                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 1489 (N) to 1512 (O)
# NetCDF Frame dimension: 368
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1      -9.4872      -0.9040     -10.3912
            2     -11.5900      -0.3104     -11.9004
            3     -12.7779      -0.3865     -13.1645
            4     -13.2057       0.4233     -12.7824
            5     -10.5467      -0.6718     -11.2185
            6     -13.4438      -0.2830     -13.7269
            7     -10.6142      -0.5990     -11.2132
            8      -9.7277      -0.3990     -10.1267
            9     -11.9083      -0.3746     -12.2829
           10     -16.2445       0.2945     -15.9500
           11     -14.1794       0.3050     -13.8744
           12     -10.8771      -0.6373     -11.5144
           13     -11.9589      -0.6350     -12.5939
           14     -10.8001      -0.6839     -11.4840
           15     -14.3821       0.0267     -14.3554
           16     -14.8938       0.2028     -14.6910
           17     -15.1890      -0.5525     -15.7415
           18     -13.2964       0.5725     -12.7239
           19     -10.5056      -0.6805     -11.1861
           20      -9.3002      -0.6853      -9.9855
           21     -12.5782      -0.3732     -12.9514
           22     -12.7732      -0.5392     -13.3124
           23      -9.3100      -0.6520      -9.9621
           24     -11.6451      -0.6187     -12.2637
           25     -11.9009       0.0552     -11.8457
           26     -11.3122      -0.6586     -11.9708
           27     -14.6846       0.7529     -13.9317
           28     -14.8266       2.2131     -12.6136
           29     -13.8552      -0.3759     -14.2311
           30     -12.4683      -0.4591     -12.9274
           31      -8.8362      -0.4846      -9.3207
           32     -13.8971      -0.5440     -14.4411
           33     -13.0957      -0.4537     -13.5494
           34     -10.9288      -0.6812     -11.6100
           35     -14.6660       0.6088     -14.0572
           36      -6.2300      -0.3394      -6.5694
           37     -10.0784      -0.5755     -10.6540
           38     -11.4478      -0.5074     -11.9551
           39     -14.4021       0.4564     -13.9458
           40     -11.4892      -0.5775     -12.0668
           41     -11.4169      -0.7234     -12.1403
           42     -10.6470      -0.1208     -10.7677
           43     -14.1971      -0.3274     -14.5245
           44     -11.0674      -0.6747     -11.7420
           45     -11.8826      -0.6708     -12.5534
           46     -10.7805      -0.6151     -11.3956
           47     -12.5383      -0.5559     -13.0942
           48     -12.2059      -0.6226     -12.8284
           49     -12.7112      -0.4061     -13.1173
           50     -14.3933       0.3715     -14.0218
           51     -12.5635      -0.6967     -13.2602
           52     -13.0533       0.1889     -12.8644
           53     -12.2048      -0.4817     -12.6865
           54     -12.3037      -0.5481     -12.8518
           55     -10.5330      -0.6619     -11.1950
           56      -9.6216      -0.6612     -10.2828
           57     -15.2370       1.6484     -13.5886
           58     -12.0790      -0.5650     -12.6441
           59     -13.3207      -0.4493     -13.7699
           60     -10.2342      -0.6507     -10.8849
           61     -11.1031      -0.6171     -11.7202
           62     -16.0061       2.0777     -13.9283
           63     -12.3162      -0.1380     -12.4542
           64     -10.5919      -0.6202     -11.2122
           65     -13.2001      -0.1704     -13.3705
           66     -14.2271      -0.5949     -14.8220
           67     -11.5166      -0.5856     -12.1022
           68     -14.6094      -0.2323     -14.8417
           69     -11.9440      -0.3698     -12.3138
           70     -12.5799      -0.4187     -12.9986
           71     -12.4695      -0.1785     -12.6479
           72      -9.7183      -0.5325     -10.2508
           73     -10.5732      -0.5920     -11.1652
           74     -12.4527       0.4408     -12.0119
           75     -15.8044       0.2531     -15.5513
           76     -13.3888       0.0100     -13.3788
           77     -13.8453       0.3223     -13.5231
           78     -16.1656      -0.0856     -16.2512
           79     -11.6241      -0.5971     -12.2212
           80     -10.3546      -0.6426     -10.9972
           81     -10.6101      -0.6362     -11.2464
           82      -8.7143      -0.5732      -9.2875
           83     -12.4413      -0.6674     -13.1087
           84     -10.4025      -0.6207     -11.0233
           85     -14.4468       0.4531     -13.9937
           86     -12.0600      -0.5661     -12.6261
           87      -9.5752      -0.5054     -10.0805
           88      -9.3660      -0.6606     -10.0266
           89      -8.9692      -0.5836      -9.5528
           90     -13.5930       1.0101     -12.5829
           91     -10.5890      -0.6555     -11.2444
           92     -10.8251      -0.6300     -11.4551
           93     -11.4645      -0.6274     -12.0919
           94     -11.0494      -0.7004     -11.7497
           95     -10.6785      -0.4139     -11.0924
           96     -12.1785      -0.6504     -12.8288
           97      -9.1667      -0.6478      -9.8145
           98      -8.9416      -0.5183      -9.4600
           99     -11.9709      -0.5475     -12.5183
          100      -7.7355      -0.5156      -8.2512
