# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/27/23  14:18:31                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file PDBs/leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 368 (N) to 381 (O)
# NetCDF Frame dimension: 563
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1       0.0975      -0.0094       0.0880
            2       0.0825      -0.0088       0.0737
            3       0.0723      -0.0074       0.0649
            4       0.0656      -0.0099       0.0557
            5       0.0831      -0.0122       0.0709
            6       0.0959      -0.0078       0.0881
            7       0.0520      -0.0053       0.0467
            8       0.0511      -0.0062       0.0449
            9       0.0469      -0.0149       0.0320
           10       0.0607      -0.0136       0.0471
           11       0.0753      -0.0090       0.0663
           12       0.0800      -0.0159       0.0641
           13       0.0791      -0.0108       0.0683
           14       0.0323      -0.0110       0.0213
           15       0.0870      -0.0082       0.0788
           16       0.0299      -0.0128       0.0171
           17       0.0593      -0.0125       0.0468
           18       0.0735      -0.0119       0.0616
           19       0.0655      -0.0068       0.0587
           20       0.0678      -0.0067       0.0612
           21       0.0963      -0.0127       0.0836
           22       0.0689      -0.0073       0.0615
           23       0.0191      -0.0095       0.0096
           24       0.0733      -0.0077       0.0656
           25       0.0711      -0.0093       0.0618
           26       0.0399      -0.0094       0.0305
           27       0.0422      -0.0076       0.0346
           28       0.1057      -0.0111       0.0946
           29       0.0528      -0.0086       0.0442
           30       0.0358      -0.0110       0.0248
           31       0.0833      -0.0076       0.0757
           32       0.0509      -0.0134       0.0375
           33       0.0283      -0.0105       0.0178
           34       0.0025      -0.0146      -0.0121
           35       0.0854      -0.0089       0.0765
           36       0.0269      -0.0065       0.0205
           37       0.0898      -0.0103       0.0795
           38       0.0503      -0.0133       0.0370
           39       0.0473      -0.0095       0.0378
           40      -0.0075      -0.0085      -0.0160
           41       0.0376      -0.0097       0.0279
           42       0.0651      -0.0091       0.0560
           43       0.0631      -0.0085       0.0546
           44       0.0411      -0.0085       0.0326
           45       0.0560      -0.0089       0.0471
           46       0.0331      -0.0083       0.0248
           47       0.0317      -0.0071       0.0246
           48       0.0347      -0.0092       0.0255
           49       0.1058      -0.0099       0.0959
           50       0.0549      -0.0093       0.0455
           51       0.0777      -0.0089       0.0688
           52       0.0732      -0.0120       0.0612
           53       0.0246      -0.0085       0.0161
           54       0.0804      -0.0065       0.0739
           55       0.1093      -0.0077       0.1015
           56       0.0173      -0.0058       0.0115
           57       0.1046      -0.0088       0.0958
           58       0.0950      -0.0096       0.0854
           59       0.0824      -0.0108       0.0716
           60       0.0482      -0.0084       0.0398
           61       0.0894      -0.0102       0.0792
           62       0.0346      -0.0135       0.0211
           63       0.1009      -0.0102       0.0907
           64       0.0963      -0.0094       0.0868
           65       0.0761      -0.0083       0.0678
           66       0.0666      -0.0079       0.0587
           67       0.0412      -0.0062       0.0349
           68       0.0543      -0.0065       0.0477
           69       0.0165      -0.0076       0.0089
           70       0.0747      -0.0072       0.0674
           71       0.0744      -0.0057       0.0687
           72       0.0769      -0.0084       0.0685
           73       0.1415      -0.0109       0.1307
           74       0.0782      -0.0076       0.0707
           75       0.0994      -0.0072       0.0922
           76       0.1060      -0.0078       0.0982
           77       0.0876      -0.0069       0.0808
           78       0.1091      -0.0081       0.1009
           79       0.0538      -0.0079       0.0459
           80       0.0869      -0.0091       0.0778
           81       0.0643      -0.0103       0.0540
           82       0.0630      -0.0063       0.0567
           83       0.0856      -0.0058       0.0798
           84       0.1043      -0.0070       0.0972
           85       0.0679      -0.0079       0.0600
           86       0.1010      -0.0080       0.0930
           87       0.0539      -0.0063       0.0475
           88       0.0993      -0.0082       0.0910
           89       0.0562      -0.0071       0.0491
           90       0.0639      -0.0062       0.0577
           91      -0.0044      -0.0087      -0.0131
           92       0.0113      -0.0099       0.0014
