# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/27/23  14:18:31                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 1928 (N) to 1938 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1      -0.3069      -0.1043      -0.4112
            2      -0.0975      -0.0963      -0.1938
            3      -0.0907      -0.0987      -0.1893
            4      -0.2319      -0.1158      -0.3477
            5      -0.4113      -0.1478      -0.5592
            6      -0.0607      -0.1379      -0.1986
            7      -0.2151      -0.1070      -0.3221
            8      -0.6750      -0.2158      -0.8908
            9      -0.1895      -0.1394      -0.3289
           10      -0.0884      -0.0995      -0.1879
           11      -0.2371      -0.1635      -0.4006
           12       0.0582      -0.1295      -0.0713
           13       0.1252      -0.1259      -0.0007
           14      -0.3641      -0.1139      -0.4780
           15      -0.1200      -0.1608      -0.2808
           16      -0.7724      -0.1291      -0.9015
           17      -0.1750      -0.1231      -0.2981
           18       0.0785      -0.1075      -0.0290
           19       0.1812      -0.1279       0.0534
           20      -0.2868      -0.1847      -0.4715
           21       0.0796      -0.1469      -0.0674
           22      -0.2662      -0.1281      -0.3943
           23      -0.0376      -0.1804      -0.2180
           24      -0.1740      -0.1057      -0.2797
           25      -0.2669      -0.1789      -0.4458
           26      -0.0554      -0.1394      -0.1948
           27      -0.6749      -0.1434      -0.8183
           28      -0.7329      -0.1516      -0.8845
           29       0.0256      -0.1128      -0.0873
           30      -0.3290      -0.1417      -0.4707
           31      -0.5862      -0.1403      -0.7264
           32      -0.5354      -0.1092      -0.6446
           33       0.2229      -0.1043       0.1186
           34      -0.3930      -0.0863      -0.4792
           35      -0.8324      -0.1434      -0.9758
           36      -0.0244      -0.1171      -0.1415
           37      -0.5084      -0.1103      -0.6187
           38      -0.2685      -0.0753      -0.3438
           39      -0.5977      -0.1000      -0.6977
           40      -0.6530      -0.1233      -0.7763
           41      -0.7072      -0.2374      -0.9446
           42      -0.0456      -0.1661      -0.2117
           43      -0.0730      -0.1325      -0.2055
           44      -0.0885      -0.1103      -0.1988
           45      -0.1889      -0.1598      -0.3487
           46       0.0273      -0.1345      -0.1072
           47      -0.3579      -0.1625      -0.5203
           48      -0.3234      -0.1555      -0.4790
           49      -0.1433      -0.1287      -0.2720
           50       0.0612      -0.0762      -0.0150
           51      -0.0080      -0.1100      -0.1179
           52       0.0838      -0.0843      -0.0005
           53      -0.3064      -0.0599      -0.3663
           54      -0.0595      -0.1243      -0.1839
           55       0.2967      -0.1408       0.1559
           56      -1.1970      -0.5047      -1.7017
           57       0.1469      -0.2140      -0.0671
           58       0.0820      -0.1455      -0.0635
           59       0.2159      -0.1144       0.1016
           60      -0.0367      -0.1512      -0.1879
           61      -0.1271      -0.2529      -0.3800
           62      -0.1429      -0.1761      -0.3190
           63      -0.4246      -0.1851      -0.6097
           64      -0.0339      -0.1533      -0.1872
           65       0.0913      -0.1296      -0.0384
           66      -0.0451      -0.1868      -0.2319
           67      -0.8718      -0.3059      -1.1777
           68       0.0263      -0.1541      -0.1278
           69      -0.2327      -0.1714      -0.4041
           70      -0.6812      -0.1935      -0.8747
           71      -0.8805      -0.2150      -1.0955
           72      -0.0189      -0.1282      -0.1471
           73       0.0089      -0.1655      -0.1566
           74      -0.0261      -0.0899      -0.1160
           75       0.1793      -0.1539       0.0253
           76      -0.3039      -0.1201      -0.4240
           77      -0.0367      -0.0787      -0.1154
           78       0.2261      -0.1447       0.0814
           79      -0.1068      -0.0932      -0.2000
           80      -0.0721      -0.0998      -0.1719
           81       0.0112      -0.1187      -0.1075
           82      -0.6970      -0.1354      -0.8324
           83      -0.0571      -0.1658      -0.2228
           84       0.2643      -0.2083       0.0560
           85      -0.0777      -0.1810      -0.2587
           86      -0.0351      -0.1593      -0.1944
           87       0.1647      -0.3066      -0.1419
           88      -0.6281      -0.2990      -0.9272
           89       0.2375      -0.1087       0.1288
           90       0.3071      -0.1459       0.1612
           91       0.0707      -0.1060      -0.0353
           92      -0.2175      -0.1913      -0.4088
           93      -0.0089      -0.1253      -0.1342
           94      -0.0138      -0.0904      -0.1043
           95       0.1273      -0.1168       0.0105
           96      -0.2603      -0.0945      -0.3548
           97       0.0276      -0.1081      -0.0806
           98      -0.4354      -0.1237      -0.5591
           99       0.2519      -0.2512       0.0006
          100      -0.1586      -0.0991      -0.2577
          101      -0.0142      -0.1151      -0.1293
          102       0.1479      -0.1086       0.0393
          103      -0.6522      -0.2038      -0.8560
          104      -0.0739      -0.1090      -0.1829
          105      -0.4129      -0.1735      -0.5864
          106      -0.3566      -0.1060      -0.4626
          107       0.0897      -0.1235      -0.0338
          108       0.1805      -0.0947       0.0858
          109      -0.4485      -0.1369      -0.5855
          110       0.2087      -0.1481       0.0606
          111       0.1357      -0.1178       0.0179
          112      -0.0241      -0.2087      -0.2328
          113       0.0384      -0.1599      -0.1215
          114      -0.2652      -0.1799      -0.4451
          115      -0.0351      -0.1468      -0.1818
          116      -0.0936      -0.1630      -0.2566
          117       0.1095      -0.0895       0.0200
          118       0.0657      -0.1140      -0.0483
          119      -0.5886      -0.1925      -0.7812
          120       0.2088      -0.1477       0.0610
          121       0.1005      -0.1197      -0.0193
          122      -0.0316      -0.1019      -0.1334
          123       0.1303      -0.1283       0.0020
          124       0.2612      -0.1742       0.0870
          125       0.1028      -0.2210      -0.1183
