# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/27/23  14:18:31                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file PDBs/leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 1383 (N) to 1393 (O)
# NetCDF Frame dimension: 563
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1       1.6306      -3.1008      -1.4702
            2       1.4589      -3.6999      -2.2410
            3       1.7930      -4.3223      -2.5293
            4       0.4753      -3.4771      -3.0017
            5       0.9633      -3.8795      -2.9162
            6       2.2588      -3.4861      -1.2273
            7       0.7439      -3.4411      -2.6972
            8       1.4450      -2.9401      -1.4951
            9       1.1274      -3.5434      -2.4160
           10       0.8191      -3.6176      -2.7986
           11       1.4544      -3.6478      -2.1934
           12       1.3738      -3.4101      -2.0363
           13       1.7042      -3.4894      -1.7852
           14       2.3786      -3.5350      -1.1564
           15       1.0133      -3.5360      -2.5227
           16       0.8596      -3.4864      -2.6269
           17       1.6451      -3.1960      -1.5509
           18       1.4478      -3.9094      -2.4616
           19       1.2495      -3.2419      -1.9923
           20       2.4252      -3.4831      -1.0579
           21       2.0269      -3.4869      -1.4600
           22       2.0668      -2.7573      -0.6904
           23       0.7481      -3.3606      -2.6126
           24       1.5826      -3.1709      -1.5882
           25       1.0353      -3.0309      -1.9957
           26       0.6185      -2.6474      -2.0289
           27       1.3048      -2.6344      -1.3296
           28       2.4071      -4.1081      -1.7010
           29       1.5661      -3.4709      -1.9048
           30       1.2550      -3.6420      -2.3870
           31       0.9455      -3.2625      -2.3170
           32       1.4028      -3.9898      -2.5870
           33       0.6558      -3.8106      -3.1548
           34      -0.5560      -3.4369      -3.9929
           35       0.6155      -1.9673      -1.3518
           36       1.0068      -2.8125      -1.8057
           37       1.6829      -1.9170      -0.2341
           38       0.8688      -4.0129      -3.1441
           39       1.5346      -3.3197      -1.7851
           40       1.0547      -2.8828      -1.8281
           41       1.1851      -3.3218      -2.1368
           42       0.6361      -3.5532      -2.9171
           43       0.8761      -3.2394      -2.3634
           44       1.1838      -2.6984      -1.5145
           45       1.5650      -2.8339      -1.2689
           46       1.5322      -2.8004      -1.2681
           47       1.0937      -3.0603      -1.9666
           48       1.9078      -3.0471      -1.1394
           49       1.5297      -3.2413      -1.7116
           50       1.6849      -3.7109      -2.0259
           51       1.6307      -2.3463      -0.7156
           52       2.0254      -2.5170      -0.4915
           53       1.1581      -3.4515      -2.2934
           54       3.4855      -3.7353      -0.2498
           55       1.3308      -3.3536      -2.0228
           56       0.8741      -3.4394      -2.5653
           57       1.4315      -2.0437      -0.6122
           58       1.4098      -3.2809      -1.8711
           59       1.7038      -4.1617      -2.4579
           60       1.4775      -3.4992      -2.0217
           61       1.7320      -3.6085      -1.8765
           62       1.0705      -3.5688      -2.4983
           63       0.0130      -3.4851      -3.4721
           64       1.6405      -3.3757      -1.7352
           65       1.0965      -2.3735      -1.2770
           66       1.8621      -3.2408      -1.3787
           67       1.9056      -3.0331      -1.1274
           68       2.1721      -3.1903      -1.0182
           69       1.2898      -2.7657      -1.4759
           70       2.2368      -2.3625      -0.1257
           71       2.3720      -3.2835      -0.9115
           72       1.4162      -3.0827      -1.6665
           73       2.4648      -3.6331      -1.1683
           74       1.5635      -2.9636      -1.4002
           75       1.1302      -3.4376      -2.3074
           76       0.9670      -3.2252      -2.2583
           77       1.3193      -2.4955      -1.1761
           78       1.1810      -3.3102      -2.1292
           79       1.5451      -3.5783      -2.0332
           80       2.9708      -3.3838      -0.4130
           81       2.4704      -2.7366      -0.2662
           82       1.0394      -2.4903      -1.4509
           83       0.5786      -1.2572      -0.6786
           84       0.8297      -2.2085      -1.3788
           85       0.7853      -1.7225      -0.9372
           86       1.8659      -3.3388      -1.4729
           87      -0.3226      -1.3790      -1.7016
           88       0.8856      -2.6234      -1.7378
           89       1.2238      -2.8150      -1.5912
           90       0.1362      -3.2703      -3.1341
           91       1.3420      -2.6591      -1.3171
           92       1.0429      -3.0952      -2.0523
           93       0.6405      -2.6539      -2.0135
           94       1.2592      -3.3961      -2.1370
           95       0.4647      -3.6889      -3.2242
           96       2.1323      -3.7455      -1.6132
           97       0.6928      -3.2577      -2.5649
           98       1.0763      -2.3881      -1.3118
           99       1.1860      -2.3857      -1.1996
          100       0.9038      -3.3424      -2.4386
          101       1.1515      -2.9529      -1.8014
          102       0.9647      -3.1234      -2.1588
          103       1.5366      -1.6055      -0.0689
          104       0.4296      -2.2919      -1.8623
          105       0.5741      -3.2269      -2.6529
          106       2.1783      -3.3388      -1.1605
          107       2.7946      -3.3893      -0.5947
          108       2.0327      -2.1449      -0.1122
          109       0.9381      -2.6392      -1.7010
          110       1.8974      -2.2747      -0.3773
          111       1.0086      -1.9790      -0.9704
          112       1.3233      -2.8162      -1.4928
          113       2.8396      -3.5439      -0.7043
          114       0.4383      -3.4546      -3.0163
          115       1.7437      -3.2869      -1.5431
          116       0.9204      -2.8896      -1.9692
          117       1.0223      -3.4888      -2.4665
          118       1.0211      -3.2636      -2.2426
          119       0.5062      -2.3476      -1.8414
          120       1.6654      -2.1310      -0.4656
          121       2.4385      -3.6501      -1.2117
          122       1.0253      -3.3667      -2.3413
          123       1.3451      -3.2921      -1.9470
          124       2.1461      -3.1205      -0.9744
          125       1.4791      -3.2826      -1.8035
          126       1.7996      -3.2629      -1.4633
          127       0.8802      -3.4622      -2.5820
          128       1.2220      -2.6451      -1.4231
          129       1.5206      -3.0651      -1.5445
          130       1.5536      -3.4128      -1.8592
          131       1.6029      -2.6661      -1.0632
          132       0.9294      -3.3462      -2.4168
          133       1.3822      -3.4909      -2.1087
          134       1.2817      -2.9316      -1.6499
          135       1.2897      -2.6171      -1.3274
          136       1.0592      -3.4195      -2.3604
          137       1.0014      -3.6021      -2.6007
          138       1.3573      -3.2326      -1.8753
          139       1.1217      -3.0773      -1.9556
          140       1.5225      -3.1710      -1.6484
          141       1.5556      -3.7504      -2.1948
          142       1.7055      -3.4560      -1.7504
          143       1.7927      -2.8723      -1.0796
          144       1.5486      -3.0873      -1.5387
          145       1.6618      -3.2737      -1.6119
          146       2.2422      -3.1739      -0.9317
          147       2.7399      -3.5225      -0.7825
          148       1.4831      -3.3521      -1.8690
          149       1.7003      -2.9957      -1.2954
          150       2.1497      -3.3186      -1.1688
          151       1.3666      -3.4223      -2.0558
          152       1.4742      -2.6982      -1.2240
          153       0.8476      -2.0332      -1.1857
          154       1.5639      -3.2507      -1.6868
          155       1.2917      -2.6651      -1.3733
          156       0.9460      -3.4526      -2.5066
          157       2.1081      -3.5568      -1.4487
          158       1.5587      -3.3543      -1.7956
          159       0.4609      -2.9601      -2.4992
          160       1.1279      -2.2353      -1.1073
