# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/27/23  14:18:31                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file PDBs/leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 3622 (N) to 3635 (O)
# NetCDF Frame dimension: 563
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1      -5.6384      -1.0798      -6.7181
            2      -6.4545       0.0979      -6.3567
            3      -7.7796       2.6506      -5.1290
            4      -4.3476       0.3676      -3.9799
            5      -3.6914      -0.9876      -4.6790
            6      -4.2369      -1.5417      -5.7786
            7      -5.7688       0.6453      -5.1235
            8      -9.5824       2.7247      -6.8578
            9      -4.4870      -1.3420      -5.8290
           10      -3.8362      -1.7684      -5.6045
           11      -6.7843      -0.0219      -6.8062
           12      -5.0231      -1.0597      -6.0828
           13      -4.5369      -1.2778      -5.8146
           14      -4.3319      -0.4434      -4.7753
           15      -7.3594      -0.4289      -7.7883
           16      -3.5705      -1.1896      -4.7601
           17      -6.8956      -0.5685      -7.4641
           18      -6.7758      -0.6257      -7.4015
           19      -5.8087      -1.1132      -6.9219
           20      -8.0793       0.3119      -7.7673
           21      -3.0963      -1.7488      -4.8451
           22      -7.6291       1.0085      -6.6206
           23      -5.7239      -1.0267      -6.7505
           24      -6.1295      -0.8229      -6.9524
           25      -7.0941      -0.3646      -7.4587
           26      -5.9965      -1.0903      -7.0869
           27      -8.2259      -0.5689      -8.7948
           28      -8.3731       0.2637      -8.1094
           29      -7.4288       0.0476      -7.3812
           30      -5.4774      -0.3591      -5.8365
           31      -6.4521       1.0106      -5.4415
           32      -6.4399      -1.7648      -8.2047
           33      -8.6507       1.4716      -7.1792
           34      -6.7375      -0.9102      -7.6477
           35      -4.8843      -1.8444      -6.7287
           36      -6.7833       0.5385      -6.2448
           37      -6.0315      -0.3884      -6.4200
           38      -5.3505      -0.1771      -5.5276
           39      -8.1444      -0.8506      -8.9949
           40      -7.3508      -0.8042      -8.1550
           41      -8.6640      -0.3431      -9.0070
           42      -5.2032      -0.9271      -6.1303
           43      -4.5670      -1.5015      -6.0684
           44      -4.4063      -1.7468      -6.1531
           45      -4.3098      -1.6566      -5.9664
           46      -6.9348      -0.2129      -7.1477
           47      -4.6978      -1.8693      -6.5671
           48      -7.1111      -1.0461      -8.1573
           49      -6.7766      -0.6836      -7.4602
           50      -5.1675      -1.1801      -6.3475
           51      -8.4313       2.3806      -6.0507
           52      -6.9442      -1.1837      -8.1280
           53      -2.7843      -1.9196      -4.7039
           54      -5.9242      -0.7841      -6.7083
           55      -5.2623      -1.1178      -6.3801
           56      -6.5478      -0.7771      -7.3249
           57      -8.5676      -0.2089      -8.7766
           58      -7.7299       0.0877      -7.6422
           59      -5.9556      -1.6261      -7.5818
           60      -3.9753      -1.2310      -5.2063
           61      -7.4281      -0.2134      -7.6414
           62      -4.9244      -1.0003      -5.9247
           63      -6.4701      -1.3550      -7.8251
           64      -6.0340       1.2245      -4.8096
           65      -6.1726      -0.6629      -6.8355
           66      -6.7371      -0.4603      -7.1974
           67      -6.5798       0.2263      -6.3534
           68      -7.5498      -0.0273      -7.5771
           69      -5.8885      -0.1913      -6.0798
           70      -7.2585      -0.6967      -7.9552
           71      -4.5857       0.3980      -4.1877
           72      -6.3203      -1.3120      -7.6323
           73      -6.6684      -0.3469      -7.0153
           74      -6.5865       0.2444      -6.3421
           75      -4.2310      -1.0624      -5.2934
           76      -2.6231      -1.2570      -3.8801
           77      -7.3178       0.9497      -6.3682
           78      -7.6807      -0.7537      -8.4345
           79      -4.1872      -1.8621      -6.0493
           80      -9.9295       1.8211      -8.1085
           81      -5.0924      -1.3391      -6.4315
           82      -9.5568       1.3031      -8.2537
           83      -5.1360      -1.1303      -6.2663
           84      -8.4482      -1.4535      -9.9017
           85      -7.5068       0.6137      -6.8931
           86      -5.8426      -1.5296      -7.3723
           87      -6.6509      -0.6997      -7.3506
           88      -6.6800      -1.1122      -7.7922
           89      -5.5229      -1.1482      -6.6711
           90      -7.1120      -1.5900      -8.7020
           91      -6.0191      -0.1347      -6.1538
           92      -7.5293       0.8327      -6.6966
           93      -3.3292      -1.5152      -4.8444
           94      -6.0072       1.1755      -4.8317
           95      -6.9358      -0.4255      -7.3614
           96      -5.2915      -1.7697      -7.0612
           97      -4.4739      -1.3289      -5.8029
           98      -6.8970      -0.6867      -7.5837
           99      -6.6114      -1.9530      -8.5644
          100      -5.4033      -1.2417      -6.6450
          101      -9.6348       1.5394      -8.0954
          102      -2.0159      -1.2918      -3.3076
          103      -5.8146      -1.3486      -7.1632
          104      -8.8228       1.4269      -7.3959
          105      -7.0091       0.3330      -6.6761
          106      -8.0974      -0.6774      -8.7748
          107      -7.1877      -1.0214      -8.2091
          108      -8.9328       1.9613      -6.9715
          109      -9.5083       0.8559      -8.6524
          110      -4.3765      -0.8971      -5.2736
          111      -7.6404      -0.9348      -8.5752
          112      -7.2118       0.8471      -6.3647
          113      -5.8074      -1.3419      -7.1492
          114      -4.0181      -0.8329      -4.8510
          115      -4.4629      -1.6208      -6.0837
          116      -4.0600      -1.3610      -5.4210
          117      -5.3641      -0.9119      -6.2759
          118      -6.7095       0.2887      -6.4208
          119      -7.6404      -0.9572      -8.5976
          120      -7.8375       0.1175      -7.7201
          121     -10.6363       2.8050      -7.8314
          122      -5.7590      -1.4541      -7.2131
          123      -6.8953      -0.5420      -7.4373
          124      -5.9072      -1.0961      -7.0033
          125      -7.4034      -1.3420      -8.7455
          126      -4.9987      -1.0281      -6.0269
          127      -6.1646      -0.8381      -7.0027
          128      -6.3296      -0.9126      -7.2422
          129     -10.3108       1.9789      -8.3318
          130      -5.1584      -1.3967      -6.5551
          131      -7.2651       0.1711      -7.0941
          132      -9.7228       2.2318      -7.4910
          133      -6.2446       1.6556      -4.5890
          134      -7.5478      -0.3387      -7.8865
          135      -8.0188       1.4645      -6.5544
          136      -5.5114      -1.1692      -6.6805
          137      -3.6593      -1.2012      -4.8606
          138      -6.8809      -0.2507      -7.1316
          139      -6.5219      -1.3187      -7.8405
          140      -5.6331      -1.0449      -6.6780
          141      -3.7939      -1.6165      -5.4104
          142      -4.2181      -1.7677      -5.9858
          143      -6.0082      -0.9262      -6.9344
          144      -5.4356      -0.8280      -6.2636
          145      -1.7024      -1.8419      -3.5443
          146      -4.6563      -0.9272      -5.5835
          147      -3.8578      -0.9823      -4.8401
          148      -5.2137       0.4591      -4.7546
          149      -6.3945       1.7026      -4.6918
          150      -7.0986      -0.9139      -8.0125
          151      -6.4856       0.4688      -6.0168
          152      -6.7765      -0.1192      -6.8957
          153      -8.5489      -0.9532      -9.5021
          154      -5.1326      -1.6558      -6.7884
          155      -4.2588      -0.5526      -4.8114
          156      -3.2300      -1.2854      -4.5154
          157      -3.8772       0.3676      -3.5097
          158      -4.9507      -1.7043      -6.6550
          159      -2.5493      -1.6579      -4.2072
          160      -7.1763      -1.6935      -8.8698
          161      -0.3969      -1.2645      -1.6614
          162      -0.3146      -1.5848      -1.8994
          163      -1.5190      -1.4678      -2.9868
          164      -0.9995      -1.2295      -2.2290
          165      -1.0952      -1.7994      -2.8946
          166      -1.7423      -1.9134      -3.6557
          167      -0.2633      -1.4334      -1.6967
          168       0.3814      -1.6351      -1.2537
          169      -6.5868      -0.5971      -7.1839
          170      -4.4088      -1.5393      -5.9481
          171      -5.9971      -0.2461      -6.2431
          172      -3.8894      -1.2113      -5.1006
          173      -7.3807       1.4622      -5.9185
          174      -7.4666       1.6685      -5.7980
          175      -3.9368      -1.7705      -5.7073
          176      -6.6215       0.5048      -6.1167
          177      -7.7510      -0.9878      -8.7387
          178      -7.9450       0.8878      -7.0572
          179      -9.0792       0.1693      -8.9098
          180      -6.0104      -0.5796      -6.5900
          181      -4.7274      -1.4364      -6.1638
          182      -4.8301      -0.4356      -5.2657
          183      -5.5810      -0.8298      -6.4109
          184      -5.5730      -0.4758      -6.0488
          185      -4.7868      -1.3236      -6.1104
          186      -5.5108      -1.2461      -6.7569
          187      -2.6015      -1.6138      -4.2154
          188      -6.6982      -0.3633      -7.0615
          189      -4.9311      -0.4878      -5.4189
          190      -5.9921      -0.8473      -6.8394
          191      -4.5062      -1.2556      -5.7618
          192      -7.0848      -0.9572      -8.0420
          193      -5.6201      -1.8059      -7.4259
          194      -4.8765      -1.6808      -6.5573
          195      -3.1800      -1.3056      -4.4856
          196      -6.3615       0.0204      -6.3411
          197      -8.1805      -1.0513      -9.2319
          198      -7.1059      -0.1494      -7.2553
          199      -7.3369      -0.5703      -7.9072
          200      -3.9586      -1.4070      -5.3657
          201      -5.4904      -0.2625      -5.7530
          202      -9.2269      -0.3476      -9.5745
          203      -5.7121      -1.2481      -6.9602
          204      -7.5095      -0.6237      -8.1332
          205      -5.8332      -0.4183      -6.2515
          206      -6.3880      -0.8736      -7.2616
          207      -5.8884      -0.7930      -6.6814
          208      -5.9567      -1.3854      -7.3421
          209      -7.1392      -0.2333      -7.3725
          210      -5.1427      -1.7229      -6.8656
          211     -10.1503       1.7736      -8.3766
          212      -3.6771       0.2467      -3.4304
          213      -8.5967       1.5765      -7.0202
          214      -3.9888      -1.8695      -5.8583
          215      -3.8148      -1.5221      -5.3370
          216      -6.3989      -0.5354      -6.9342
          217      -5.0097      -0.5112      -5.5209
          218      -5.1878       3.1397      -2.0482
          219      -8.1906       1.5452      -6.6454
          220      -4.6649      -1.4222      -6.0871
          221      -3.8372      -1.5792      -5.4164
          222      -7.4300      -0.2915      -7.7215
          223      -4.7574      -0.7429      -5.5003
          224      -7.0434      -0.2493      -7.2928
          225      -7.7613       0.6707      -7.0907
          226      -6.3875      -1.3953      -7.7828
          227      -4.3641      -2.0966      -6.4607
          228      -6.4546       0.3654      -6.0892
          229      -2.5389      -1.0108      -3.5497
          230      -8.2973      -0.2010      -8.4983
          231      -5.2441      -1.4821      -6.7262
          232      -4.7725      -1.8243      -6.5969
          233      -4.2637      -2.3438      -6.6074
          234      -8.0105       1.1122      -6.8983
          235      -7.4572       1.0677      -6.3896
          236      -5.5236      -0.6791      -6.2027
          237      -6.1242       0.0391      -6.0851
          238      -2.8602      -1.5420      -4.4022
          239      -7.9174      -0.6362      -8.5536
          240      -8.9165       1.4776      -7.4389
          241      -9.6310       0.1932      -9.4378
          242      -8.7148       0.8467      -7.8681
          243      -7.0070      -0.4223      -7.4293
          244      -7.4804       0.4166      -7.0638
          245      -5.2307       0.4135      -4.8172
          246      -6.6082      -1.4789      -8.0871
          247      -6.1336      -0.0898      -6.2234
          248      -5.2179      -1.7684      -6.9862
          249      -3.9587      -1.3159      -5.2746
          250      -5.1908       0.2326      -4.9581
          251      -3.1931      -1.9456      -5.1387
          252      -8.2699      -0.0922      -8.3621
          253      -9.4628       0.8059      -8.6569
          254      -7.4671      -0.7597      -8.2268
          255      -2.5415      -1.5331      -4.0747
          256      -8.9089       0.0585      -8.8504
          257      -5.8284      -0.5878      -6.4162
          258      -6.0529      -1.5936      -7.6465
          259      -5.8948       1.5206      -4.3742
          260      -3.4792      -1.0112      -4.4904
          261      -4.6452      -0.3256      -4.9709
          262     -10.7221       1.9191      -8.8029
          263      -5.0342      -1.0209      -6.0551
          264      -6.8969       0.7399      -6.1570
          265      -7.5358      -0.4232      -7.9590
          266      -6.2057      -1.3474      -7.5531
          267      -8.5013       0.9447      -7.5566
          268      -8.7682       0.6240      -8.1442
          269      -5.7447      -0.2684      -6.0132
