# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/27/23  14:18:31                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# And atom 1 (C1) to 54 (H28).
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1     -23.6295     -55.5083     -79.1378
            2     -30.1826     -57.4597     -87.6422
            3     -35.2415     -55.1631     -90.4046
            4     -30.4835     -55.0702     -85.5537
            5     -28.7430     -55.5371     -84.2800
            6     -28.8464     -58.2121     -87.0585
            7     -34.6511     -52.5682     -87.2194
            8     -32.0617     -53.2998     -85.3615
            9     -26.6021     -55.4530     -82.0551
           10     -32.1880     -55.9840     -88.1720
           11     -34.5070     -47.7574     -82.2644
           12     -26.5799     -56.7798     -83.3596
           13     -28.3505     -57.1686     -85.5191
           14     -28.9809     -53.6200     -82.6009
           15     -33.5061     -55.8988     -89.4049
           16     -29.6418     -54.1367     -83.7785
           17     -36.8398     -57.5290     -94.3688
           18     -30.7439     -57.4889     -88.2329
           19     -36.3647     -52.2560     -88.6207
           20     -34.9819     -52.3973     -87.3792
           21     -31.1469     -57.5213     -88.6682
           22     -36.4979     -49.7420     -86.2399
           23     -33.1805     -53.8592     -87.0397
           24     -32.5078     -54.7598     -87.2675
           25     -32.9601     -56.2575     -89.2175
           26     -25.9520     -56.3685     -82.3205
           27     -44.0486     -48.0970     -92.1456
           28     -40.7003     -51.2279     -91.9282
           29     -39.8085     -54.8812     -94.6897
           30     -36.6033     -55.0074     -91.6107
           31     -33.7273     -52.9026     -86.6298
           32     -41.1941     -51.7680     -92.9621
           33     -39.4989     -54.6564     -94.1553
           34     -41.7964     -50.5444     -92.3407
           35     -36.3725     -49.1775     -85.5500
           36     -27.0058     -55.5520     -82.5578
           37     -39.4476     -50.6421     -90.0897
           38     -34.8604     -51.9175     -86.7779
           39     -40.7254     -52.3710     -93.0964
           40     -40.2822     -51.8498     -92.1320
           41     -44.8189     -50.2130     -95.0319
           42     -36.5200     -54.3985     -90.9186
           43     -31.8262     -55.6623     -87.4885
           44     -24.7809     -56.0962     -80.8771
           45     -31.3417     -51.5180     -82.8597
           46     -36.2300     -53.7680     -89.9981
           47     -40.8531     -52.2803     -93.1335
           48     -41.4876     -50.4128     -91.9004
           49     -39.2197     -55.6059     -94.8257
           50     -34.0902     -52.6196     -86.7098
           51     -28.6554     -47.1945     -75.8499
           52     -28.4036     -54.8618     -83.2654
           53     -32.8884     -55.3515     -88.2398
           54     -35.4694     -53.7673     -89.2367
           55     -26.4699     -56.4245     -82.8944
           56     -39.1221     -50.1995     -89.3217
           57     -36.3211     -45.2115     -81.5326
           58     -33.0584     -54.6395     -87.6979
           59     -29.5849     -52.4776     -82.0626
           60     -32.6862     -54.8631     -87.5493
           61     -27.8594     -57.0401     -84.8995
           62     -40.3626     -54.6338     -94.9964
           63     -31.0261     -53.7764     -84.8025
           64     -29.2909     -53.1269     -82.4179
           65     -26.4228     -48.6241     -75.0468
           66     -24.6087     -57.3586     -81.9673
           67     -40.6350     -49.7172     -90.3523
           68     -31.1425     -57.4283     -88.5708
           69     -25.3741     -56.1372     -81.5113
           70     -34.9108     -54.3825     -89.2932
           71     -28.7572     -52.7449     -81.5021
           72     -30.1481     -54.1057     -84.2538
           73     -24.5403     -52.9929     -77.5332
           74     -30.6059     -50.8872     -81.4931
           75     -37.3122     -51.6924     -89.0046
           76     -29.3810     -57.3280     -86.7090
           77     -33.2778     -48.1368     -81.4146
           78     -34.3880     -54.2518     -88.6398
           79     -26.7672     -56.5594     -83.3266
           80     -32.5060     -56.8643     -89.3703
           81     -22.6277     -55.2224     -77.8501
           82     -34.5316     -48.7236     -83.2552
           83     -35.9599     -53.7774     -89.7372
           84     -36.8958     -52.1211     -89.0169
           85     -40.3090     -50.6752     -90.9842
           86     -33.4183     -51.7691     -85.1874
           87     -38.9883     -52.8982     -91.8864
           88     -27.5831     -50.4291     -78.0122
           89     -38.4628     -49.3999     -87.8627
           90     -38.7856     -54.2597     -93.0453
           91     -31.8681     -57.0494     -88.9176
           92     -36.6372     -52.1448     -88.7820
           93     -25.3751     -55.5173     -80.8925
           94     -30.7776     -54.3484     -85.1260
           95     -34.5997     -51.9142     -86.5139
           96     -43.5936     -48.3746     -91.9682
           97     -24.2125     -56.5672     -80.7796
           98     -35.6995     -55.7945     -91.4939
           99     -35.9720     -55.4623     -91.4343
          100     -35.3312     -49.6639     -84.9951
          101     -35.4781     -55.8695     -91.3476
          102     -29.6583     -54.8685     -84.5268
          103     -46.0241     -47.9727     -93.9968
          104     -36.7059     -51.2634     -87.9692
          105     -46.0416     -53.1484     -99.1900
          106     -40.6882     -51.1375     -91.8257
          107     -29.2526     -56.5802     -85.8329
          108     -36.5643     -52.8828     -89.4472
          109     -45.3243     -49.6420     -94.9663
          110     -35.4782     -47.7304     -83.2086
          111     -37.7539     -54.1533     -91.9072
          112     -33.6798     -52.9858     -86.6656
          113     -27.2651     -56.1579     -83.4230
          114     -26.3261     -56.6425     -82.9686
          115     -24.8900     -58.0820     -82.9720
          116     -33.8305     -54.6989     -88.5294
          117     -34.7697     -57.9201     -92.6897
          118     -28.5289     -49.7373     -78.2662
          119     -28.9218     -52.2826     -81.2044
          120     -24.3653     -55.0768     -79.4421
          121     -35.1296     -52.4220     -87.5515
          122     -33.9359     -55.7931     -89.7290
          123     -30.5589     -55.2999     -85.8588
          124     -31.8292     -56.1126     -87.9417
          125     -35.8784     -54.7911     -90.6695
          126     -35.0827     -54.3124     -89.3951
          127     -38.1683     -56.1783     -94.3466
          128     -27.0634     -55.7568     -82.8203
          129     -36.3596     -56.3882     -92.7479
          130     -32.1717     -55.5270     -87.6987
          131     -27.6516     -53.4052     -81.0568
          132     -40.5983     -47.7339     -88.3322
          133     -34.5540     -52.5085     -87.0626
          134     -40.6619     -51.7062     -92.3680
          135     -35.1497     -50.6730     -85.8227
          136     -38.5440     -53.8759     -92.4198
          137     -27.7409     -59.7658     -87.5067
          138     -38.3401     -53.2423     -91.5824
          139     -42.4604     -51.7284     -94.1888
          140     -32.5369     -53.6984     -86.2353
          141     -26.2342     -51.0306     -77.2649
          142     -33.1220     -54.0790     -87.2010
          143     -31.5266     -53.1434     -84.6700
          144     -28.6165     -53.3397     -81.9562
          145     -22.7416     -58.4044     -81.1460
          146     -22.8531     -54.3917     -77.2449
          147     -18.6650     -58.8478     -77.5128
          148     -29.7915     -55.2294     -85.0209
          149     -23.0408     -53.6471     -76.6879
          150     -41.9983     -52.3411     -94.3394
          151     -24.5920     -52.7075     -77.2995
          152     -24.3842     -54.3841     -78.7683
          153     -48.4050     -47.1534     -95.5584
          154     -40.2995     -49.7756     -90.0751
          155     -22.8067     -53.4488     -76.2555
          156     -22.3240     -58.2834     -80.6075
          157     -28.0213     -52.4935     -80.5149
          158     -35.9387     -57.3762     -93.3148
          159     -27.2021     -48.9496     -76.1517
          160     -37.3174     -51.6324     -88.9497
          161     -39.2668     -54.7884     -94.0553
          162     -34.2104     -53.1036     -87.3140
          163     -40.6120     -50.4014     -91.0135
          164     -36.9141     -51.1849     -88.0990
          165     -29.4420     -55.7716     -85.2136
          166     -28.0616     -50.7935     -78.8550
          167     -25.9803     -59.4659     -85.4462
          168     -34.1703     -52.9605     -87.1308
          169     -16.7445     -58.7821     -75.5266
          170     -21.6846     -59.2229     -80.9075
          171     -28.5681     -52.4300     -80.9981
          172     -25.9855     -56.4293     -82.4148
          173     -25.3968     -51.8659     -77.2627
          174     -27.9187     -51.4015     -79.3201
          175     -31.1612     -51.3636     -82.5248
          176     -34.7011     -54.9770     -89.6781
          177     -39.1864     -53.0225     -92.2088
          178     -39.1479     -49.8946     -89.0425
          179     -41.9702     -53.2284     -95.1986
          180     -30.8678     -54.5677     -85.4355
          181     -31.2877     -54.2135     -85.5012
          182     -29.0875     -49.3873     -78.4748
          183     -36.7015     -51.7878     -88.4893
          184     -32.6653     -51.9366     -84.6019
          185     -27.8035     -56.1055     -83.9090
          186     -32.9673     -55.1620     -88.1293
          187     -35.3233     -51.7132     -87.0366
          188     -37.8612     -53.9432     -91.8044
          189     -21.8536     -54.4336     -76.2872
          190     -33.1370     -56.0804     -89.2174
          191     -26.9279     -58.2489     -85.1768
          192     -28.7686     -59.3965     -88.1650
          193     -33.7574     -51.7882     -85.5456
          194     -29.0154     -54.0798     -83.0952
          195     -23.6673     -52.8376     -76.5050
          196     -24.6413     -56.0223     -80.6636
          197     -42.3381     -50.3377     -92.6757
          198     -26.9717     -52.1800     -79.1517
