# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/27/23  14:18:31                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file PDBs/leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# And atom 1 (C1) to 54 (H28).
# NetCDF Frame dimension: 563
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1     -22.3691     -55.0027     -77.3718
            2     -30.4715     -56.8549     -87.3263
            3     -34.5554     -54.5221     -89.0775
            4     -29.4875     -54.2494     -83.7369
            5     -31.1017     -54.6663     -85.7680
            6     -27.5249     -57.2871     -84.8120
            7     -35.1193     -51.7253     -86.8447
            8     -34.2898     -52.2751     -86.5649
            9     -25.3351     -54.0507     -79.3858
           10     -33.2877     -55.1268     -88.4145
           11     -35.7192     -46.8371     -82.5563
           12     -25.2998     -54.9132     -80.2130
           13     -25.3858     -55.6428     -81.0286
           14     -30.9197     -52.5671     -83.4868
           15     -32.8803     -55.0908     -87.9711
           16     -30.4544     -52.6504     -83.1047
           17     -37.2053     -55.8461     -93.0514
           18     -29.4890     -56.3631     -85.8521
           19     -37.6491     -51.0302     -88.6793
           20     -34.1786     -51.3009     -85.4795
           21     -28.7195     -56.4299     -85.1494
           22     -36.9390     -48.5377     -85.4767
           23     -36.2948     -52.6299     -88.9247
           24     -33.6881     -52.8888     -86.5768
           25     -33.9310     -54.8511     -88.7822
           26     -26.9175     -55.1308     -82.0483
           27     -44.7607     -46.4149     -91.1756
           28     -42.2848     -49.9802     -92.2650
           29     -40.0247     -53.7834     -93.8081
           30     -37.7505     -53.8860     -91.6365
           31     -34.9805     -51.2999     -86.2804
           32     -40.7648     -50.3068     -91.0717
           33     -38.9796     -52.9571     -91.9367
           34     -40.6330     -49.3969     -90.0299
           35     -34.8001     -47.9429     -82.7430
           36     -29.6536     -54.5374     -84.1909
           37     -44.1547     -48.9977     -93.1524
           38     -36.1944     -51.5023     -87.6967
           39     -43.3678     -50.5549     -93.9227
           40     -43.8016     -50.5498     -94.3515
           41     -46.1093     -48.5515     -94.6608
           42     -36.1186     -52.8013     -88.9199
           43     -33.8512     -53.9992     -87.8505
           44     -29.6225     -54.6245     -84.2470
           45     -36.2028     -49.3378     -85.5406
           46     -42.1334     -52.6527     -94.7861
           47     -45.7683     -50.3909     -96.1592
           48     -45.6362     -48.4992     -94.1353
           49     -43.1694     -53.7307     -96.9002
           50     -34.0183     -51.4935     -85.5118
           51     -33.0621     -46.1920     -79.2541
           52     -31.3104     -53.9604     -85.2708
           53     -32.3108     -53.7258     -86.0366
           54     -33.7312     -54.1467     -87.8779
           55     -26.2443     -54.8023     -81.0466
           56     -44.6127     -48.3445     -92.9572
           57     -34.5789     -43.8281     -78.4070
           58     -31.1193     -53.3202     -84.4394
           59     -30.2686     -52.9475     -83.2161
           60     -36.4946     -52.8761     -89.3707
           61     -29.1803     -54.9463     -84.1265
           62     -40.8157     -53.0891     -93.9048
           63     -31.1365     -51.8213     -82.9578
           64     -30.5078     -51.7890     -82.2967
           65     -32.9986     -47.8688     -80.8674
           66     -32.6539     -56.1553     -88.8091
           67     -39.3504     -49.8369     -89.1872
           68     -33.6087     -55.6692     -89.2780
           69     -29.2586     -54.1930     -83.4516
           70     -40.7078     -52.4766     -93.1844
           71     -33.5627     -50.6495     -84.2122
           72     -28.3039     -51.9624     -80.2663
           73     -26.6272     -52.0733     -78.7005
           74     -32.7064     -49.9801     -82.6865
           75     -31.8506     -53.6763     -85.5268
           76     -31.9830     -55.8680     -87.8510
           77     -36.0166     -48.0944     -84.1110
           78     -37.0084     -52.3437     -89.3521
           79     -32.0405     -55.2834     -87.3239
           80     -32.4496     -55.5559     -88.0055
           81     -25.8918     -53.8017     -79.6935
           82     -38.3774     -47.1409     -85.5183
           83     -38.8672     -52.5405     -91.4077
           84     -39.2076     -50.4525     -89.6602
           85     -41.1908     -49.3708     -90.5616
           86     -35.4545     -51.2462     -86.7007
           87     -37.3825     -50.8065     -88.1889
           88     -30.0980     -49.0614     -79.1594
           89     -37.7718     -47.6460     -85.4178
           90     -35.8044     -52.7189     -88.5233
           91     -32.2497     -55.5599     -87.8095
           92     -38.1423     -50.5810     -88.7234
           93     -28.1272     -54.0482     -82.1754
           94     -32.8011     -52.6873     -85.4884
           95     -35.2669     -50.2595     -85.5264
           96     -46.2205     -46.7893     -93.0098
           97     -27.4759     -55.0908     -82.5667
           98     -41.7477     -53.8776     -95.6253
           99     -37.4076     -53.7758     -91.1834
          100     -37.5408     -48.0546     -85.5955
          101     -38.9454     -54.2917     -93.2371
          102     -29.7788     -53.2961     -83.0749
          103     -44.7665     -46.3035     -91.0700
          104     -38.5399     -49.8885     -88.4284
          105     -49.8761     -51.7817    -101.6578
          106     -34.4408     -49.8049     -84.2457
          107     -29.5511     -54.9346     -84.4857
          108     -38.5318     -51.7281     -90.2599
          109     -45.4797     -48.2261     -93.7057
          110     -36.0816     -46.4600     -82.5415
          111     -41.7556     -52.7374     -94.4930
          112     -35.1447     -51.6737     -86.8184
          113     -25.7710     -55.3189     -81.0900
          114     -29.5179     -55.5829     -85.1008
          115     -26.0173     -56.6831     -82.7004
          116     -36.1117     -53.3036     -89.4153
          117     -36.4205     -57.1326     -93.5531
          118     -34.6073     -48.2118     -82.8191
          119     -31.6682     -50.2837     -81.9519
          120     -25.9913     -53.2911     -79.2824
          121     -40.2347     -51.2638     -91.4985
          122     -36.4676     -54.3505     -90.8181
          123     -31.9069     -53.8576     -85.7646
          124     -32.7171     -54.9761     -87.6932
          125     -36.6732     -53.0072     -89.6805
          126     -35.9200     -53.0867     -89.0067
          127     -40.0304     -54.2792     -94.3096
          128     -25.1327     -54.1809     -79.3136
          129     -34.3951     -55.6938     -90.0889
          130     -33.8767     -54.1532     -88.0299
          131     -33.7396     -52.1783     -85.9180
          132     -43.2100     -45.8348     -89.0448
          133     -38.1332     -50.7232     -88.8564
          134     -40.7499     -50.0908     -90.8407
          135     -35.4711     -49.2511     -84.7222
          136     -40.5317     -52.2148     -92.7464
          137     -31.9651     -58.1887     -90.1538
          138     -37.9464     -51.4777     -89.4241
          139     -49.5007     -49.8942     -99.3949
          140     -33.7082     -51.7844     -85.4926
          141     -32.2683     -50.0090     -82.2773
          142     -35.3185     -52.2455     -87.5640
          143     -33.1464     -51.5952     -84.7416
          144     -34.4336     -52.4315     -86.8651
          145     -28.0498     -56.4958     -84.5456
          146     -27.0006     -53.4247     -80.4254
          147     -20.5602     -57.4984     -78.0587
