# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/27/23  14:18:31                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # Protein last residue number: 258
# You selected atom 55 (N) to 4259 (OXT)
# And atom 1 (C1) to 54 (H28).
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1     -21.7726     -54.4380     -76.2106
            2     -33.6992     -55.4496     -89.1488
            3     -35.4757     -53.9342     -89.4100
            4     -31.0964     -53.6252     -84.7216
            5     -33.8092     -54.0301     -87.8393
            6     -27.9305     -56.7711     -84.7015
            7     -33.9488     -50.3549     -84.3037
            8     -34.8282     -51.4785     -86.3067
            9     -26.1490     -53.7012     -79.8502
           10     -36.2195     -53.8667     -90.0863
           11     -38.8111     -46.4025     -85.2136
           12     -25.0008     -53.9772     -78.9780
           13     -26.7998     -55.1505     -81.9503
           14     -31.1230     -52.6020     -83.7249
           15     -34.3893     -54.4136     -88.8029
           16     -32.9302     -52.3259     -85.2560
           17     -36.4522     -55.3551     -91.8073
           18     -31.3729     -55.7553     -87.1282
           19     -38.9057     -50.5259     -89.4316
           20     -33.3303     -51.0406     -84.3709
           21     -31.2336     -56.0274     -87.2610
           22     -37.9469     -48.4733     -86.4202
           23     -38.6160     -52.1228     -90.7387
           24     -35.8378     -52.2830     -88.1208
           25     -36.9206     -54.2665     -91.1872
           26     -28.9798     -54.6803     -83.6601
           27     -47.1589     -45.8991     -93.0580
           28     -44.1327     -49.5646     -93.6973
           29     -41.8813     -53.2706     -95.1519
           30     -40.6435     -54.0345     -94.6780
           31     -36.3888     -50.8747     -87.2635
           32     -43.6324     -50.1437     -93.7761
           33     -39.9208     -52.7836     -92.7044
           34     -41.5379     -48.7394     -90.2773
           35     -36.2754     -47.4310     -83.7064
