# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/27/23  14:18:31                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file PDBs/leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # Protein last residue number: 258
# You selected atom 55 (N) to 4259 (OXT)
# And atom 1 (C1) to 54 (H28).
# NetCDF Frame dimension: 563
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1     -21.7726     -54.4380     -76.2106
            2     -33.6992     -55.4496     -89.1488
            3     -35.4756     -53.9342     -89.4098
            4     -31.0964     -53.6251     -84.7215
            5     -33.8092     -54.0301     -87.8393
            6     -27.9305     -56.7711     -84.7017
            7     -33.9490     -50.3549     -84.3039
            8     -34.8282     -51.4784     -86.3066
            9     -26.1492     -53.7012     -79.8503
           10     -36.2195     -53.8667     -90.0863
           11     -38.8110     -46.4026     -85.2136
           12     -25.0008     -53.9772     -78.9780
           13     -26.7999     -55.1505     -81.9503
           14     -31.1230     -52.6020     -83.7250
           15     -34.3894     -54.4136     -88.8030
           16     -32.9302     -52.3258     -85.2561
           17     -36.4520     -55.3551     -91.8071
           18     -31.3728     -55.7553     -87.1281
           19     -38.9057     -50.5259     -89.4316
           20     -33.3300     -51.0406     -84.3706
           21     -31.2335     -56.0273     -87.2609
           22     -37.9469     -48.4734     -86.4203
           23     -38.6159     -52.1228     -90.7387
           24     -35.8378     -52.2829     -88.1207
           25     -36.9206     -54.2666     -91.1871
           26     -28.9799     -54.6803     -83.6603
           27     -47.1591     -45.8992     -93.0583
           28     -44.1328     -49.5647     -93.6975
           29     -41.8812     -53.2706     -95.1518
           30     -40.6435     -54.0345     -94.6780
           31     -36.3887     -50.8747     -87.2635
           32     -43.6325     -50.1436     -93.7761
           33     -39.9207     -52.7837     -92.7044
           34     -41.5379     -48.7395     -90.2775
           35     -36.2754     -47.4309     -83.7063
