# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/27/23  14:18:31                  
# N: 49205 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83555
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file PDBs/leap/AS4/MR-AS4.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Protein has 258 residues.
# You selected atoms 4260 (Na+) to 49205 (H2).
# NetCDF Frame dimension: 563
# NetCDF number of atoms: 49205
#        Step         Elec          VDW        Total
            1      -0.5966      -0.5646      -1.1612
            2       3.2277      -1.4052       1.8225
            3       0.9203      -0.5879       0.3323
            4       1.6089      -0.6243       0.9846
            5       2.7075      -0.6363       2.0712
            6       0.4057      -0.5160      -0.1103
            7      -1.1704      -1.3704      -2.5408
            8       0.5384      -0.7967      -0.2582
            9       0.8140      -0.3495       0.4645
           10       2.9318      -1.2601       1.6717
           11       3.0918      -0.4345       2.6573
           12      -0.2989      -0.9360      -1.2350
           13       1.4141      -0.4923       0.9218
           14       0.2033       0.0349       0.2382
           15       1.5091      -0.6772       0.8319
           16       2.4759      -0.3246       2.1513
           17      -0.7532      -0.4910      -1.2442
           18       1.8838      -0.6078       1.2760
           19       1.2566      -0.5044       0.7523
           20      -0.8486      -0.2602      -1.1088
           21       2.5140      -0.4025       2.1115
           22       1.0079      -0.0643       0.9436
           23       2.3211      -0.5071       1.8140
           24       2.1497      -0.6058       1.5439
           25       2.9895      -0.5846       2.4050
           26       2.0624      -0.4504       1.6120
           27       2.3984      -0.5157       1.8827
           28       1.8480      -0.4155       1.4325
           29       1.8565      -0.5128       1.3437
           30       2.8931       0.1485       3.0416
           31       1.4082      -0.4251       0.9831
           32       2.8677      -0.1633       2.7044
           33       0.9412      -0.1735       0.7677
           34       0.9050      -0.6574       0.2476
           35       1.4753      -0.5119       0.9633
           36      -0.0387      -0.2747      -0.3134
           37       0.4077      -0.1030       0.3047
           38      -0.3701      -0.0424      -0.4125
           39      -0.3467      -0.0355      -0.3822
           40      -0.3308      -0.0387      -0.3695
           41      -0.6380      -0.0544      -0.6923
           42      -0.2454      -0.0476      -0.2930
           43      -0.2717      -0.0359      -0.3076
           44      -0.3604      -0.0555      -0.4159
           45      -0.2796      -0.0269      -0.3065
           46      -0.2606      -0.0306      -0.2912
           47      -0.3089      -0.0276      -0.3365
           48      -0.2748      -0.0278      -0.3026
           49      -0.3619      -0.0378      -0.3998
           50      -0.0318      -0.0347      -0.0665
           51      -0.2174      -0.0551      -0.2726
           52      -0.1373      -0.0383      -0.1757
           53      -0.2779      -0.0487      -0.3266
           54      -0.5383      -0.0477      -0.5860
           55      -0.2669      -0.0288      -0.2957
           56      -0.5169      -0.0331      -0.5500
           57      -0.0794      -0.0813      -0.1607
           58      -0.3119      -0.0669      -0.3787
           59       0.1889      -0.1560       0.0328
           60      -0.3109      -0.0246      -0.3355
           61       0.3353      -0.0374       0.2979
           62      -0.0114      -0.0443      -0.0558
           63      -0.1275      -0.0077      -0.1352
           64      -0.0066      -0.0032      -0.0098
           65      -0.0672      -0.0061      -0.0733
           66       0.0539      -0.0043       0.0496
           67       0.2247      -0.0025       0.2222
           68      -0.0333      -0.0018      -0.0351
           69      -0.1219      -0.0028      -0.1247
           70       0.0187      -0.0065       0.0122
           71      -0.0710      -0.0020      -0.0730
           72       0.0457      -0.0046       0.0411
           73      -0.0397      -0.0031      -0.0428
           74      -0.0087      -0.0018      -0.0105
           75      -0.0753      -0.0015      -0.0768
           76      -0.0832      -0.0017      -0.0849
           77      -0.0112      -0.0013      -0.0125
           78      -0.1595      -0.0089      -0.1684
           79       0.0697      -0.0015       0.0682
           80      -0.0667      -0.0049      -0.0717
           81       0.0132      -0.0013       0.0118
           82       0.0657      -0.0034       0.0623
           83       0.0390      -0.0015       0.0375
           84      -0.0858      -0.0013      -0.0871
           85      -0.1057      -0.0029      -0.1085
           86       0.0692      -0.0032       0.0660
           87      -0.0004      -0.0016      -0.0020
           88      -0.0211      -0.0015      -0.0226
           89      -0.0401      -0.0020      -0.0421
           90      -0.0237      -0.0037      -0.0274
           91       0.0366      -0.0047       0.0320
           92       0.0376      -0.0013       0.0363
           93      -0.0221      -0.0022      -0.0243
           94      -0.0129      -0.0007      -0.0136
           95       0.1971      -0.0026       0.1945
           96      -0.1529      -0.0012      -0.1541
           97      -0.0585      -0.0013      -0.0598
           98      -0.0559      -0.0009      -0.0568
           99       0.0190      -0.0009       0.0181
          100       0.0923      -0.0143       0.0780
          101       0.0072      -0.0015       0.0056
          102       0.0279      -0.0012       0.0267
          103       0.0293      -0.0021       0.0272
          104       0.0658      -0.0023       0.0634
          105       0.2208      -0.0010       0.2198
          106       0.2446      -0.0033       0.2413
          107       0.0430      -0.0060       0.0370
          108      -0.0516      -0.0013      -0.0528
          109       0.1600      -0.0013       0.1587
          110       0.0458      -0.0023       0.0435
          111       0.0038      -0.0007       0.0030
          112      -0.0098      -0.0018      -0.0116
          113      -0.0070      -0.0020      -0.0090
          114       0.1309      -0.0025       0.1284
          115      -0.1155      -0.0110      -0.1265
          116       0.0032      -0.0009       0.0024
          117       0.0197      -0.0015       0.0183
          118       0.1177      -0.0008       0.1169
