# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/06/23  11:07:27                  
# N: 49213 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83604
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4_mut/MR-AS4_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 1497 (N) to 1520 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49213
#        Step         Elec          VDW        Total
            1     -12.9377      -0.6679     -13.6055
            2     -12.8245      -0.6335     -13.4580
            3     -12.0946      -0.6026     -12.6971
            4      -9.8207      -0.6227     -10.4434
            5     -10.3231      -0.5761     -10.8991
            6     -10.5198      -0.5641     -11.0839
            7      -9.9185      -0.6125     -10.5310
            8     -13.4460      -0.4385     -13.8845
            9     -11.8972      -0.4833     -12.3805
           10     -12.9769      -0.6460     -13.6229
           11     -12.6636      -0.0979     -12.7615
           12     -14.7711       0.3423     -14.4288
           13     -12.0405      -0.4136     -12.4541
           14     -10.3926      -0.5835     -10.9761
           15     -11.5035       0.4316     -11.0719
           16     -14.2050      -0.0697     -14.2747
           17     -10.5468      -0.6497     -11.1965
           18     -13.9610      -0.5473     -14.5083
           19     -13.2801       0.2455     -13.0346
           20     -12.9015      -0.3720     -13.2735
           21     -15.3050       0.5958     -14.7092
           22     -16.7655       1.3493     -15.4162
           23     -12.1148      -0.5154     -12.6302
           24     -10.4197      -0.5636     -10.9833
           25     -12.0463      -0.2335     -12.2797
           26     -15.2442       0.1962     -15.0480
           27     -13.0930      -0.0532     -13.1462
           28     -12.4861      -0.5517     -13.0378
           29     -11.8808      -0.1717     -12.0525
           30      -9.5553      -0.7115     -10.2668
           31     -13.2003      -0.2682     -13.4685
           32     -14.6213       0.5376     -14.0837
           33     -11.0806      -0.2038     -11.2844
           34     -11.4076      -0.6825     -12.0900
           35     -13.0584      -0.5665     -13.6249
           36      -9.5363      -0.6370     -10.1732
           37     -12.6508       0.1439     -12.5069
           38      -9.3020      -0.6428      -9.9448
           39     -13.9684      -0.3638     -14.3322
           40     -17.3868       1.1228     -16.2640
           41     -10.4451      -0.6720     -11.1170
           42     -13.2317      -0.4208     -13.6525
           43     -11.9019      -0.5751     -12.4770
           44     -13.3589      -0.4782     -13.8371
           45     -12.2219      -0.6577     -12.8797
           46     -13.1771      -0.6410     -13.8181
           47     -10.9784      -0.6120     -11.5904
           48     -13.0964      -0.4336     -13.5299
           49     -16.8662       1.3158     -15.5504
           50     -13.9787      -0.4820     -14.4607
           51      -9.6776      -0.5198     -10.1975
           52     -12.5013      -0.5233     -13.0246
           53     -15.6305      -0.5945     -16.2250
           54     -15.3836       0.8257     -14.5579
           55     -12.7500      -0.4507     -13.2006
           56     -14.7894       0.4921     -14.2973
           57     -14.3173      -0.2782     -14.5955
           58     -14.5403       0.7063     -13.8340
           59     -11.7484      -0.6393     -12.3877
           60     -12.2329      -0.5842     -12.8170
           61     -15.9551      -0.0046     -15.9597
           62     -11.7266      -0.6303     -12.3569
           63     -12.8922      -0.4860     -13.3782
           64     -12.3348       0.5181     -11.8167
           65     -11.6841       0.4787     -11.2054
           66     -12.2688      -0.4165     -12.6853
           67      -8.5744      -0.6087      -9.1830
           68      -8.0769      -0.6529      -8.7298
           69     -10.8864      -0.4502     -11.3366
           70     -11.3790      -0.6593     -12.0383
           71     -14.3227      -0.2885     -14.6112
           72     -14.3452       0.3809     -13.9643
           73     -12.0848      -0.5433     -12.6281
           74     -12.6599      -0.3138     -12.9737
           75     -10.6073      -0.5780     -11.1853
           76     -11.8431      -0.5634     -12.4066
           77     -14.1929      -0.0032     -14.1961
           78     -11.1214      -0.4093     -11.5306
           79     -12.6933       0.1830     -12.5103
           80      -9.2196      -0.8211     -10.0407
           81     -11.0506      -0.6787     -11.7292
           82     -13.7059      -0.2067     -13.9126
           83     -11.3531      -0.6508     -12.0039
           84     -14.3620       0.1781     -14.1839
           85     -10.2023      -0.6673     -10.8696
           86     -12.9858      -0.7130     -13.6988
           87     -16.8868       1.5023     -15.3845
           88     -12.2181      -0.6508     -12.8688
           89     -11.3477      -0.4961     -11.8438
           90     -11.6873      -0.6807     -12.3680
           91     -11.1202      -0.7306     -11.8508
           92     -11.6592      -0.3949     -12.0541
           93      -8.8531      -0.6706      -9.5237
           94     -12.1694      -0.5979     -12.7673
           95     -14.1593       1.0080     -13.1514
           96     -13.5568      -0.3153     -13.8721
           97     -12.2654      -0.6481     -12.9135
           98     -14.4501       0.0116     -14.4385
           99     -12.3659      -0.6116     -12.9775
          100     -11.6821      -0.3807     -12.0627
          101     -15.1535       0.0222     -15.1313
          102     -11.5353      -0.6764     -12.2117
          103     -16.7486       1.9714     -14.7772
          104     -11.8414      -0.6066     -12.4480
          105      -9.2426      -0.7185      -9.9610
          106     -12.0104      -0.4401     -12.4505
          107      -8.4500      -0.5071      -8.9571
          108     -15.8368      -0.0347     -15.8716
          109     -12.2247      -0.4504     -12.6750
          110     -12.7647      -0.1238     -12.8885
          111     -11.5849      -0.5062     -12.0911
          112      -9.6505      -0.7222     -10.3727
          113     -14.9539       0.3344     -14.6195
          114     -14.8294       0.6725     -14.1569
          115     -12.8569      -0.5946     -13.4516
          116     -11.8571      -0.6561     -12.5132
          117     -10.5112      -0.6358     -11.1470
          118     -10.0158      -0.7176     -10.7334
          119     -13.9983       0.2704     -13.7278
          120     -11.8695      -0.3250     -12.1945
          121     -14.0526       0.1601     -13.8924
          122      -9.3661      -0.4348      -9.8009
          123     -12.4174      -0.6214     -13.0387
          124     -11.6712      -0.7016     -12.3728
          125     -13.9543      -0.3562     -14.3105
          126     -11.1908      -0.6518     -11.8426
          127     -14.0142      -0.3447     -14.3589
          128     -12.5006      -0.6684     -13.1690
          129     -11.4368      -0.6483     -12.0851
          130      -8.3118      -0.6150      -8.9268
          131     -12.6904      -0.6181     -13.3085
          132     -10.8971      -0.5926     -11.4896
          133     -10.7898      -0.6209     -11.4107
          134     -12.1873      -0.6705     -12.8577
          135     -12.8264      -0.3949     -13.2213
          136     -13.1363      -0.6825     -13.8187
