# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/06/23  11:07:27                  
# N: 49213 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83604
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4_mut/MR-AS4_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 708 (N) to 721 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49213
#        Step         Elec          VDW        Total
            1     -15.1627      -2.7645     -17.9272
            2     -11.2554      -3.4358     -14.6911
            3     -14.7086      -3.1035     -17.8121
            4     -12.3046      -3.0166     -15.3212
            5     -12.9820      -3.4973     -16.4793
            6     -14.1318      -1.0032     -15.1349
            7     -12.4515      -2.7792     -15.2307
            8     -14.3647      -2.1338     -16.4985
            9      -9.4712      -3.2571     -12.7282
           10     -14.7014      -2.7362     -17.4376
           11      -8.7944      -3.1391     -11.9335
           12     -14.3865      -2.6644     -17.0509
           13     -15.3805      -0.8715     -16.2520
           14      -9.4207      -3.6775     -13.0982
           15      -7.0777      -3.5829     -10.6605
           16     -14.6738      -1.2002     -15.8740
           17      -5.7263      -3.1272      -8.8535
           18      -8.1325      -3.5007     -11.6332
           19     -11.5594      -3.4176     -14.9770
           20     -11.9844      -3.1650     -15.1494
           21      -4.6487      -4.1657      -8.8144
           22     -14.8891      -4.2107     -19.0997
           23      -6.4064      -3.5283      -9.9347
           24     -13.6676      -2.8338     -16.5014
           25     -15.0572      -2.6875     -17.7447
           26     -14.7310      -2.1264     -16.8574
           27     -15.8769      -2.0855     -17.9623
           28     -12.6301      -3.0109     -15.6410
           29     -12.2592      -2.4128     -14.6720
           30     -15.7906      -1.1945     -16.9851
           31     -13.7857      -2.8575     -16.6431
           32     -17.6356      -1.6101     -19.2457
           33      -8.7034      -3.7768     -12.4802
           34      -9.5257      -3.6725     -13.1982
           35     -13.4313       0.3741     -13.0572
           36      -7.0540      -1.8772      -8.9313
           37     -12.1295      -3.0277     -15.1572
           38     -13.7289      -2.0971     -15.8260
           39     -15.9625      -1.3543     -17.3168
           40     -15.5907      -3.3238     -18.9145
           41     -12.3440      -2.5142     -14.8582
           42     -10.0325      -2.6431     -12.6756
           43     -14.7823      -3.4563     -18.2386
           44     -13.6364      -1.7099     -15.3462
           45     -16.4599      -1.0072     -17.4671
           46     -15.1800      -2.7312     -17.9112
           47     -15.8387      -2.9322     -18.7709
           48     -16.3080       2.0395     -14.2684
           49     -17.5615       0.3769     -17.1846
           50     -17.4791       0.8065     -16.6726
           51     -11.6619      -2.0934     -13.7553
           52     -14.8072      -2.9425     -17.7497
           53     -17.0782      -0.0239     -17.1021
           54     -13.1651      -0.8142     -13.9793
           55     -10.4493      -3.0942     -13.5435
           56     -14.2459      -3.5009     -17.7468
           57     -12.9543      -2.4531     -15.4073
           58     -10.9378       0.3285     -10.6093
           59      -8.9259      -2.9954     -11.9213
           60     -10.0572      -3.4181     -13.4753
           61     -11.4210      -2.9844     -14.4054
           62      -4.8527      -3.5200      -8.3727
           63     -11.6271      -2.1150     -13.7421
           64     -10.1190      -3.4388     -13.5578
           65     -11.3365      -2.6936     -14.0301
           66      -9.7568      -4.2065     -13.9633
           67     -13.8034      -2.9877     -16.7911
           68      -8.3088      -3.7191     -12.0278
           69     -13.0309      -2.8190     -15.8499
           70      -9.9816      -3.4278     -13.4094
           71     -12.9091      -3.3045     -16.2136
           72     -12.6873      -2.1450     -14.8322
           73      -9.3637      -2.2680     -11.6318
           74      -6.0453      -3.7703      -9.8156
           75     -12.2163      -1.7214     -13.9377
           76     -16.0995      -2.6580     -18.7575
           77     -12.6390      -2.3064     -14.9454
           78      -8.1358      -3.2968     -11.4326
           79     -14.5110      -1.6282     -16.1392
           80     -10.7175      -3.5243     -14.2418
           81     -13.4432      -1.5323     -14.9755
           82     -13.3501      -3.1422     -16.4923
           83      -7.0475      -2.4888      -9.5363
           84     -15.5755      -2.4372     -18.0127
           85     -11.2853      -3.3332     -14.6185
           86     -10.5393      -3.4088     -13.9481
           87     -11.0657      -3.8735     -14.9392
           88     -10.9161      -2.8219     -13.7381
           89     -11.1922      -3.9547     -15.1469
           90      -5.7622      -1.6153      -7.3775
           91     -15.0715      -0.9376     -16.0091
           92     -10.7420      -3.3701     -14.1122
           93     -12.3554      -2.6066     -14.9620
           94     -14.6156      -1.7668     -16.3824
           95     -15.0093      -0.2073     -15.2165
           96     -10.7047      -2.7312     -13.4359
           97     -12.3998      -3.9881     -16.3878
           98     -14.8394      -1.7675     -16.6068
           99     -15.9770      -2.2235     -18.2004
