# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/06/23  11:07:27                  
# N: 49213 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83604
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4_mut/MR-AS4_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 804 (N) to 820 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49213
#        Step         Elec          VDW        Total
            1      -6.5066       2.1676      -4.3390
            2      -1.5039      -1.7611      -3.2650
            3      -1.2423      -1.9565      -3.1987
            4      -3.2925      -1.1073      -4.3997
            5      -2.9705      -1.2746      -4.2451
            6      -7.3345      -0.7197      -8.0542
            7      -2.9608      -1.4836      -4.4445
            8      -2.3772      -2.1639      -4.5410
            9      -1.3996      -1.8947      -3.2942
           10       0.6501      -1.1672      -0.5171
           11      -1.8838      -1.8384      -3.7222
           12      -2.6673      -1.6097      -4.2771
           13      -0.4262      -1.6475      -2.0737
           14      -1.8592      -1.7470      -3.6062
           15      -4.5448      -1.3407      -5.8855
           16      -3.1156      -1.4181      -4.5337
           17      -1.5696      -1.6752      -3.2448
           18      -3.0883      -2.2891      -5.3775
           19      -4.9272      -1.2703      -6.1975
           20      -0.6435      -1.6932      -2.3367
           21      -1.8940      -2.2818      -4.1759
           22      -1.5550      -1.1367      -2.6917
           23      -4.8834       2.0277      -2.8557
           24      -1.8517      -2.1586      -4.0104
           25      -5.1559      -2.0400      -7.1960
           26      -3.4576      -1.7777      -5.2353
           27      -1.8976      -2.0646      -3.9622
           28      -0.3704      -1.2893      -1.6597
           29      -1.6121      -1.9781      -3.5903
           30      -2.2366      -1.4320      -3.6686
           31      -0.8790      -1.7547      -2.6337
           32       1.7199      -1.5909       0.1290
           33      -4.9244      -1.7130      -6.6374
           34      -2.5353      -1.0659      -3.6012
           35      -3.2295      -1.0241      -4.2536
           36      -0.4940      -0.9690      -1.4630
           37      -1.9920      -1.6523      -3.6443
           38      -2.3960      -1.9284      -4.3244
           39      -4.6578      -1.8413      -6.4991
           40      -2.2147      -1.6982      -3.9129
           41      -1.5014      -1.5182      -3.0196
           42      -0.2920      -1.5900      -1.8819
           43      -1.3473      -1.5021      -2.8494
           44      -1.3508      -1.6925      -3.0433
           45       0.2095      -0.9047      -0.6952
           46      -2.1730      -2.1440      -4.3170
           47      -3.8904      -2.1923      -6.0827
           48      -4.6916      -0.2660      -4.9576
           49      -4.7122      -2.0104      -6.7226
           50      -4.8250      -1.6378      -6.4628
           51      -5.6051      -1.0274      -6.6325
           52      -3.9075      -2.1011      -6.0086
           53      -3.5967      -1.7843      -5.3810
           54      -3.2171      -2.1784      -5.3956
           55      -5.4696      -1.9441      -7.4137
           56      -1.4161      -1.6138      -3.0299
           57       0.8523      -1.3448      -0.4926
           58      -2.3736      -2.0281      -4.4017
           59      -5.0356      -2.2618      -7.2974
           60      -6.0015      -1.2401      -7.2416
           61      -1.9162      -1.6830      -3.5992
           62      -4.4850      -2.2892      -6.7742
           63      -3.0214      -2.1682      -5.1896
           64       3.1485      -1.3928       1.7557
           65       3.0674      -1.4409       1.6265
           66      -2.2527      -1.8345      -4.0871
           67      -2.5145      -1.9770      -4.4915
           68      -5.5819      -1.1220      -6.7039
           69      -4.8301      -2.6980      -7.5280
           70      -4.3084      -0.0140      -4.3224
           71      -4.6068      -1.2221      -5.8289
           72      -1.0904      -1.5625      -2.6529
           73       2.0574      -1.2646       0.7928
           74      -3.2401      -2.0750      -5.3151
           75      -6.6651      -0.7325      -7.3976
           76      -2.5470      -2.4555      -5.0025
           77      -4.2923      -0.5930      -4.8852
           78       0.8763      -1.4808      -0.6045
           79      -2.1237      -1.4447      -3.5684
           80      -6.7014      -1.3941      -8.0955
           81      -4.8062      -2.1149      -6.9210
           82      -0.2720      -1.4827      -1.7547
           83      -5.6899      -1.9590      -7.6489
           84       0.9746      -1.8451      -0.8705
           85      -4.4232      -2.2866      -6.7099
           86       1.3167      -1.4094      -0.0928
           87      -0.6939      -1.6044      -2.2983
           88      -5.6562      -1.2139      -6.8701
           89      -4.0494      -2.4208      -6.4702
           90      -2.8035      -1.8248      -4.6283
           91      -1.8672      -1.3649      -3.2321
           92      -2.2091      -1.5130      -3.7221
           93      -2.6627      -1.6174      -4.2802
           94      -1.8569      -1.7506      -3.6075
           95      -2.2482      -1.2691      -3.5173
           96      -1.5671      -2.1861      -3.7532
           97      -2.7245      -2.4076      -5.1321
           98      -4.4062      -1.5822      -5.9884
           99      -0.7248      -1.5877      -2.3125
          100      -3.2440      -2.0361      -5.2801
          101       2.7401      -1.9373       0.8028
          102      -4.8550      -1.5361      -6.3912
          103      -2.8218      -2.0551      -4.8769
          104      -1.5145      -2.1054      -3.6200
          105      -5.8993      -1.5947      -7.4940
          106      -6.0169      -1.0920      -7.1089
          107       1.9511      -1.6296       0.3215
          108      -3.5673      -1.9416      -5.5089
          109      -3.7447      -1.7904      -5.5351
          110      -3.4704      -2.1561      -5.6265
          111      -2.3736      -1.9103      -4.2839
          112      -4.6015      -1.3692      -5.9707
          113      -7.1653      -1.5292      -8.6945
          114      -3.2276      -2.0806      -5.3081
          115      -0.7289      -1.5641      -2.2930
          116      -5.7934      -1.9385      -7.7319
          117      -6.5328      -0.8480      -7.3808
          118      -2.3467      -1.9155      -4.2621
          119      -4.8805      -1.8118      -6.6923
          120      -6.8220       0.0081      -6.8139
          121      -2.3475      -2.1079      -4.4555
          122      -5.1217      -1.9772      -7.0989
          123      -5.2201      -1.5315      -6.7516
          124      -4.2082      -0.8092      -5.0174
          125      -4.2362      -2.2424      -6.4786
          126      -2.5403      -2.2092      -4.7495
          127      -6.8348      -0.8674      -7.7022
          128      -5.7424      -1.6327      -7.3752
          129      -3.2019      -2.2846      -5.4865
          130      -2.6653      -1.9737      -4.6390
          131      -5.8164      -2.1161      -7.9326
          132      -3.7940      -2.1695      -5.9635
          133      -5.5450      -1.9171      -7.4622
          134      -2.2956      -1.5709      -3.8665
          135      -4.0790      -1.3845      -5.4635
          136      -1.5159      -1.8015      -3.3174
          137      -1.6440      -1.6927      -3.3368
          138      -5.9574      -1.7543      -7.7116
          139      -4.5902      -1.9334      -6.5236
          140      -4.8638      -2.1081      -6.9719
          141      -4.1832      -2.0012      -6.1844
          142      -3.5935      -0.8212      -4.4147
          143      -0.6250      -1.8642      -2.4892
          144      -3.5497      -0.5177      -4.0674
          145      -0.7891      -1.6329      -2.4220
          146      -2.0496      -1.9573      -4.0069
          147      -3.2746      -2.0702      -5.3448
          148      -1.1648      -1.2383      -2.4031
          149      -0.6609      -1.5096      -2.1705
          150      -0.4411      -1.6164      -2.0575
          151      -0.6378      -1.4420      -2.0798
          152      -4.3869      -2.3905      -6.7774
          153       3.3436      -1.3310       2.0126
          154      -1.3816      -1.2841      -2.6657
          155      -0.9497      -1.6603      -2.6100
          156      -3.6096      -1.9161      -5.5257
