# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/06/23  11:07:27                  
# N: 49213 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83604
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4_mut/MR-AS4_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 368 (N) to 381 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49213
#        Step         Elec          VDW        Total
            1       0.0498      -0.0093       0.0405
            2       0.0697      -0.0077       0.0619
            3       0.0866      -0.0152       0.0714
            4       0.0584      -0.0079       0.0505
            5       0.0841      -0.0085       0.0756
            6       0.0410      -0.0069       0.0341
            7       0.0627      -0.0055       0.0571
            8       0.1133      -0.0092       0.1041
            9       0.0571      -0.0134       0.0438
           10       0.1330      -0.0119       0.1210
           11       0.0442      -0.0082       0.0360
           12       0.0760      -0.0114       0.0646
           13       0.0658      -0.0112       0.0546
           14       0.0846      -0.0106       0.0740
           15       0.0680      -0.0108       0.0572
           16       0.0777      -0.0089       0.0688
           17       0.1053      -0.0115       0.0937
           18       0.1030      -0.0091       0.0939
           19       0.0888      -0.0115       0.0773
           20       0.0762      -0.0099       0.0663
           21       0.0707      -0.0114       0.0594
           22       0.1114      -0.0119       0.0995
           23       0.0495      -0.0130       0.0364
           24       0.1075      -0.0133       0.0943
           25       0.0687      -0.0089       0.0599
           26       0.1148      -0.0089       0.1059
           27       0.0847      -0.0100       0.0747
           28       0.0905      -0.0101       0.0804
           29       0.0830      -0.0073       0.0757
           30       0.0610      -0.0114       0.0496
           31       0.1034      -0.0082       0.0952
           32       0.0950      -0.0101       0.0848
           33       0.0949      -0.0112       0.0837
           34       0.0878      -0.0094       0.0784
           35       0.0629      -0.0105       0.0523
           36       0.0819      -0.0076       0.0743
           37       0.0706      -0.0127       0.0579
           38       0.0732      -0.0122       0.0610
           39       0.0763      -0.0101       0.0662
           40       0.0346      -0.0097       0.0249
           41       0.0844      -0.0091       0.0753
           42       0.1163      -0.0109       0.1054
           43       0.0505      -0.0107       0.0397
           44       0.0930      -0.0138       0.0792
           45       0.0946      -0.0099       0.0847
           46       0.0219      -0.0125       0.0094
           47       0.0926      -0.0111       0.0815
           48       0.1012      -0.0110       0.0902
           49       0.0641      -0.0052       0.0589
           50       0.1099      -0.0118       0.0981
           51       0.0887      -0.0071       0.0816
           52       0.0685      -0.0096       0.0589
           53       0.0578      -0.0052       0.0526
           54       0.0824      -0.0079       0.0745
           55       0.1128      -0.0130       0.0998
           56       0.0250      -0.0109       0.0141
           57       0.0328      -0.0074       0.0254
           58       0.1260      -0.0119       0.1141
