# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/06/23  11:07:27                  
# N: 49213 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83604
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4_mut/MR-AS4_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 1936 (N) to 1946 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49213
#        Step         Elec          VDW        Total
            1      -0.3063      -0.1829      -0.4891
            2      -0.0121      -0.1999      -0.2120
            3      -0.1196      -0.1212      -0.2408
            4      -0.0589      -0.1089      -0.1678
            5      -0.2432      -0.1035      -0.3467
            6      -0.2366      -0.1543      -0.3909
            7      -0.5902      -0.1745      -0.7648
            8      -0.9197      -0.1561      -1.0757
            9      -0.0099      -0.1434      -0.1533
           10       0.0750      -0.1128      -0.0378
           11      -0.4403      -0.1366      -0.5770
           12      -0.0603      -0.1304      -0.1907
           13      -0.8605      -0.1776      -1.0381
           14       0.0592      -0.1064      -0.0473
           15      -0.2799      -0.1537      -0.4336
           16      -0.0982      -0.1604      -0.2587
           17      -0.0377      -0.0897      -0.1273
           18       0.0603      -0.2060      -0.1456
           19      -0.1333      -0.1133      -0.2466
           20      -0.1169      -0.1321      -0.2490
           21      -0.5357      -0.1407      -0.6764
           22      -0.3688      -0.1627      -0.5316
           23      -0.1510      -0.1284      -0.2794
           24      -0.0216      -0.0787      -0.1004
           25      -0.1175      -0.0833      -0.2009
           26      -0.0581      -0.0849      -0.1430
           27      -0.4086      -0.1580      -0.5666
           28      -0.2727      -0.1121      -0.3848
           29       0.0129      -0.1252      -0.1122
           30      -0.2204      -0.1509      -0.3713
           31      -0.4188      -0.1097      -0.5285
           32      -0.8999      -0.1571      -1.0570
           33       0.0666      -0.0870      -0.0204
           34       0.0991      -0.0983       0.0008
           35      -0.1022      -0.1448      -0.2470
           36       0.1946      -0.1227       0.0719
           37      -0.1005      -0.1872      -0.2877
           38      -0.0327      -0.1581      -0.1908
           39      -0.4606      -0.1195      -0.5802
           40      -0.1102      -0.1468      -0.2570
           41      -0.1224      -0.1345      -0.2569
           42       0.0436      -0.0847      -0.0412
           43      -0.3201      -0.1077      -0.4278
           44      -0.1748      -0.1165      -0.2914
           45      -0.0760      -0.0891      -0.1651
           46       0.0193      -0.0927      -0.0735
           47       0.0064      -0.0809      -0.0745
           48       0.1016      -0.0954       0.0062
           49      -0.2603      -0.0691      -0.3294
           50      -0.4265      -0.0920      -0.5185
           51      -0.7637      -0.1602      -0.9240
           52      -0.4010      -0.1399      -0.5409
           53      -0.9913      -0.1315      -1.1229
           54      -0.1105      -0.1164      -0.2269
           55       0.0766      -0.1802      -0.1036
           56      -0.0586      -0.1118      -0.1704
           57      -0.4806      -0.1830      -0.6636
           58      -0.2157      -0.1723      -0.3880
           59      -0.1705      -0.2008      -0.3713
           60      -0.1693      -0.1024      -0.2717
           61      -0.0529      -0.0816      -0.1345
           62      -0.1262      -0.0961      -0.2223
           63       0.2109      -0.1128       0.0982
           64      -0.0977      -0.0820      -0.1797
           65       0.0746      -0.0893      -0.0147
           66      -0.8248      -0.1869      -1.0117
           67      -0.1502      -0.1996      -0.3497
           68       0.1533      -0.1216       0.0318
           69      -0.2576      -0.1045      -0.3620
           70       0.0491      -0.1418      -0.0927
           71       0.0718      -0.0724      -0.0006
           72       0.0933      -0.1013      -0.0081
           73      -0.5582      -0.1397      -0.6979
           74       0.0552      -0.2291      -0.1740
           75       0.0411      -0.0825      -0.0414
           76      -0.0173      -0.1285      -0.1458
           77       0.0537      -0.0953      -0.0416
           78       0.0212      -0.1086      -0.0874
           79       0.1084      -0.1513      -0.0429
           80      -0.4008      -0.1981      -0.5989
           81      -0.1432      -0.1780      -0.3211
           82      -0.0303      -0.0743      -0.1046
           83      -1.5761      -0.4447      -2.0209
           84      -0.2075      -0.0906      -0.2982
           85      -0.0146      -0.1496      -0.1642
           86      -0.2017      -0.1218      -0.3235
           87       0.0296      -0.1312      -0.1015
           88      -0.2451      -0.1315      -0.3766
           89       0.0302      -0.1566      -0.1264
           90      -0.2792      -0.1101      -0.3893
           91       0.2172      -0.0919       0.1253
