# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/06/23  11:07:27                  
# N: 49213 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83604
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4_mut/MR-AS4_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# Define your second residue: # You selected atoms 3664 (N) to 3687 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49213
#        Step         Elec          VDW        Total
            1      -0.8539      -0.0296      -0.8835
            2      -0.9312      -0.0313      -0.9626
            3      -0.7353      -0.0292      -0.7646
            4      -0.8456      -0.0274      -0.8730
            5      -0.9399      -0.0287      -0.9687
            6      -0.9642      -0.0271      -0.9914
            7      -0.3752      -0.0378      -0.4131
            8       0.4867      -0.0256       0.4611
            9      -0.9504      -0.0353      -0.9858
           10      -0.9478      -0.0358      -0.9836
           11      -0.3216      -0.0362      -0.3578
           12      -1.1459      -0.0362      -1.1822
           13      -0.6258      -0.0312      -0.6570
           14      -0.7185      -0.0338      -0.7524
           15      -1.1031      -0.0313      -1.1343
           16      -1.0078      -0.0334      -1.0411
           17      -0.5938      -0.0314      -0.6252
           18      -0.9451      -0.0257      -0.9708
           19      -1.0718      -0.0339      -1.1057
           20      -1.1800      -0.0340      -1.2141
           21      -0.0471      -0.0304      -0.0775
           22      -1.0179      -0.0326      -1.0505
           23      -0.9441      -0.0289      -0.9730
           24      -1.1659      -0.0379      -1.2037
           25      -1.1734      -0.0424      -1.2158
           26      -0.6464      -0.0256      -0.6720
           27      -0.9834      -0.0370      -1.0205
           28      -0.5892      -0.0329      -0.6222
           29      -0.8847      -0.0356      -0.9203
           30      -0.8411      -0.0315      -0.8726
           31      -1.1871      -0.0419      -1.2290
           32      -0.3267      -0.0325      -0.3591
           33      -1.0669      -0.0331      -1.1000
           34      -0.9688      -0.0371      -1.0059
           35      -0.9709      -0.0333      -1.0042
           36      -0.9828      -0.0419      -1.0248
           37      -0.7107      -0.0348      -0.7454
           38      -1.1101      -0.0407      -1.1508
           39      -1.4246      -0.0460      -1.4706
           40      -0.7148      -0.0280      -0.7428
           41      -0.9801      -0.0297      -1.0099
           42      -0.4509      -0.0358      -0.4867
           43      -1.2937      -0.0364      -1.3301
           44      -0.8365      -0.0425      -0.8790
           45      -1.2044      -0.0429      -1.2473
           46      -0.9482      -0.0267      -0.9749
           47      -0.7295      -0.0372      -0.7667
           48      -0.9232      -0.0331      -0.9563
           49      -1.2343      -0.0358      -1.2701
           50       0.0540      -0.0347       0.0193
           51      -0.2129      -0.0350      -0.2479
           52      -0.8653      -0.0303      -0.8956
           53       0.0202      -0.0352      -0.0150
           54      -1.0854      -0.0349      -1.1203
           55      -0.7650      -0.0341      -0.7990
           56      -0.8011      -0.0248      -0.8259
           57      -1.2308      -0.0401      -1.2709
           58      -1.4209      -0.0313      -1.4522
           59      -0.4181      -0.0289      -0.4470
           60      -0.6043      -0.0329      -0.6372
           61      -0.6888      -0.0304      -0.7192
           62      -0.3271      -0.0313      -0.3584
           63      -0.9095      -0.0297      -0.9392
           64      -0.8145      -0.0337      -0.8482
           65      -0.7039      -0.0316      -0.7355
           66      -0.8485      -0.0306      -0.8792
           67      -0.9307      -0.0336      -0.9643
           68      -0.6462      -0.0306      -0.6768
           69      -0.9279      -0.0284      -0.9563
           70      -0.7302      -0.0322      -0.7624
           71      -0.9143      -0.0333      -0.9476
           72      -0.7345      -0.0295      -0.7640
           73      -0.3297      -0.0265      -0.3563
           74      -0.4030      -0.0259      -0.4290
           75      -0.5065      -0.0296      -0.5361
           76      -0.9520      -0.0325      -0.9845
           77      -0.9228      -0.0374      -0.9602
           78      -0.2466      -0.0380      -0.2846
           79      -0.8764      -0.0382      -0.9146
           80      -0.6569      -0.0351      -0.6920
           81      -0.7903      -0.0326      -0.8228
           82      -0.9321      -0.0345      -0.9666
           83       0.3627      -0.0304       0.3323
           84      -1.1206      -0.0378      -1.1584
           85      -1.0662      -0.0378      -1.1041
           86      -0.7887      -0.0307      -0.8194
           87      -0.8442      -0.0372      -0.8815
           88      -0.9674      -0.0318      -0.9992
           89      -1.1095      -0.0316      -1.1411
           90      -0.1843      -0.0324      -0.2168
           91      -0.6598      -0.0354      -0.6953
           92      -0.9334      -0.0337      -0.9671
           93      -0.6578      -0.0323      -0.6900
           94      -0.2185      -0.0335      -0.2520
           95      -1.1310      -0.0339      -1.1649
           96      -0.9144      -0.0322      -0.9466
           97      -0.8714      -0.0307      -0.9020
           98      -0.7200      -0.0335      -0.7536
           99      -0.5365      -0.0301      -0.5666
          100      -0.7531      -0.0327      -0.7858
          101      -0.9830      -0.0317      -1.0147
          102      -0.7549      -0.0352      -0.7901
          103      -0.9528      -0.0324      -0.9852
          104      -0.8859      -0.0340      -0.9199
          105      -0.8934      -0.0318      -0.9252
          106      -1.2508      -0.0362      -1.2870
          107      -1.2969      -0.0341      -1.3310
          108      -1.2065      -0.0307      -1.2372
          109      -1.1885      -0.0325      -1.2210
          110      -1.1001      -0.0376      -1.1377
          111      -1.0348      -0.0403      -1.0751
          112      -0.4640      -0.0352      -0.4992
          113      -1.1378      -0.0364      -1.1742
          114      -0.5427      -0.0360      -0.5787
          115      -0.8912      -0.0376      -0.9289
          116      -0.7111      -0.0338      -0.7449
          117      -1.0141      -0.0313      -1.0454
          118      -0.9133      -0.0358      -0.9491
          119      -0.0501      -0.0294      -0.0795
          120      -0.7643      -0.0274      -0.7917
          121      -0.5673      -0.0343      -0.6016
          122       0.0130      -0.0348      -0.0218
          123      -0.8737      -0.0318      -0.9054
          124      -0.1214      -0.0302      -0.1516
          125      -0.9886      -0.0346      -1.0232
          126      -0.4363      -0.0352      -0.4715
          127      -0.5568      -0.0383      -0.5951
          128      -0.6920      -0.0322      -0.7242
          129      -0.6776      -0.0369      -0.7145
          130      -1.0919      -0.0335      -1.1255
          131      -0.6277      -0.0314      -0.6592
          132       0.2379      -0.0299       0.2080
          133      -1.1424      -0.0321      -1.1745
          134      -0.4846      -0.0326      -0.5172
          135      -1.4127      -0.0423      -1.4550
          136      -0.5530      -0.0367      -0.5897
          137       0.0958      -0.0361       0.0597
          138      -0.4602      -0.0379      -0.4981
          139      -1.1727      -0.0432      -1.2160
          140      -0.2307      -0.0376      -0.2682
          141      -0.8832      -0.0390      -0.9222
          142      -0.1296      -0.0415      -0.1711
          143      -0.9643      -0.0349      -0.9991
          144      -0.9877      -0.0378      -1.0255
          145      -0.3314      -0.0331      -0.3644
          146      -1.3805      -0.0350      -1.4155
          147      -1.0151      -0.0336      -1.0487
          148      -0.9143      -0.0438      -0.9582
          149      -0.8825      -0.0292      -0.9118
          150      -1.0222      -0.0408      -1.0629
          151      -1.1616      -0.0367      -1.1982
          152      -1.2054      -0.0375      -1.2428
          153      -0.9668      -0.0356      -1.0024
          154      -0.2062      -0.0372      -0.2434
          155      -0.2130      -0.0392      -0.2522
          156      -0.2422      -0.0395      -0.2817
          157      -1.0185      -0.0367      -1.0551
          158      -1.1795      -0.0357      -1.2152
          159      -0.9542      -0.0352      -0.9894
          160      -0.8255      -0.0336      -0.8591
          161      -1.0895      -0.0358      -1.1253
          162      -0.4174      -0.0320      -0.4493
          163      -0.9783      -0.0362      -1.0146
          164      -0.6881      -0.0346      -0.7227
          165      -0.3191      -0.0435      -0.3626
          166      -0.9881      -0.0478      -1.0359
          167      -1.2727      -0.0318      -1.3045
          168      -0.9764      -0.0351      -1.0114
          169      -0.7965      -0.0338      -0.8303
          170      -0.3822      -0.0334      -0.4156
          171      -0.8479      -0.0329      -0.8808
          172      -0.7263      -0.0353      -0.7616
          173      -1.1606      -0.0373      -1.1978
          174      -0.8374      -0.0278      -0.8652
          175      -0.6840      -0.0306      -0.7147
          176      -0.7384      -0.0288      -0.7673
          177      -0.4294      -0.0308      -0.4602
          178      -0.9750      -0.0373      -1.0123
          179      -0.9652      -0.0311      -0.9963
          180      -0.7628      -0.0360      -0.7988
