# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/06/23  11:07:27                  
# N: 49213 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83604
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4_mut/MR-AS4_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C1) to 54 (H28)
# And atom 1 (C1) to 54 (H28).
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49213
#        Step         Elec          VDW        Total
            1     -40.2562     -54.3920     -94.6482
            2     -28.7401     -56.7827     -85.5228
            3     -31.9666     -54.5094     -86.4760
            4     -34.7069     -56.3434     -91.0503
            5     -31.4080     -57.5887     -88.9967
            6     -33.3698     -51.9504     -85.3202
            7     -33.1109     -50.0496     -83.1604
            8     -31.8842     -58.7165     -90.6007
            9     -25.0115     -54.2473     -79.2588
           10     -34.7125     -53.8923     -88.6048
           11     -30.5291     -53.9748     -84.5040
           12     -32.6516     -58.8193     -91.4708
           13     -33.1058     -51.5320     -84.6378
           14     -29.5284     -57.8923     -87.4207
           15     -24.5492     -57.2390     -81.7882
           16     -37.0745     -55.2564     -92.3309
           17     -26.2085     -52.5837     -78.7922
           18     -35.7495     -56.2967     -92.0462
           19     -32.8691     -50.8600     -83.7292
           20     -31.7229     -55.1965     -86.9194
           21     -29.5360     -55.3405     -84.8765
           22     -37.5855     -52.5756     -90.1611
           23     -29.5018     -54.3982     -83.9000
           24     -31.3097     -55.6819     -86.9916
           25     -36.5457     -53.4656     -90.0113
           26     -43.0873     -50.2871     -93.3744
           27     -37.7458     -52.0805     -89.8263
           28     -33.0834     -57.7385     -90.8219
           29     -33.0075     -55.3130     -88.3205
           30     -29.6438     -56.9844     -86.6283
           31     -32.6138     -55.0110     -87.6247
           32     -35.6427     -51.8215     -87.4643
           33     -29.0269     -57.1489     -86.1758
           34     -31.1721     -55.3321     -86.5042
           35     -35.6824     -54.4569     -90.1393
           36     -23.9908     -54.7204     -78.7112
           37     -35.9820     -60.1401     -96.1221
           38     -30.1895     -51.8906     -82.0801
           39     -38.5904     -57.5866     -96.1770
           40     -41.1434     -59.0411    -100.1845
           41     -27.2276     -54.7602     -81.9878
           42     -29.2180     -55.4177     -84.6357
           43     -33.3324     -56.0068     -89.3392
           44     -34.1693     -52.7042     -86.8735
           45     -37.7264     -56.1807     -93.9071
           46     -34.2660     -58.0201     -92.2861
           47     -39.6992     -52.2096     -91.9087
           48     -38.9045     -50.1329     -89.0374
           49     -39.2756     -52.3418     -91.6174
           50     -40.9448     -51.6181     -92.5629
           51     -38.5590     -51.8186     -90.3775
           52     -35.5851     -56.8387     -92.4238
           53     -46.9368     -50.5890     -97.5258
           54     -40.2096     -50.0415     -90.2511
           55     -39.9412     -55.2932     -95.2344
           56     -33.3626     -58.5291     -91.8916
           57     -31.2692     -54.1401     -85.4093
           58     -32.9496     -53.6584     -86.6080
           59     -32.0711     -57.7742     -89.8452
           60     -32.8187     -55.7971     -88.6158
           61     -35.4405     -54.4038     -89.8443
           62     -26.2561     -56.8081     -83.0642
           63     -34.5144     -53.2900     -87.8044
           64     -27.1121     -54.6773     -81.7894
           65     -22.2563     -52.9594     -75.2156
           66     -27.0364     -56.4971     -83.5335
           67     -33.4187     -52.5844     -86.0032
           68     -26.0609     -58.2796     -84.3405
           69     -30.5367     -57.1006     -87.6372
           70     -29.8154     -53.9617     -83.7770
           71     -36.3285     -49.9178     -86.2464
           72     -38.5553     -53.1769     -91.7322
           73     -26.0010     -55.7688     -81.7698
           74     -23.5327     -57.3340     -80.8666
           75     -32.1603     -53.7818     -85.9421
           76     -34.5457     -54.4277     -88.9734
           77     -39.8248     -51.6876     -91.5125
           78     -23.7175     -51.9593     -75.6769
           79     -39.6695     -44.8173     -84.4868
           80     -34.7849     -55.4731     -90.2580
           81     -33.7094     -52.5283     -86.2377
           82     -31.8136     -60.7370     -92.5506
           83     -31.1541     -56.8832     -88.0373
           84     -35.5348     -53.5756     -89.1104
           85     -33.1858     -58.8936     -92.0793
           86     -28.6890     -55.2255     -83.9145
           87     -37.2847     -54.3872     -91.6719
           88     -30.0215     -55.3240     -85.3455
