# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/06/23  11:07:27                  
# N: 49213 Ntypes: 27 Nres: 15294 NPH: 1 NNB:83604
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/AS4_mut/MR-AS4_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # Protein last residue number: 258
# You selected atom 55 (N) to 4267 (OXT)
# And atom 1 (C1) to 54 (H28).
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49213
#        Step         Elec          VDW        Total
            1     -40.9614     -53.0519     -94.0133
            2     -31.1288     -55.7542     -86.8830
            3     -33.3737     -53.0272     -86.4009
            4     -33.3662     -54.7968     -88.1630
            5     -31.1864     -56.2492     -87.4355
            6     -35.8350     -50.7524     -86.5875
            7     -36.6701     -48.6391     -85.3092
            8     -38.2828     -57.1588     -95.4416
            9     -25.1748     -53.5465     -78.7214
           10     -34.0516     -52.7532     -86.8048
           11     -34.0172     -52.6176     -86.6348
           12     -33.5663     -57.6684     -91.2347
           13     -36.0948     -49.9012     -85.9960
           14     -31.1468     -56.4357     -87.5825
           15     -24.9020     -55.7777     -80.6797
           16     -38.9776     -53.7442     -92.7218
           17     -27.5589     -51.7412     -79.3001
           18     -33.0508     -55.5180     -88.5688
           19     -35.7027     -49.4200     -85.1227
           20     -31.5589     -54.3918     -85.9507
           21     -30.4535     -55.2632     -85.7167
           22     -40.1442     -51.1246     -91.2687
           23     -30.7142     -52.8486     -83.5627
           24     -33.8512     -54.2909     -88.1421
           25     -39.4609     -51.9696     -91.4305
           26     -44.1631     -48.6793     -92.8424
           27     -40.3883     -50.7191     -91.1074
           28     -35.4303     -56.2173     -91.6476
           29     -32.5854     -54.0200     -86.6054
           30     -32.2867     -55.3837     -87.6704
           31     -33.6124     -53.6680     -87.2804
           32     -39.8643     -50.7892     -90.6535
           33     -31.6291     -55.5722     -87.2013
           34     -32.2144     -53.8824     -86.0967
           35     -38.5025     -53.4565     -91.9590
           36     -25.7794     -53.8668     -79.6462
           37     -35.5864     -59.2220     -94.8084
           38     -31.2197     -50.4998     -81.7195
           39     -40.3170     -56.2791     -96.5960
           40     -43.4833     -57.8238    -101.3071
           41     -26.4797     -53.3854     -79.8651
           42     -30.4406     -55.0830     -85.5237
           43     -36.0937     -55.1141     -91.2078
           44     -34.4022     -51.3281     -85.7303
           45     -37.8551     -54.7836     -92.6387
           46     -35.6760     -56.7539     -92.4299
           47     -43.0257     -50.6673     -93.6930
           48     -39.9722     -48.7809     -88.7531
           49     -43.7535     -51.6729     -95.4265
           50     -47.0660     -50.4345     -97.5005
           51     -39.0911     -49.3491     -88.4402
           52     -36.6491     -55.7252     -92.3742
           53     -52.4803     -50.1312    -102.6115
           54     -43.7533     -48.6570     -92.4102
           55     -41.8330     -53.9035     -95.7365
           56     -35.5848     -56.9872     -92.5720
           57     -33.6301     -52.7807     -86.4109
           58     -31.7491     -52.0897     -83.8388
           59     -36.4570     -55.8939     -92.3509
           60     -36.3314     -54.3162     -90.6476
           61     -38.0442     -54.4907     -92.5349
           62     -30.0817     -55.4594     -85.5411
           63     -34.7564     -51.8186     -86.5750
           64     -27.2850     -53.7566     -81.0416
           65     -21.9333     -52.0392     -73.9725
           66     -31.6415     -54.8159     -86.4573
           67     -33.5701     -51.2298     -84.7999
           68     -27.6300     -56.6577     -84.2877
           69     -33.0844     -55.5322     -88.6167
           70     -32.0703     -52.2535     -84.3238
           71     -37.8131     -48.4810     -86.2941
           72     -37.7361     -51.8122     -89.5482
           73     -30.8083     -54.7673     -85.5756
           74     -28.5355     -56.2886     -84.8241
           75     -36.3480     -52.2736     -88.6217
           76     -35.2968     -52.8674     -88.1642
           77     -37.9399     -50.3273     -88.2672
           78     -27.8956     -50.8112     -78.7068
           79     -40.8371     -44.1466     -84.9837
           80     -38.4926     -53.8023     -92.2949
           81     -35.8995     -51.7849     -87.6845
           82     -33.2741     -59.2702     -92.5443
           83     -42.8175     -55.7002     -98.5177
           84     -36.0315     -52.3910     -88.4225
           85     -34.7855     -57.4607     -92.2462
           86     -28.5482     -54.8865     -83.4347
           87     -33.3128     -54.4964     -87.8092
           88     -31.0294     -53.8595     -84.8890
           89     -33.8670     -55.9989     -89.8659
           90     -29.4519     -55.2611     -84.7130
           91     -34.7623     -52.7268     -87.4891
           92     -30.3265     -56.1304     -86.4569
           93     -30.9221     -58.4162     -89.3383
           94     -40.6262     -52.9030     -93.5292
           95     -36.8974     -51.3804     -88.2779
           96     -30.4976     -53.5636     -84.0612
           97     -35.2997     -56.7163     -92.0160
           98     -43.9728     -54.6565     -98.6293
           99     -34.1439     -53.1577     -87.3016
          100     -30.8550     -56.8833     -87.7383
          101     -28.2599     -57.4654     -85.7252
          102     -41.9730     -54.5248     -96.4978
          103     -45.9805     -50.3584     -96.3389
          104     -31.7887     -54.1630     -85.9517
          105     -35.0622     -54.3538     -89.4160
          106     -34.8177     -51.9332     -86.7508
          107     -26.7074     -51.8386     -78.5460
          108     -37.1514     -51.8470     -88.9984
          109     -28.6166     -52.1903     -80.8069
          110     -39.1642     -53.9777     -93.1419
          111     -32.1598     -52.2694     -84.4292
          112     -30.3791     -53.5952     -83.9742
          113     -47.7471     -47.7535     -95.5005
          114     -38.8969     -47.2047     -86.1016
          115     -33.9953     -56.6786     -90.6740
          116     -44.2026     -50.8240     -95.0266
          117     -34.1205     -55.6701     -89.7906
          118     -35.8237     -52.9659     -88.7896
          119     -35.3827     -56.3860     -91.7687
          120     -34.4480     -47.3707     -81.8187
          121     -42.8602     -51.7075     -94.5677
          122     -46.3528     -50.8313     -97.1841
          123     -40.1288     -49.2999     -89.4286
          124     -29.3618     -51.8662     -81.2280
          125     -37.2587     -55.1744     -92.4332
          126     -37.3102     -48.2088     -85.5191
          127     -35.8415     -55.3089     -91.1504
          128     -45.3077     -49.8627     -95.1703
          129     -35.6912     -58.0602     -93.7513
          130     -33.1066     -50.2976     -83.4041
          131     -37.8933     -53.4867     -91.3800
          132     -42.0178     -48.1764     -90.1942
          133     -30.3734     -56.1668     -86.5402
          134     -30.0578     -55.5805     -85.6383
          135     -34.2462     -51.5855     -85.8317
          136     -33.8991     -51.3801     -85.2792
          137     -34.9430     -50.0991     -85.0422
          138     -30.9233     -52.2554     -83.1787
          139     -33.8825     -53.5120     -87.3945
          140     -43.3606     -51.8333     -95.1939
