# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 1930 (N) to 1940 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1      -0.4578      -0.1344      -0.5923
            2      -0.1406      -0.1839      -0.3245
            3      -0.4139      -0.1334      -0.5473
            4      -0.4456      -0.1017      -0.5473
            5      -0.2166      -0.0786      -0.2952
            6      -0.3806      -0.1218      -0.5024
            7      -0.4632      -0.1280      -0.5912
            8      -0.4112      -0.1517      -0.5629
            9      -0.6258      -0.1477      -0.7735
           10      -0.2782      -0.1053      -0.3835
           11      -0.4487      -0.1653      -0.6140
           12      -0.3675      -0.1253      -0.4929
           13      -0.7915      -0.1729      -0.9644
           14      -0.4125      -0.1260      -0.5385
           15      -0.6080      -0.1710      -0.7790
           16      -0.6307      -0.1622      -0.7929
           17      -0.7122      -0.1373      -0.8495
           18      -0.2141      -0.1913      -0.4053
           19      -0.0758      -0.1585      -0.2343
           20      -0.3860      -0.1468      -0.5328
           21      -0.3339      -0.1372      -0.4711
           22      -0.2828      -0.1636      -0.4464
           23      -0.6363      -0.1492      -0.7855
           24      -0.6098      -0.1517      -0.7615
           25      -0.1868      -0.1242      -0.3110
           26      -0.4559      -0.1199      -0.5758
           27      -0.6160      -0.2236      -0.8397
