# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 3658 (N) to 3681 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1       0.3482      -0.0372       0.3109
            2       0.4727      -0.0324       0.4404
            3       0.3870      -0.0298       0.3572
            4       0.3803      -0.0311       0.3492
            5       0.4568      -0.0301       0.4267
            6       0.5022      -0.0345       0.4676
            7       0.3349      -0.0280       0.3068
            8       0.1000      -0.0317       0.0683
            9       0.7747      -0.0342       0.7404
           10       0.2273      -0.0348       0.1925
           11       0.3977      -0.0315       0.3662
           12       0.2539      -0.0257       0.2282
           13       0.5459      -0.0315       0.5143
           14       0.4917      -0.0360       0.4557
           15       0.4522      -0.0326       0.4197
           16       0.1305      -0.0320       0.0984
           17       0.4879      -0.0299       0.4580
           18       0.0129      -0.0309      -0.0181
           19       0.8567      -0.0317       0.8250
           20       0.3836      -0.0289       0.3547
           21       0.6199      -0.0282       0.5917
           22       0.0804      -0.0242       0.0562
           23       0.0080      -0.0280      -0.0200
           24       0.1535      -0.0289       0.1246
           25       0.6846      -0.0307       0.6538
           26       0.1276      -0.0316       0.0960
           27       0.5295      -0.0360       0.4935
           28       0.2670      -0.0284       0.2386
           29       0.7193      -0.0264       0.6930
           30       0.3837      -0.0318       0.3519
           31       0.6282      -0.0276       0.6006
           32       0.3977      -0.0239       0.3738
           33       0.6587      -0.0329       0.6257
           34       0.4510      -0.0287       0.4223
           35       0.3587      -0.0324       0.3263
           36       0.3552      -0.0349       0.3204
           37       0.8458      -0.0311       0.8147
           38       1.1681      -0.0311       1.1370
           39       0.5973      -0.0315       0.5658
           40       0.5715      -0.0265       0.5450
           41       0.4232      -0.0338       0.3894
           42       0.3228      -0.0330       0.2898
           43       0.4114      -0.0343       0.3772
           44       0.5530      -0.0260       0.5270
           45       0.5686      -0.0392       0.5294
           46       0.0959      -0.0315       0.0644
           47       0.4401      -0.0276       0.4125
           48       0.5091      -0.0357       0.4734
           49       0.5825      -0.0290       0.5535
           50       0.6187      -0.0323       0.5864
           51       0.6215      -0.0303       0.5912
           52       0.5416      -0.0298       0.5118
           53       0.4646      -0.0290       0.4356
           54       0.4705      -0.0265       0.4440
           55       0.2091      -0.0382       0.1709
           56       0.4909      -0.0347       0.4562
           57       0.4006      -0.0279       0.3727
           58       0.7721      -0.0347       0.7374
           59       0.5990      -0.0342       0.5648
           60       0.7694      -0.0323       0.7371
           61       0.1361      -0.0309       0.1052
           62       0.5791      -0.0401       0.5390
           63       0.4152      -0.0317       0.3835
           64       0.7627      -0.0294       0.7333
           65      -0.0388      -0.0336      -0.0724
           66       0.5093      -0.0347       0.4746
           67       0.3106      -0.0294       0.2812
           68       0.6036      -0.0356       0.5679
           69       0.3908      -0.0354       0.3554
           70       0.3654      -0.0333       0.3321
           71       0.5787      -0.0338       0.5450
           72       0.3599      -0.0276       0.3323
