# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file PDBs/leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 1491 (N) to 1514 (O)
# NetCDF Frame dimension: 301
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1     -15.0254      -0.6338     -15.6592
            2     -14.9307       1.0225     -13.9083
            3     -19.5947       0.3677     -19.2269
            4     -15.8910      -0.6403     -16.5313
            5     -16.1586      -0.2597     -16.4183
            6     -15.7366      -0.0603     -15.7970
            7     -15.4255       0.6963     -14.7292
            8     -19.1049       1.6112     -17.4937
            9     -18.7087       0.9680     -17.7407
           10     -14.0224      -0.3277     -14.3501
           11     -13.5007      -0.4400     -13.9407
           12     -14.8472       0.4505     -14.3967
           13     -15.7309       0.7473     -14.9836
           14     -17.8246       0.4989     -17.3257
           15     -15.6158      -0.3585     -15.9743
           16     -17.3055       0.5704     -16.7351
           17     -19.0252       0.1070     -18.9182
           18     -16.4173      -0.0190     -16.4363
           19     -18.1354       1.4202     -16.7152
           20     -17.7555       0.1987     -17.5568
           21     -20.6787       0.8424     -19.8362
           22     -12.2383      -0.3917     -12.6300
           23     -11.9978      -0.6061     -12.6039
           24     -15.7018       0.2221     -15.4796
           25     -16.3517      -0.5964     -16.9481
           26     -15.0528      -0.3466     -15.3994
           27     -14.3783      -0.4596     -14.8379
           28     -13.9999      -0.3710     -14.3710
           29     -16.2925       0.0751     -16.2174
           30     -15.7819       0.0862     -15.6958
           31     -19.3578       1.8706     -17.4872
           32     -15.1872      -0.3772     -15.5644
           33     -16.6939       0.1812     -16.5127
           34     -18.8881       0.3142     -18.5739
           35     -11.2249      -0.6294     -11.8542
           36     -16.8267      -0.3514     -17.1780
           37     -15.5403      -0.2553     -15.7956
           38     -17.4722      -0.1734     -17.6456
           39     -14.2906      -0.5584     -14.8489
           40     -20.2562       2.3597     -17.8965
           41     -10.7676      -0.5410     -11.3086
           42     -18.8143       0.1898     -18.6245
           43     -13.8807      -0.7365     -14.6172
           44     -10.9061      -0.5761     -11.4822
           45      -9.5182      -0.3753      -9.8935
           46     -12.2867      -0.4765     -12.7632
           47     -16.4521      -0.1558     -16.6079
           48     -12.2722      -0.7011     -12.9734
           49     -19.2342       2.5807     -16.6535
           50      -9.6026      -0.4147     -10.0172
           51     -12.6466      -0.6012     -13.2478
           52      -8.0463      -0.3499      -8.3961
           53     -14.1269      -0.4285     -14.5554
           54     -13.1835      -0.6853     -13.8688
           55     -10.2588      -0.4297     -10.6885
           56     -10.4987      -0.7537     -11.2524
           57     -12.9183      -0.6758     -13.5940
           58     -16.5980       0.0260     -16.5720
           59     -13.6284      -0.0798     -13.7081
           60     -18.8862       1.1649     -17.7213
           61     -15.2636      -0.3645     -15.6281
