# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 806 (N) to 822 (O)
# NetCDF Frame dimension: 158
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1       2.2967      -2.0754       0.2213
            2       1.7494      -1.6519       0.0975
            3       0.8824      -2.0239      -1.1415
            4       2.2932      -1.7103       0.5829
            5       1.9991      -1.6392       0.3599
            6       3.0353      -2.2033       0.8320
            7       4.3483      -2.3174       2.0309
            8       2.4851      -2.1533       0.3318
            9       3.7077      -2.4573       1.2503
           10       2.1400      -1.3582       0.7818
           11       1.7722      -1.3652       0.4071
           12       2.6818      -1.7030       0.9788
           13       2.4064      -2.2932       0.1132
           14       2.8913      -2.1142       0.7771
           15       1.5991      -1.2605       0.3386
           16       2.7304      -1.9312       0.7992
           17       4.8060      -1.8394       2.9666
           18       2.7119      -1.6575       1.0544
           19       2.4164      -1.2401       1.1762
           20       3.3485      -2.1642       1.1843
           21       2.7592      -1.9943       0.7648
           22       4.0141      -2.1176       1.8965
           23       2.5300      -1.7432       0.7868
           24       3.9209      -2.2496       1.6713
           25       2.4954      -1.8404       0.6550
           26       2.6591      -2.0482       0.6109
           27       2.8313      -1.9705       0.8608
           28       2.3178      -1.5934       0.7244
           29       3.1143      -1.7557       1.3585
           30       2.9198      -2.0806       0.8392
           31       4.0449      -1.3678       2.6771
           32       1.9994      -1.6316       0.3678
           33       2.9364      -2.1577       0.7787
           34       0.7831      -1.8915      -1.1084
           35       1.0890      -1.3299      -0.2409
           36       0.0789      -0.8896      -0.8107
           37       0.6061      -1.1120      -0.5059
           38       0.6311      -1.0011      -0.3700
           39       0.5135      -1.2415      -0.7280
           40       0.9184      -1.5862      -0.6677
           41       0.4300      -1.6943      -1.2643
           42       0.4867      -0.8915      -0.4048
           43       1.7007      -1.7365      -0.0358
           44       1.4581      -1.5426      -0.0845
           45       1.4961      -1.4767       0.0194
           46       0.1874      -0.7673      -0.5798
           47       1.9940      -1.5967       0.3972
           48       0.6391      -1.2779      -0.6387
           49       0.9520      -1.4747      -0.5227
           50       0.4699      -1.2317      -0.7618
           51       1.9105      -1.4597       0.4508
           52       1.3966      -1.5788      -0.1821
           53       0.8187      -1.1222      -0.3035
           54       0.6509      -1.7776      -1.1267
           55       2.2708      -1.1962       1.0746
           56       0.6741      -1.7999      -1.1259
           57       0.4870      -0.8985      -0.4115
           58       1.0146      -1.7703      -0.7556
           59      -0.6201      -1.4430      -2.0631
           60       0.9835      -1.3877      -0.4043
           61       1.1524      -1.4662      -0.3138
           62       0.6964      -1.3407      -0.6443
           63       0.4870      -0.9391      -0.4521
           64      -0.1909      -1.6803      -1.8712
           65       1.5010      -1.4304       0.0705
           66       0.9720      -0.8738       0.0982
           67      -7.9032      -1.0897      -8.9929
           68      -6.1029      -1.5331      -7.6360
           69      -3.0173      -2.2292      -5.2465
           70      -4.6721      -2.1447      -6.8167
           71      -3.3165      -2.0711      -5.3875
           72      -7.0902      -0.9535      -8.0438
           73      -4.9717      -2.0397      -7.0114
           74      -0.1469      -1.5884      -1.7354
           75      -2.2538      -1.7105      -3.9644
           76      -5.9127      -1.2355      -7.1482
           77      -2.2652      -1.9318      -4.1970
           78      -2.9388      -1.9996      -4.9384
           79      -6.1965      -1.5639      -7.7604
           80      -0.6884      -1.2725      -1.9608
           81      -6.9240      -1.6646      -8.5885
           82      -4.9856      -1.6185      -6.6041
           83      -2.1754      -2.1767      -4.3521
           84      -0.3592      -1.8345      -2.1937
           85      -0.7330      -1.3337      -2.0667
           86       1.0259      -1.9799      -0.9541
           87      -5.6172      -2.0775      -7.6946
           88      -0.5102      -0.5152      -1.0254
           89       1.2514      -1.5785      -0.3271
           90      -4.9713      -1.8212      -6.7924
           91      -5.6309      -1.2396      -6.8705
           92      -1.2316      -1.4015      -2.6331
           93      -8.5924      -0.9298      -9.5223
           94      -1.8692      -1.4300      -3.2991
           95      -0.6401      -1.5249      -2.1651
           96      -0.8706      -0.6599      -1.5304
           97      -5.0109      -2.0673      -7.0782
           98      -1.8451      -1.4586      -3.3037
           99      -1.1101      -1.6028      -2.7129
          100      -3.8163      -2.2210      -6.0373
          101      -1.5137      -1.7914      -3.3051
          102      -5.6082      -1.8063      -7.4145
          103      -1.7956      -1.5312      -3.3268
          104      -8.3071       0.0134      -8.2937
          105      -1.5026      -0.9310      -2.4335
          106      -1.4545      -1.0248      -2.4794
          107      -2.9497      -2.0278      -4.9775
          108      -4.1837      -2.3875      -6.5712
          109      -5.7880      -1.8302      -7.6182
          110      -6.3492      -1.0854      -7.4345
          111      -6.7186      -0.8648      -7.5834
          112      -3.4079      -2.1222      -5.5301
          113      -5.3665      -1.2971      -6.6636
          114      -6.2423      -1.1347      -7.3770
          115      -5.6315      -1.8824      -7.5140
          116      -6.1997      -1.8137      -8.0134
          117      -1.8544      -2.4499      -4.3044
          118      -0.8145      -1.4163      -2.2309
          119      -3.1405      -2.0369      -5.1774
          120      -7.0226      -1.2640      -8.2866
          121      -4.5891      -1.9887      -6.5778
          122      -5.5577      -1.5897      -7.1475
          123      -4.8417      -1.8531      -6.6948
          124      -8.3399       0.5723      -7.7676
          125      -4.6916      -1.9706      -6.6622
          126      -5.7153      -1.6350      -7.3503
          127      -4.6380      -2.1863      -6.8243
          128      -4.9088      -0.8309      -5.7396
          129      -2.7991      -2.1616      -4.9608
          130      -7.2052      -0.8201      -8.0253
          131      -5.5568      -2.1858      -7.7425
          132      -5.0779      -1.7594      -6.8373
          133      -0.9768      -1.2157      -2.1924
          134      -1.1827      -2.0863      -3.2690
          135      -1.7451      -1.6040      -3.3491
          136       0.2225      -1.1419      -0.9194
          137      -2.0223      -1.1688      -3.1911
          138      -1.6945      -1.4205      -3.1150
          139      -3.7824      -2.4678      -6.2501
          140      -5.1765      -2.0963      -7.2728
          141      -4.0496      -2.3428      -6.3924
          142      -6.3364      -1.4484      -7.7848
          143      -8.0992       0.7312      -7.3680
          144      -8.0354       3.9242      -4.1111
          145      -0.5000      -1.6962      -2.1962
          146      -1.5753      -0.8368      -2.4121
          147      -3.0829      -1.8594      -4.9423
          148      -6.7195      -1.9129      -8.6324
          149      -4.8282      -1.1629      -5.9911
          150      -5.3466      -1.5694      -6.9160
          151      -5.2307      -2.0253      -7.2560
          152      -5.2411      -2.3750      -7.6161
          153      -5.8322      -1.9893      -7.8215
          154      -9.1237       0.1451      -8.9787
          155      -4.7965      -2.1889      -6.9854
          156      -0.0222      -2.1166      -2.1387
          157       0.8162      -1.1948      -0.3786
          158      -0.1582      -0.9621      -1.1203
