# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 1385 (N) to 1395 (O)
# NetCDF Frame dimension: 158
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1       1.9254      -2.4156      -0.4902
            2       1.7965      -3.5214      -1.7248
            3       1.0687      -3.5386      -2.4699
            4       1.9492      -2.6750      -0.7258
            5       1.9852      -2.9063      -0.9211
            6       1.3443      -3.4082      -2.0639
            7       1.6532      -3.5168      -1.8636
            8       0.8552      -2.5667      -1.7115
            9       1.1354      -3.6673      -2.5319
           10       1.5380      -2.9074      -1.3695
           11       2.0500      -2.9934      -0.9434
           12       2.6427      -3.3404      -0.6978
           13       1.1742      -3.2964      -2.1222
           14       1.5095      -3.3218      -1.8123
           15       1.3825      -3.1961      -1.8136
           16       1.4317      -3.2271      -1.7954
           17       1.2889      -3.5546      -2.2657
           18       1.9397      -3.5893      -1.6496
           19       2.1979      -3.8173      -1.6195
           20       2.1227      -3.4455      -1.3227
           21       1.7651      -3.1004      -1.3353
           22       2.0097      -3.0238      -1.0141
           23       1.9271      -3.3080      -1.3809
           24       1.0087      -2.6308      -1.6221
           25       2.2178      -3.0800      -0.8622
           26       2.0436      -3.5291      -1.4855
           27       1.0984      -2.9025      -1.8041
           28       1.4665      -2.4721      -1.0056
           29       2.7196      -3.6746      -0.9551
           30       1.1964      -3.6068      -2.4104
           31       1.6717      -3.5937      -1.9220
           32       1.3876      -2.4914      -1.1038
           33       1.6655      -3.3344      -1.6689
           34       0.9638      -3.3481      -2.3843
           35       2.1338      -3.1754      -1.0415
           36       2.1289      -3.6550      -1.5262
           37       2.2181      -1.2448       0.9733
           38       1.9734      -3.7948      -1.8214
           39       1.8922      -3.6445      -1.7523
           40       1.3688      -2.4329      -1.0641
           41       0.4766      -1.4536      -0.9770
           42       2.6352      -4.0996      -1.4644
           43       0.7872      -3.0534      -2.2661
           44       2.4592      -3.1789      -0.7196
           45       2.3116      -2.8039      -0.4923
           46       2.3335      -3.5069      -1.1734
           47       1.4135      -3.0539      -1.6404
           48       1.9211      -3.8359      -1.9148
           49       2.0168      -3.0034      -0.9866
           50       1.0612      -3.0807      -2.0196
           51       2.2031      -3.2497      -1.0466
           52       1.4608      -3.6656      -2.2048
           53       1.9675      -3.3579      -1.3904
           54       1.3541      -2.9227      -1.5686
           55       1.2045      -3.2375      -2.0330
           56       1.2396      -3.5483      -2.3087
           57       1.6714      -2.9256      -1.2542
           58       2.0175      -3.4382      -1.4207
           59       1.2171      -3.2383      -2.0212
           60       1.8435      -3.5161      -1.6726
           61       0.7675      -2.8091      -2.0415
           62       1.5799      -3.3628      -1.7829
           63       1.0622      -3.7820      -2.7198
           64       2.0612      -3.5709      -1.5097
           65       1.7526      -2.9997      -1.2472
           66       0.9038      -3.1947      -2.2909
           67       1.2165      -3.2321      -2.0157
           68       1.5962      -2.7319      -1.1358
           69       0.8591      -2.5438      -1.6847
           70       1.2596      -2.8965      -1.6370
           71       0.5114      -2.9494      -2.4380
           72       1.3661      -2.8201      -1.4540
           73       2.1382      -3.0746      -0.9365
           74       2.0175      -3.0452      -1.0277
           75       2.0424      -3.0239      -0.9815
           76       1.4453      -3.6545      -2.2091
           77       1.6107      -2.8420      -1.2313
           78       2.1908      -2.9365      -0.7456
           79       1.3247      -3.3679      -2.0432
           80       2.5320      -3.4013      -0.8693
           81       0.8110      -3.3452      -2.5342
           82       1.4048      -3.9770      -2.5722
           83       0.8888      -3.3759      -2.4871
           84       1.5795      -2.8244      -1.2449
           85       1.5201      -3.3515      -1.8314
           86       1.8358      -3.4485      -1.6127
           87       1.4562      -2.7221      -1.2659
           88       2.2710      -3.4061      -1.1352
           89       2.1665      -3.5994      -1.4330
           90       1.5680      -3.6995      -2.1315
           91       1.6460      -3.4496      -1.8036
           92       1.5923      -2.9362      -1.3439
           93       2.5962      -3.1995      -0.6034
           94       2.4749      -3.0989      -0.6240
           95       2.2614      -3.3962      -1.1348
           96       1.8023      -3.2944      -1.4921
           97       1.6365      -2.2348      -0.5983
           98       1.3454      -3.6403      -2.2949
           99       1.5115      -2.6871      -1.1756
          100       1.3895      -2.6948      -1.3053
          101       1.0012      -2.5660      -1.5648
          102       1.0875      -2.2284      -1.1409
          103       1.1509      -3.3483      -2.1974
          104       2.1565      -2.3093      -0.1528
          105       1.1990      -3.2978      -2.0987
          106       0.7606      -3.1642      -2.4036
          107       1.4363      -2.4245      -0.9882
          108       0.5026      -2.8402      -2.3376
          109       2.4291      -2.7212      -0.2921
          110       1.3420      -2.8480      -1.5060
          111       0.0220      -0.2320      -0.2099
          112       0.3305      -2.3972      -2.0668
          113       0.8670      -2.5980      -1.7309
          114       1.0568      -1.9964      -0.9396
          115       1.0328      -2.3801      -1.3473
          116       2.6007      -1.5657       1.0350
          117       0.7186      -2.4662      -1.7476
          118       0.7360      -2.2679      -1.5319
          119       0.7861      -1.6551      -0.8690
          120       1.7346      -2.8506      -1.1160
          121       0.6111      -2.4247      -1.8137
          122       1.0383      -1.3710      -0.3326
          123       0.3968      -2.3542      -1.9574
          124       0.6272      -2.7563      -2.1291
          125       2.0386      -2.6512      -0.6126
          126       1.0442      -2.2599      -1.2156
          127       1.0645      -2.7992      -1.7347
          128       1.2109      -2.0756      -0.8647
          129       2.0590      -3.5752      -1.5162
          130       1.9256      -2.3137      -0.3881
          131       0.8594      -2.6647      -1.8053
          132       2.0772      -2.0686       0.0086
          133       2.0047      -3.0339      -1.0292
          134       0.4285      -2.3536      -1.9250
          135       2.8490      -3.4684      -0.6195
          136       0.5574      -2.4005      -1.8431
          137       1.2096      -3.0273      -1.8176
          138       1.5895      -3.8963      -2.3068
          139       1.1800      -3.0968      -1.9168
          140       0.3901      -3.3123      -2.9222
          141       1.0745      -3.1325      -2.0579
          142       1.2067      -3.6731      -2.4664
          143       1.3850      -2.8588      -1.4738
          144       1.5945      -3.6759      -2.0814
          145       1.4116      -3.2497      -1.8380
          146       0.9075      -2.8635      -1.9560
          147       1.0559      -3.2714      -2.2155
          148       1.3361      -2.2657      -0.9296
          149       1.0432      -3.2831      -2.2399
          150       2.1365      -3.9182      -1.7817
          151       1.2760      -3.2037      -1.9277
          152       1.8558      -3.1642      -1.3084
          153       1.1445      -2.7698      -1.6253
          154       0.8606      -3.6469      -2.7863
          155       1.7868      -3.5217      -1.7348
          156       1.8409      -3.4085      -1.5676
          157       2.2724      -3.3782      -1.1058
