# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 3624 (N) to 3637 (O)
# NetCDF Frame dimension: 158
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1      -5.8131      -0.8764      -6.6895
            2      -4.3037      -1.5554      -5.8591
            3      -3.4856      -0.9113      -4.3969
            4      -7.7667      -0.6407      -8.4073
            5      -5.9896       0.7031      -5.2865
            6      -6.8538      -0.0365      -6.8904
            7      -3.2626      -1.0747      -4.3373
            8      -8.8298       0.9484      -7.8813
            9      -5.5330      -2.1104      -7.6433
           10      -6.5747      -0.8286      -7.4034
           11      -6.2897      -1.6373      -7.9270
           12      -3.3446      -1.3799      -4.7246
           13      -5.3024      -1.1054      -6.4078
           14      -6.6894      -0.6404      -7.3298
           15      -8.4995       1.2719      -7.2276
           16      -4.9740      -0.6034      -5.5774
           17      -7.7927       0.7445      -7.0482
           18      -4.5389      -0.3964      -4.9353
           19      -6.8615      -0.8384      -7.6999
           20      -4.3709      -1.6967      -6.0676
           21      -2.4218      -1.5052      -3.9270
           22      -2.1815      -1.3614      -3.5429
           23      -3.1434      -1.5248      -4.6682
           24      -5.5216      -0.5023      -6.0240
           25      -6.2773      -0.7891      -7.0664
           26      -4.3926      -0.9531      -5.3456
           27      -7.4210       1.7072      -5.7138
           28      -4.2041      -1.6466      -5.8507
           29      -4.5901      -1.6086      -6.1987
           30      -6.1032      -1.4679      -7.5711
           31      -5.5179      -1.2096      -6.7275
           32      -6.1924      -0.9299      -7.1224
           33      -6.5298      -0.9856      -7.5154
           34      -4.2216      -1.4618      -5.6834
           35      -3.5187      -1.2623      -4.7811
           36      -2.8248      -1.3622      -4.1870
           37      -4.6620      -0.4515      -5.1134
           38      -7.2445       0.3809      -6.8636
           39      -4.7047      -0.9771      -5.6818
           40      -5.8364      -1.3313      -7.1677
           41      -7.9599       0.7504      -7.2095
           42      -7.8844       0.6001      -7.2843
           43      -7.8809      -0.5292      -8.4100
           44      -5.7317      -1.2591      -6.9908
           45      -7.1120      -0.0452      -7.1572
           46      -6.3961      -1.2391      -7.6352
           47      -7.3002      -0.6546      -7.9548
           48      -7.8184       2.8213      -4.9971
           49      -3.5699      -1.1226      -4.6925
           50      -5.5974      -1.0142      -6.6116
           51      -6.2041      -1.4647      -7.6687
           52      -5.0586      -1.2010      -6.2595
           53      -2.1093      -1.3597      -3.4690
           54      -5.3355      -0.3516      -5.6871
           55      -7.9804       0.9069      -7.0735
           56      -8.3157       2.5216      -5.7941
           57      -6.6749      -1.1257      -7.8006
           58      -4.4438      -1.3064      -5.7502
           59      -3.8623      -1.3341      -5.1964
           60      -1.5516      -1.6778      -3.2295
           61      -3.0488      -1.2264      -4.2752
           62      -7.8082       0.2414      -7.5668
           63      -2.9018      -1.2667      -4.1686
           64      -5.6451      -1.4817      -7.1268
           65      -7.1914       1.3922      -5.7992
           66      -8.3529      -1.2777      -9.6306
           67      -5.1829      -1.3080      -6.4908
           68      -5.7228       0.4945      -5.2284
           69      -8.3215      -0.7825      -9.1040
           70      -7.9662       1.0363      -6.9299
           71      -4.1111      -1.4528      -5.5639
           72      -3.1047      -1.7145      -4.8193
           73      -5.8480      -0.1455      -5.9936
           74      -7.5564      -0.0202      -7.5766
           75      -6.0383      -1.2067      -7.2450
           76      -6.8192      -0.4916      -7.3108
           77      -7.5067      -0.5534      -8.0601
           78      -6.8835      -0.3959      -7.2794
           79      -8.5952       0.4921      -8.1030
           80      -4.6937      -0.7941      -5.4878
           81      -6.6498       0.4893      -6.1605
           82      -4.4508      -1.0945      -5.5453
           83      -7.8670      -0.9818      -8.8488
           84      -4.6084      -1.5562      -6.1646
           85      -7.8354      -0.6921      -8.5275
           86      -6.3783      -0.0875      -6.4658
           87      -7.3839      -0.8608      -8.2447
           88      -4.5605      -1.3015      -5.8620
           89      -3.6565      -1.3172      -4.9737
           90      -4.1863      -0.4582      -4.6445
           91      -6.8414       1.1706      -5.6709
           92      -7.7406      -0.3048      -8.0454
           93      -5.5806      -1.5123      -7.0930
           94      -3.2137      -1.6204      -4.8342
           95      -9.0772       0.9626      -8.1145
           96      -7.9162       0.1209      -7.7953
           97      -6.0300      -1.3881      -7.4180
           98      -6.5579      -0.1435      -6.7014
           99      -9.6444       0.6355      -9.0090
          100      -7.7727       1.3023      -6.4705
          101      -9.1105       0.5346      -8.5759
          102      -8.7734      -0.8520      -9.6254
          103      -3.1928      -1.6373      -4.8301
          104      -3.3016      -2.1458      -5.4473
          105      -6.1220       0.6609      -5.4611
          106      -4.9021      -2.1090      -7.0111
          107      -5.5883      -1.5792      -7.1674
          108      -9.9194       5.0268      -4.8926
          109      -8.3804      -0.4926      -8.8730
          110      -6.5227      -0.9186      -7.4413
          111      -7.0286      -1.1194      -8.1480
          112      -7.7338      -0.3079      -8.0416
          113      -6.6002      -0.6890      -7.2892
          114      -5.3267      -1.4528      -6.7795
          115      -7.4505      -0.7106      -8.1611
          116      -8.4335       0.7766      -7.6569
          117      -7.8523       2.8642      -4.9880
          118      -8.1895      -0.0960      -8.2855
          119      -7.3947      -0.0466      -7.4413
          120      -4.6057      -1.4469      -6.0526
          121      -7.8968      -0.4528      -8.3497
          122      -4.1589      -0.3896      -4.5485
          123      -8.5307       1.2151      -7.3156
          124      -7.6057      -0.6929      -8.2985
          125      -5.4236      -1.5318      -6.9554
          126      -7.5581       1.2116      -6.3464
          127      -7.7856      -1.0381      -8.8237
          128      -4.7932      -1.3203      -6.1135
          129      -3.4620      -1.6451      -5.1070
          130      -7.1999      -0.1337      -7.3336
          131      -7.3258      -0.2113      -7.5371
          132      -6.1235      -1.1769      -7.3003
          133      -7.9080       1.1683      -6.7397
          134      -7.5220      -0.7819      -8.3039
          135      -5.5365      -1.2895      -6.8260
          136      -5.8362      -1.6037      -7.4400
          137      -6.1824      -1.4525      -7.6349
          138      -6.3957      -0.2480      -6.6437
          139      -4.3703      -1.8464      -6.2167
          140      -7.7260      -0.8344      -8.5604
          141      -7.2956      -0.9703      -8.2659
          142      -5.6257       2.5261      -3.0996
          143      -8.3361       0.7029      -7.6332
          144      -7.3753       0.4499      -6.9254
          145      -6.6937      -1.6280      -8.3217
          146      -3.3974      -1.2597      -4.6571
          147      -5.5577      -1.4493      -7.0070
          148      -5.6528      -1.0782      -6.7311
          149      -6.6272      -0.7004      -7.3277
          150      -3.9348      -1.8011      -5.7359
          151      -5.0281      -1.6949      -6.7230
          152      -5.5357      -1.3719      -6.9076
          153      -9.5883       1.1557      -8.4326
          154      -5.7677      -1.8529      -7.6206
          155      -2.6599      -1.7168      -4.3766
          156      -7.0226      -1.1493      -8.1718
          157      -4.2189      -1.0960      -5.3149
          158      -5.4952       1.1403      -4.3549
