# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file PDBs/leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# And atom 1 (C12) to 56 (H30).
# NetCDF Frame dimension: 301
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1     -37.4923     -54.3507     -91.8430
            2     -29.2799     -54.4935     -83.7733
            3     -32.3481     -57.1010     -89.4491
            4     -34.2062     -54.9654     -89.1716
            5     -38.6600     -50.3510     -89.0110
            6     -37.7817     -50.6063     -88.3880
            7     -31.1271     -54.3406     -85.4677
            8     -41.7381     -48.5530     -90.2911
            9     -32.0365     -55.9585     -87.9950
           10     -29.8714     -54.1898     -84.0613
           11     -32.6015     -55.4654     -88.0669
           12     -31.6128     -53.3327     -84.9455
           13     -35.5428     -50.6211     -86.1639
           14     -38.0668     -53.1759     -91.2427
           15     -36.7718     -50.4303     -87.2021
           16     -38.4893     -54.7504     -93.2396
           17     -39.5216     -51.4580     -90.9797
           18     -31.9126     -51.6962     -83.6088
           19     -36.6392     -50.2649     -86.9041
           20     -32.6582     -53.7694     -86.4276
           21     -32.5641     -55.7174     -88.2815
           22     -22.3380     -56.3335     -78.6714
           23     -31.3544     -55.8241     -87.1785
           24     -33.7130     -53.5206     -87.2336
           25     -30.9059     -52.0108     -82.9167
           26     -32.4146     -52.1939     -84.6086
           27     -31.7386     -55.7353     -87.4739
           28     -33.3625     -52.6519     -86.0144
           29     -32.8062     -53.6703     -86.4765
           30     -30.6430     -60.4898     -91.1328
           31     -33.0562     -55.3094     -88.3656
           32     -31.9652     -54.7843     -86.7495
           33     -34.9961     -56.3367     -91.3328
           34     -42.1019     -52.1623     -94.2642
           35     -27.9075     -55.9852     -83.8927
           36     -35.7723     -54.2650     -90.0373
           37     -34.7069     -49.1374     -83.8442
           38     -32.1384     -49.5352     -81.6736
           39     -29.6264     -54.4356     -84.0620
           40     -36.8645     -52.3363     -89.2008
           41     -34.6968     -51.2339     -85.9307
           42     -42.3244     -55.6261     -97.9505
           43     -35.6905     -51.7852     -87.4757
           44     -28.8631     -53.9756     -82.8387
           45     -34.2437     -53.0954     -87.3391
           46     -33.8267     -56.1549     -89.9817
           47     -36.4111     -55.9306     -92.3417
           48     -30.6640     -51.2358     -81.8999
           49     -38.6628     -54.0180     -92.6808
           50     -28.7348     -51.7572     -80.4920
           51     -37.6428     -50.7815     -88.4243
           52     -26.7357     -54.9383     -81.6740
           53     -33.0599     -50.7126     -83.7725
           54     -35.4680     -52.0399     -87.5079
           55     -48.5714     -42.1850     -90.7564
           56     -31.2151     -52.3503     -83.5654
           57     -37.8972     -49.5184     -87.4156
           58     -35.5037     -55.6868     -91.1905
           59     -33.2254     -52.8777     -86.1031
           60     -34.5668     -52.0557     -86.6225
           61     -33.3745     -53.9531     -87.3276
           62     -35.9603     -51.7522     -87.7126
           63     -33.9196     -56.5987     -90.5183
