# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # Protein last residue number: 258
# You selected atom 57 (N) to 4261 (OXT)
# And atom 1 (C12) to 56 (H30).
# NetCDF Frame dimension: 875
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1     -39.2996     -53.8404     -93.1400
            2     -29.4238     -54.1424     -83.5662
            3     -34.4918     -56.7639     -91.2557
            4     -36.0606     -54.6655     -90.7261
            5     -39.5412     -50.1413     -89.6825
            6     -38.7684     -50.3907     -89.1591
            7     -32.4997     -54.1543     -86.6540
            8     -43.3170     -48.4204     -91.7374
            9     -34.7685     -55.8433     -90.6117
           10     -31.6329     -54.0782     -85.7111
           11     -33.6617     -55.3755     -89.0371
           12     -33.4641     -53.2350     -86.6992
           13     -38.3562     -50.4725     -88.8287
           14     -41.6595     -53.0794     -94.7389
           15     -38.8352     -50.3559     -89.1911
           16     -39.5538     -54.6534     -94.2071
           17     -42.0589     -51.3550     -93.4138
           18     -33.3998     -51.6163     -85.0162
           19     -36.6012     -50.1784     -86.7796
           20     -33.0193     -53.6966     -86.7159
           21     -33.0173     -55.5865     -88.6038
           22     -23.1497     -56.1968     -79.3465
           23     -31.1309     -55.7699     -86.9008
           24     -33.5029     -53.4471     -86.9500
           25     -30.8262     -51.9211     -82.7474
           26     -32.8391     -52.1099     -84.9490
           27     -32.0728     -55.6748     -87.7476
           28     -33.2101     -52.6316     -85.8416
           29     -32.5753     -53.6379     -86.2132
           30     -30.6134     -60.4742     -91.0876
           31     -32.7474     -55.2946     -88.0420
           32     -31.5634     -54.7744     -86.3379
           33     -34.4984     -56.3209     -90.8194
           34     -41.9685     -52.1489     -94.1173
           35     -27.9945     -55.9740     -83.9686
           36     -35.3301     -54.2490     -89.5790
           37     -34.2366     -49.1288     -83.3655
           38     -31.9563     -49.5295     -81.4858
           39     -29.5591     -54.4313     -83.9904
           40     -36.9116     -52.3320     -89.2436
           41     -34.5297     -51.2263     -85.7560
           42     -42.2153     -55.6183     -97.8336
           43     -35.4026     -51.7807     -87.1834
           44     -28.7500     -53.9697     -82.7197
           45     -34.0887     -53.0885     -87.1772
           46     -33.7609     -56.1499     -89.9108
           47     -36.4063     -55.9277     -92.3339
           48     -30.6258     -51.2332     -81.8590
           49     -38.7830     -54.0111     -92.7942
           50     -28.6861     -51.7515     -80.4376
           51     -37.5176     -50.7750     -88.2926
           52     -26.6770     -54.9291     -81.6061
           53     -33.0907     -50.6781     -83.7688
           54     -35.7891     -52.0215     -87.8106
           55     -40.7535     -46.9810     -87.7345
           56     -31.5835     -52.3454     -83.9288
           57     -37.9998     -49.5071     -87.5070
           58     -35.3536     -55.6847     -91.0383
           59     -32.9041     -52.8738     -85.7779
           60     -34.5499     -52.0530     -86.6029
           61     -33.4741     -53.9506     -87.4246
           62     -36.1109     -51.7475     -87.8584
           63     -34.0697     -56.5953     -90.6650
           64     -37.7273     -55.2576     -92.9850
           65     -35.5289     -45.6184     -81.1473
           66     -38.1311     -51.8255     -89.9566
           67     -44.4920     -49.3609     -93.8529
           68     -45.8987     -45.8237     -91.7224
           69     -41.2594     -47.4230     -88.6824
           70     -43.2832     -49.6005     -92.8837
           71     -37.3564     -50.8245     -88.1809
           72     -41.0072     -53.3824     -94.3896
           73     -42.3402     -48.7637     -91.1039
           74     -41.7836     -49.6505     -91.4341
           75     -35.7646     -52.5206     -88.2852
           76     -44.1808     -49.9078     -94.0886
           77     -42.7765     -52.2575     -95.0340
           78     -42.4560     -55.1192     -97.5751
           79     -46.2778     -46.5348     -92.8125
           80     -28.4596     -52.6322     -81.0918
           81     -41.7668     -47.2397     -89.0065
           82     -41.4251     -55.1407     -96.5658
           83     -34.0889     -53.7350     -87.8239
           84     -31.4913     -48.1314     -79.6227
           85     -35.0782     -50.9126     -85.9908
           86     -37.0252     -49.0404     -86.0655
           87     -41.1614     -49.7809     -90.9423
           88     -26.0223     -55.0133     -81.0356
           89     -27.9472     -54.7640     -82.7113
           90     -33.7278     -54.0609     -87.7887
           91     -38.2426     -52.6897     -90.9323
           92     -28.6862     -53.3696     -82.0558
           93     -33.5351     -55.7766     -89.3117
           94     -25.8047     -56.0140     -81.8187
           95     -35.8136     -49.6838     -85.4975
           96     -30.7152     -50.9867     -81.7018
           97     -32.3258     -54.9191     -87.2449
           98     -33.9494     -52.4796     -86.4291
           99     -34.2613     -47.9528     -82.2140
          100     -33.9486     -53.3827     -87.3313
          101     -26.0171     -52.0494     -78.0665
          102     -28.5537     -54.8227     -83.3764
          103     -26.5948     -52.4814     -79.0763
          104     -29.1943     -51.9855     -81.1798
          105     -34.6909     -50.7266     -85.4176
          106     -30.8822     -54.4718     -85.3539
          107     -29.4177     -52.5935     -82.0112
          108     -35.5462     -46.0986     -81.6448
          109     -33.8625     -52.9900     -86.8525
          110     -30.3066     -54.5809     -84.8875
          111     -30.8872     -51.7845     -82.6718
          112     -29.2895     -53.7906     -83.0801
          113     -28.4987     -50.7780     -79.2767
          114     -36.2126     -51.6921     -87.9047
          115     -34.1527     -51.1508     -85.3035
          116     -33.0718     -51.3852     -84.4570
          117     -30.7581     -48.0097     -78.7678
          118     -31.9539     -53.5796     -85.5335
          119     -25.2803     -50.0502     -75.3305
          120     -34.2017     -52.3206     -86.5223
          121     -33.5516     -48.5340     -82.0855
          122     -20.8336     -55.4385     -76.2720
          123     -32.0245     -53.9510     -85.9755
          124     -36.2254     -48.2680     -84.4934
          125     -32.0732     -52.1782     -84.2515
          126     -32.6027     -52.4307     -85.0333
          127     -31.9610     -51.8520     -83.8130
          128     -27.7309     -51.7990     -79.5299
          129     -27.8739     -53.2002     -81.0741
          130     -34.7602     -48.1915     -82.9517
          131     -37.4520     -49.9854     -87.4374
          132     -29.4609     -54.3352     -83.7961
