# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Protein has 258 residues.
# You selected atoms 4262 (Na+) to 49207 (H2).
# NetCDF Frame dimension: 875
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1       4.4365      -0.9650       3.4715
            2       2.0459      -0.9082       1.1378
            3       4.4159      -1.0238       3.3920
            4       4.4950      -1.0978       3.3973
            5       3.2517      -1.0258       2.2258
            6       3.9204      -1.0375       2.8828
            7       4.6260      -0.9305       3.6954
            8       3.3028      -0.9400       2.3629
            9       6.6051      -0.9506       5.6545
           10       2.2859      -1.0144       1.2714
           11       5.6467      -1.0069       4.6398
           12       2.4969      -1.0314       1.4655
           13       4.1055      -1.0294       3.0762
           14       6.4102      -1.0072       5.4029
           15       4.6205      -1.1324       3.4881
           16       4.9624      -0.9515       4.0109
           17       7.9633      -1.0076       6.9557
           18       4.3662      -0.9144       3.4519
           19       2.9461      -0.9037       2.0424
           20       4.1351      -0.9283       3.2068
           21       4.4488      -1.0971       3.3516
           22       4.4516      -1.0797       3.3719
           23       3.6703      -1.0283       2.6420
           24       1.4635      -0.9694       0.4941
           25       3.4268      -0.9686       2.4583
           26       2.9479      -1.0057       1.9422
           27       4.2372      -1.0412       3.1960
           28       4.8560      -1.0090       3.8470
           29       5.2754      -0.9695       4.3059
           30       4.1312      -0.9437       3.1875
           31       5.8575      -0.9852       4.8722
           32       3.9230      -0.9252       2.9978
           33       6.1457      -0.9659       5.1798
           34       6.4432      -0.9895       5.4537
           35       4.9790      -1.3171       3.6619
           36       8.1443      -1.1890       6.9552
           37       7.8478      -1.0406       6.8072
           38       7.7109      -1.4917       6.2193
           39       1.7594      -0.9353       0.8241
           40       4.4353      -1.7711       2.6642
           41       0.5112      -0.8501      -0.3389
           42      11.5048      -0.6169      10.8879
           43       7.1789      -0.9607       6.2183
           44       0.0278      -0.6639      -0.6361
           45      -2.1224       0.0947      -2.0277
           46       0.1845      -2.0137      -1.8292
           47       8.9239      -0.2480       8.6759
           48       3.0284      -1.6239       1.4045
           49       4.2618      -1.2238       3.0380
           50       1.6125      -1.0520       0.5606
           51       3.3575      -1.0470       2.3105
           52      -3.8245      -0.1079      -3.9323
