# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file PDBs/leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Protein has 258 residues.
# You selected atoms 4262 (Na+) to 49207 (H2).
# NetCDF Frame dimension: 301
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1       1.8073      -0.5103       1.2970
            2       0.1441      -0.3510      -0.2069
            3       2.1437      -0.3370       1.8067
            4       1.8544      -0.2998       1.5546
            5       0.8812      -0.2098       0.6714
            6       0.9867      -0.2155       0.7712
            7       1.3727      -0.1864       1.1863
            8       1.5789      -0.1326       1.4463
            9       2.7320      -0.1152       2.6168
           10       1.7615      -0.1117       1.6499
           11       1.0600      -0.0899       0.9701
           12       1.8514      -0.0977       1.7537
           13       2.8135      -0.1486       2.6650
           14       3.5928      -0.0965       3.4963
           15       2.0634      -0.0745       1.9889
           16       1.0644      -0.0970       0.9674
           17       2.5372      -0.1031       2.4342
           18       1.4871      -0.0799       1.4072
           19      -0.0380      -0.0865      -0.1245
           20       0.3612      -0.0728       0.2884
           21       0.4532      -0.1309       0.3223
           22       0.8118      -0.1367       0.6751
           23      -0.2235      -0.0542      -0.2777
           24      -0.2100      -0.0735      -0.2835
           25      -0.0797      -0.0897      -0.1694
           26       0.4245      -0.0840       0.3405
           27       0.3342      -0.0605       0.2738
           28      -0.1524      -0.0203      -0.1727
           29      -0.2309      -0.0325      -0.2634
           30      -0.0295      -0.0157      -0.0452
           31      -0.3088      -0.0148      -0.3236
           32      -0.4018      -0.0099      -0.4117
           33      -0.4977      -0.0158      -0.5135
           34      -0.1334      -0.0135      -0.1469
           35       0.0870      -0.0111       0.0759
           36      -0.4422      -0.0161      -0.4584
           37      -0.4702      -0.0085      -0.4787
           38      -0.1822      -0.0057      -0.1879
           39      -0.0673      -0.0042      -0.0716
           40       0.0471      -0.0043       0.0428
           41      -0.1671      -0.0076      -0.1747
           42      -0.1092      -0.0078      -0.1170
           43      -0.2878      -0.0044      -0.2922
           44      -0.1131      -0.0059      -0.1189
           45      -0.1549      -0.0069      -0.1618
           46      -0.0659      -0.0051      -0.0709
           47      -0.0048      -0.0030      -0.0077
           48      -0.0382      -0.0027      -0.0409
           49       0.1202      -0.0069       0.1133
           50      -0.0486      -0.0057      -0.0543
           51      -0.1252      -0.0065      -0.1317
           52      -0.0586      -0.0092      -0.0679
           53       0.0308      -0.0345      -0.0037
           54       0.3211      -0.0183       0.3028
           55      -7.8179       4.7961      -3.0218
           56       0.3685      -0.0050       0.3634
           57       0.1026      -0.0113       0.0914
           58      -0.1501      -0.0021      -0.1522
           59      -0.3212      -0.0038      -0.3250
           60      -0.0167      -0.0026      -0.0193
           61       0.0996      -0.0026       0.0970
           62       0.1505      -0.0046       0.1458
           63       0.1502      -0.0034       0.1468
           64       0.1390      -0.0043       0.1348
           65      -0.0028      -0.0065      -0.0094
           66       0.4728      -0.0141       0.4587
           67       0.1383      -0.0031       0.1352
           68       0.1696      -0.0022       0.1674
           69       0.0218      -0.0023       0.0196
           70      -0.0241      -0.0024      -0.0265
           71      -0.0131      -0.0022      -0.0152
           72       0.0183      -0.0026       0.0158
           73      -0.2591      -0.0242      -0.2833
           74      -0.1892      -0.0015      -0.1907
           75      -0.0623      -0.0014      -0.0638
           76      -0.1185      -0.0015      -0.1200
           77      -0.0980      -0.0024      -0.1004
           78      -0.4492      -0.0033      -0.4524
           79      -0.1244      -0.0043      -0.1287
           80      -0.1692      -0.0038      -0.1730
           81      -0.1148      -0.0025      -0.1173
           82      -0.2562      -0.0048      -0.2609
           83      -0.1612      -0.0015      -0.1627
           84      -0.1991      -0.0034      -0.2025
           85      -0.1618      -0.0022      -0.1640
           86      -0.2241      -0.0020      -0.2261
           87      -0.0807      -0.0013      -0.0820
           88      -0.1456      -0.0018      -0.1474
           89      -0.0259      -0.0089      -0.0348
           90       0.0568      -0.0022       0.0546
           91      -0.0328      -0.0013      -0.0341
           92       0.0052      -0.0032       0.0020
           93       0.0538      -0.0020       0.0518
           94       0.2701      -0.0023       0.2677
           95       0.2695      -0.0019       0.2676
           96       0.0741      -0.0009       0.0732
           97      -0.0944      -0.0018      -0.0962
           98      -0.1433      -0.0022      -0.1454
           99       0.0479      -0.0014       0.0464
          100      -0.1254      -0.0021      -0.1274
          101      -0.0502      -0.0013      -0.0515
          102      -0.0705      -0.0024      -0.0729
          103      -0.0682      -0.0015      -0.0698
          104      -0.0233      -0.0014      -0.0246
          105      -0.2247      -0.0012      -0.2259
          106      -0.1320      -0.0017      -0.1337
          107      -0.3123      -0.0019      -0.3142
          108      -0.2080      -0.0010      -0.2090
          109      -0.2182      -0.0012      -0.2194
          110      -0.2355      -0.0017      -0.2372
          111      -0.4506      -0.0040      -0.4546
          112      -0.3590      -0.0020      -0.3610
          113      -0.3223      -0.0056      -0.3279
          114      -0.1955      -0.0016      -0.1971
          115      -0.3417      -0.0013      -0.3430
          116      -0.6020      -0.0013      -0.6033
          117      -0.2288      -0.0012      -0.2300
          118      -0.2629      -0.0016      -0.2645
          119      -0.0806      -0.0020      -0.0826
          120       0.0252      -0.0018       0.0234
          121      -0.0908      -0.0020      -0.0928
          122      -0.1017      -0.0012      -0.1029
          123      -0.2811      -0.0012      -0.2823
          124      -0.2666      -0.0012      -0.2678
          125      -0.1782      -0.0016      -0.1798
          126      -0.1475      -0.0027      -0.1502
          127      -0.0972      -0.0012      -0.0984
          128      -0.0750      -0.0014      -0.0764
          129      -0.1103      -0.0012      -0.1116
          130      -0.1500      -0.0015      -0.1515
          131      -0.0023      -0.0016      -0.0039
          132       0.0357      -0.0013       0.0344
          133       0.0288      -0.0025       0.0263
          134      -0.1301      -0.0011      -0.1312
          135      -0.2343      -0.0022      -0.2365
          136      -0.1311      -0.0010      -0.1321
          137      -0.2006      -0.0010      -0.2016
          138      -0.1459      -0.0035      -0.1494
          139      -0.1095      -0.0046      -0.1141
