# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/08/23  10:06:57                  
# N: 49215 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83616
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL_mut/MR-COL_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 1499 (N) to 1522 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49215
#        Step         Elec          VDW        Total
            1     -17.2454       0.8686     -16.3768
            2     -12.5607      -0.6519     -13.2126
            3     -13.3317      -0.4332     -13.7649
            4     -13.8959      -0.6132     -14.5091
            5     -14.9214       0.2513     -14.6701
            6     -17.4270      -0.1309     -17.5578
            7     -11.3610      -0.6916     -12.0526
            8     -12.3900      -0.4577     -12.8476
            9     -12.9216      -0.6303     -13.5519
           10     -16.2359      -0.1963     -16.4322
           11     -11.8660      -0.6101     -12.4761
           12     -13.0593      -0.6293     -13.6886
           13     -12.6439      -0.6438     -13.2877
           14     -13.1313      -0.5874     -13.7187
           15     -15.5760      -0.4372     -16.0132
           16     -13.3504      -0.6407     -13.9911
           17     -12.6476      -0.5940     -13.2416
           18     -15.2623      -0.1449     -15.4072
           19     -12.4148      -0.6212     -13.0359
           20     -16.2995      -0.6830     -16.9826
           21     -11.2791      -0.6597     -11.9388
           22     -14.9108      -0.5636     -15.4744
           23     -15.5401      -0.5855     -16.1257
           24     -13.7498      -0.5847     -14.3345
           25     -11.9674      -0.5943     -12.5617
           26     -14.4948      -0.4343     -14.9291
           27     -14.9440       0.3929     -14.5511
           28     -14.8165       0.2979     -14.5185
           29     -15.1749      -0.6794     -15.8544
           30     -14.3973      -0.6305     -15.0278
           31     -15.7448      -0.5022     -16.2470
           32     -11.5146      -0.6257     -12.1402
           33     -13.6767      -0.6352     -14.3120
           34     -15.0718      -0.1989     -15.2707
           35     -13.8837      -0.6632     -14.5469
           36     -16.8721      -0.3697     -17.2417
           37     -15.5762      -0.0252     -15.6013
           38     -11.1924      -0.5880     -11.7804
           39     -11.4612      -0.5724     -12.0336
           40     -13.9442      -0.6118     -14.5560
           41     -18.5630       0.2230     -18.3401
           42     -15.1174      -0.5586     -15.6760
           43     -12.3944      -0.6551     -13.0496
           44     -15.8943      -0.2819     -16.1762
           45     -11.5977      -0.6856     -12.2833
           46     -17.2749      -0.7364     -18.0113
           47     -14.2179      -0.4360     -14.6538
           48     -14.4200      -0.6720     -15.0920
           49     -14.4243      -0.1118     -14.5361
           50     -15.2826      -0.2079     -15.4905
           51     -19.4453      -0.4228     -19.8681
           52     -17.0091      -0.0024     -17.0115
           53     -11.6990      -0.7731     -12.4721
           54     -19.1526       1.5100     -17.6426
           55     -12.5634      -0.6505     -13.2139
           56     -14.6961       0.0772     -14.6189
           57     -12.8677      -0.5590     -13.4267
           58     -15.8222      -0.5926     -16.4148
           59     -15.8825      -0.3818     -16.2643
           60     -15.2754      -0.0619     -15.3374
           61     -13.0353      -0.6830     -13.7184
           62     -13.2497      -0.6514     -13.9011
           63     -14.4169      -0.5491     -14.9660
           64     -13.6333      -0.6965     -14.3297
           65     -16.1825      -0.6644     -16.8469
           66     -13.6551      -0.7158     -14.3709
           67     -13.3582      -0.5907     -13.9489
           68     -13.3036      -0.6708     -13.9744
           69     -12.6377      -0.6138     -13.2516
           70     -13.1523      -0.6941     -13.8463
           71     -12.1185      -0.6599     -12.7784
           72     -14.5315      -0.6979     -15.2294
           73     -10.5860      -0.6738     -11.2598
           74     -14.5864      -0.6876     -15.2740
           75     -12.7825      -0.6941     -13.4766
           76     -13.7823      -0.6693     -14.4516
           77     -14.6497       0.1951     -14.4546
           78     -10.8506      -0.5831     -11.4337
           79     -15.2482      -0.4768     -15.7250
           80     -13.7918       0.5220     -13.2698
           81     -12.4297      -0.6492     -13.0790
           82     -15.4170      -0.5452     -15.9622
           83     -12.4660      -0.7323     -13.1984
           84     -14.8610      -0.5259     -15.3869
           85     -17.2874      -0.5063     -17.7938
           86     -13.7018      -0.5009     -14.2027
           87     -12.6038      -0.6666     -13.2704
           88     -16.2020       0.6489     -15.5531
           89     -14.1645      -0.5909     -14.7554
           90     -17.2918      -0.2233     -17.5151
           91     -12.4549      -0.7024     -13.1573
           92     -10.1838      -0.7343     -10.9181
           93     -13.6344      -0.1568     -13.7912
           94     -11.1820      -0.6770     -11.8590
           95     -11.3237      -0.5842     -11.9079
           96      -6.6537      -0.1599      -6.8137
           97      -5.3608      -0.1826      -5.5434
           98      -5.4282      -0.2267      -5.6549
           99      -6.1164      -0.2693      -6.3857
          100      -7.0975      -0.2725      -7.3700
          101     -13.0321      -0.4347     -13.4668
          102     -15.5819       0.1234     -15.4585
          103     -14.5285      -0.3629     -14.8915
          104     -14.5475      -0.4199     -14.9674
          105     -17.0617       0.7345     -16.3272
          106     -20.2401       0.9876     -19.2525
          107     -13.1316      -0.6264     -13.7581
          108     -13.3260      -0.6529     -13.9789
          109      -8.7213      -0.3805      -9.1018
          110     -15.5503      -0.7383     -16.2886
          111     -14.9043      -0.4983     -15.4027
          112     -18.2949      -0.2201     -18.5150
          113     -12.9815      -0.6623     -13.6438
          114     -15.4556      -0.5817     -16.0374
          115     -11.7254      -0.6297     -12.3552
          116     -15.2573      -0.6181     -15.8754
          117     -13.2883      -0.4421     -13.7303
          118     -14.9223      -0.3478     -15.2701
          119     -14.0718      -0.3901     -14.4618
          120     -16.4410      -0.5607     -17.0018
          121     -13.6843      -0.6834     -14.3677
          122     -15.5445      -0.4329     -15.9774
          123     -11.6469      -0.6240     -12.2710
          124     -12.0979      -0.5684     -12.6663
