# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/08/23  10:06:57                  
# N: 49215 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83616
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL_mut/MR-COL_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 710 (N) to 723 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49215
#        Step         Elec          VDW        Total
            1     -10.3199      -2.4378     -12.7577
            2     -15.2837      -0.2767     -15.5604
            3     -10.9908      -2.9512     -13.9420
            4     -12.7931      -3.0188     -15.8120
            5     -15.5458      -1.1209     -16.6667
            6     -14.9986      -1.1662     -16.1648
            7     -11.8713      -1.0487     -12.9200
            8     -12.9296      -2.1490     -15.0786
            9     -18.1459       2.0571     -16.0888
           10     -10.4757      -3.3373     -13.8130
           11     -11.3939      -2.0050     -13.3989
           12     -13.1010      -1.9631     -15.0641
           13     -13.1857      -2.5411     -15.7268
           14     -10.9005      -2.3798     -13.2803
           15     -15.0658       0.8844     -14.1814
           16      -8.4422      -3.0695     -11.5117
           17     -13.0882      -2.1042     -15.1925
           18      -8.4934      -2.8424     -11.3358
           19      -8.9973      -2.0998     -11.0971
           20     -10.5066      -2.3683     -12.8749
           21     -11.1410      -2.3225     -13.4635
           22     -12.7312      -2.1427     -14.8739
           23     -13.5539      -1.9048     -15.4587
           24     -13.7190      -0.7486     -14.4676
           25     -11.7812      -2.5034     -14.2846
           26     -11.1389      -3.2790     -14.4179
           27     -12.7624      -3.3006     -16.0630
           28     -14.2471      -2.3649     -16.6120
           29     -10.1887      -1.9344     -12.1231
           30      -8.7311      -2.3408     -11.0719
