# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/08/23  10:06:57                  
# N: 49215 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83616
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL_mut/MR-COL_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 806 (N) to 822 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49215
#        Step         Elec          VDW        Total
            1      -4.6260      -2.0176      -6.6436
            2      -6.3134      -1.3072      -7.6207
            3      -5.0437      -1.6559      -6.6996
            4      -4.7587      -2.1528      -6.9115
            5      -7.3512      -0.6000      -7.9511
            6      -1.9977      -2.0851      -4.0828
            7      -5.0028      -2.2316      -7.2344
            8      -4.6865      -2.2784      -6.9648
            9      -5.5641      -1.5379      -7.1020
           10      -4.4105      -2.0916      -6.5022
           11      -7.1696       0.9664      -6.2033
           12      -4.7672      -1.3669      -6.1342
           13      -4.1569      -1.9247      -6.0816
           14      -6.3149      -0.4219      -6.7368
           15      -5.2400      -1.5823      -6.8223
           16       0.9035      -0.9659      -0.0624
           17      -4.6420      -2.3591      -7.0011
           18      -2.8988      -1.8179      -4.7167
           19      -3.5043      -1.9675      -5.4718
           20      -2.5481      -2.0575      -4.6057
           21      -7.4446      -1.1441      -8.5888
           22      -3.3703      -1.6929      -5.0632
           23      -0.1008      -1.5258      -1.6266
           24      -3.6953      -1.1815      -4.8768
           25      -5.4497      -1.6639      -7.1137
           26      -2.1695      -0.7482      -2.9178
           27      -4.2977      -1.8872      -6.1849
           28      -1.8775      -1.6854      -3.5630
           29       2.1462      -1.3609       0.7853
           30      -2.1522      -1.3028      -3.4550
           31      -1.1308      -1.7231      -2.8539
           32      -1.8500      -2.2803      -4.1303
           33      -3.2687      -1.8514      -5.1201
           34      -0.3802      -1.9556      -2.3357
           35      -4.0261      -2.2486      -6.2747
           36      -2.3343      -1.5814      -3.9157
           37      -5.9221      -0.8923      -6.8144
           38      -4.1556      -2.0048      -6.1604
           39      -4.6450      -2.1266      -6.7716
           40      -7.5377       0.5901      -6.9475
           41      -3.4186      -1.1503      -4.5689
           42      -7.2241      -0.2766      -7.5007
           43      -3.3051      -2.2679      -5.5731
           44      -3.8618      -1.8469      -5.7087
           45      -1.3329      -1.4751      -2.8080
           46       0.3685      -1.2402      -0.8717
           47      -5.3301      -2.0449      -7.3751
           48      -5.2588      -1.8041      -7.0629
           49      -7.0107      -0.4733      -7.4840
           50      -1.7124      -1.5476      -3.2600
           51      -0.0746      -1.8091      -1.8837
           52      -0.9232      -1.1752      -2.0985
           53      -6.2535      -2.2080      -8.4616
           54      -1.0954      -1.6913      -2.7867
           55      -5.1964      -1.6275      -6.8240
           56      -0.6611      -1.7585      -2.4196
           57      -0.7178      -1.6657      -2.3834
           58      -3.3476      -2.3638      -5.7114
           59      -5.1612      -1.8455      -7.0068
           60      -2.8421      -2.1449      -4.9870
           61       2.3385      -0.9982       1.3403
           62      -3.3464      -2.0397      -5.3862
           63      -5.0016      -2.1741      -7.1757
           64      -6.4988      -1.3832      -7.8820
           65      -2.5574      -1.5936      -4.1510
           66      -5.1269      -1.8158      -6.9427
           67      -1.4065      -1.6373      -3.0438
           68      -1.1404      -1.8010      -2.9414
           69      -4.0263      -1.5677      -5.5940
           70      -7.1403       0.7700      -6.3703
           71      -4.2807      -2.1025      -6.3832
           72      -6.8670      -0.8562      -7.7232
           73      -7.9853       0.9372      -7.0480
           74      -5.2086      -1.0022      -6.2108
           75      -3.3664      -1.6877      -5.0542
           76      -5.7064      -1.2961      -7.0025
           77      -1.2415      -1.4832      -2.7246
           78      -3.6392      -2.4614      -6.1006
           79      -6.8836      -1.3165      -8.2001
           80      -6.5959      -1.8154      -8.4114
           81      -5.1341      -2.0429      -7.1770
           82      -4.7223      -1.2097      -5.9320
           83      -5.1218      -2.2913      -7.4131
           84      -4.0279      -2.1163      -6.1441
           85      -2.6233      -2.1555      -4.7788
           86      -4.6010      -2.3309      -6.9320
           87      -2.5640      -1.6822      -4.2462
           88      -1.2019      -1.1959      -2.3978
           89      -1.9228      -1.4911      -3.4139
           90      -4.6051      -2.1525      -6.7576
           91      -4.8477      -2.2704      -7.1181
           92      -2.4739      -1.7705      -4.2444
           93      -3.4542      -2.2197      -5.6738
           94      -5.3557      -1.6693      -7.0250
