# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/08/23  10:06:57                  
# N: 49215 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83616
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL_mut/MR-COL_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 370 (N) to 383 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49215
#        Step         Elec          VDW        Total
            1       0.0960      -0.0070       0.0890
            2       0.0804      -0.0121       0.0684
            3       0.0939      -0.0106       0.0832
            4       0.0888      -0.0089       0.0799
            5       0.1166      -0.0086       0.1080
            6       0.1051      -0.0093       0.0958
            7       0.0281      -0.0162       0.0119
            8       0.0536      -0.0090       0.0446
            9       0.0326      -0.0077       0.0249
           10       0.1169      -0.0078       0.1090
           11       0.0591      -0.0083       0.0508
           12       0.0380      -0.0068       0.0312
           13       0.0580      -0.0073       0.0507
           14       0.0299      -0.0067       0.0231
           15       0.0259      -0.0073       0.0186
           16       0.0247      -0.0106       0.0141
           17       0.0555      -0.0102       0.0453
           18       0.0634      -0.0112       0.0522
           19       0.0810      -0.0102       0.0709
           20       0.0692      -0.0077       0.0615
           21       0.0388      -0.0102       0.0286
           22       0.0493      -0.0092       0.0400
           23       0.0663      -0.0083       0.0580
           24       0.1026      -0.0110       0.0916
           25       0.0888      -0.0069       0.0819
           26       0.0763      -0.0071       0.0692
           27       0.0728      -0.0065       0.0663
           28       0.0326      -0.0083       0.0242
           29       0.0217      -0.0091       0.0126
           30       0.0844      -0.0129       0.0715
           31       0.0646      -0.0090       0.0557
           32       0.0997      -0.0106       0.0891
           33       0.0898      -0.0133       0.0764
           34       0.0864      -0.0098       0.0767
           35       0.0028      -0.0086      -0.0059
           36       0.1136      -0.0074       0.1061
           37       0.1197      -0.0144       0.1054
           38       0.0020      -0.0078      -0.0058
           39       0.0914      -0.0091       0.0823
           40       0.0731      -0.0114       0.0616
           41       0.0228      -0.0088       0.0140
           42       0.0640      -0.0113       0.0527
           43       0.0526      -0.0112       0.0413
           44       0.0445      -0.0063       0.0383
           45       0.0761      -0.0115       0.0646
           46       0.0989      -0.0092       0.0898
           47       0.0684      -0.0084       0.0600
           48       0.0404      -0.0091       0.0313
           49       0.0335      -0.0076       0.0259
           50       0.1335      -0.0088       0.1246
           51       0.1019      -0.0124       0.0894
           52       0.0663      -0.0111       0.0552
           53       0.1093      -0.0109       0.0985
           54      -0.0214      -0.0121      -0.0336
           55       0.0410      -0.0112       0.0298
           56       0.0362      -0.0111       0.0251
           57       0.0101      -0.0118      -0.0017
           58       0.1009      -0.0102       0.0907
           59       0.0657      -0.0119       0.0538
           60       0.0361      -0.0113       0.0247
           61       0.0445      -0.0088       0.0357
           62       0.0592      -0.0094       0.0498
           63       0.0581      -0.0062       0.0519
           64       0.0764      -0.0079       0.0685
           65       0.0897      -0.0069       0.0828
           66       0.0757      -0.0069       0.0688
           67       0.0610      -0.0072       0.0538
           68       0.0940      -0.0073       0.0867
           69       0.0733      -0.0090       0.0643
           70       0.0070      -0.0079      -0.0009
           71       0.0766      -0.0082       0.0684
           72       0.0588      -0.0090       0.0499
