# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/08/23  10:06:57                  
# N: 49215 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83616
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL_mut/MR-COL_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 1385 (N) to 1403 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49215
#        Step         Elec          VDW        Total
            1       1.9639      -3.9763      -2.0125
            2       1.4778      -3.4699      -1.9922
            3       1.0651      -2.2983      -1.2332
            4       1.0177      -3.9060      -2.8882
            5       1.4504      -3.4854      -2.0350
            6       2.2684      -3.9976      -1.7292
            7       1.1124      -3.9618      -2.8494
            8       1.2229      -3.8716      -2.6487
            9       1.3304      -3.2090      -1.8786
           10       1.5307      -3.1584      -1.6277
           11       1.5701      -3.3896      -1.8196
           12       1.9031      -4.0206      -2.1175
           13       1.9406      -3.7643      -1.8237
           14       0.9407      -4.1658      -3.2251
           15       1.7807      -3.6337      -1.8530
           16       2.4864      -4.3238      -1.8374
           17       1.2679      -3.6750      -2.4071
           18       2.1608      -3.5461      -1.3853
           19       1.0502      -3.6858      -2.6356
           20       1.6553      -3.6004      -1.9452
           21       0.8230      -3.6481      -2.8251
           22       1.3656      -4.1197      -2.7541
           23       2.4570      -4.1447      -1.6877
           24       1.4231      -3.3788      -1.9558
           25       1.2716      -2.9404      -1.6688
           26       1.3420      -3.0571      -1.7152
           27       1.5668      -3.3502      -1.7834
           28       1.5538       0.0177       1.5716
           29       2.5779      -3.9937      -1.4157
           30       1.4477      -3.4520      -2.0042
           31       1.5292      -3.0013      -1.4722
           32       2.0633      -4.0357      -1.9724
           33       0.9613      -3.2283      -2.2670
           34       1.1532      -3.6240      -2.4708
           35       1.2884      -3.2595      -1.9710
           36       1.6209      -3.5430      -1.9221
           37       0.9271      -3.8815      -2.9544
           38       1.4514      -3.8605      -2.4091
           39       1.2842      -3.1970      -1.9128
           40       0.9835      -3.5560      -2.5726
           41       1.6350      -3.8032      -2.1682
           42       1.2386      -3.9414      -2.7028
           43       1.7158      -3.3625      -1.6466
           44       1.2273      -2.5024      -1.2751
           45       2.1259      -3.3701      -1.2441
           46       2.0114      -3.7837      -1.7723
           47       0.8605      -3.4896      -2.6291
           48       1.0993      -3.3521      -2.2528
           49       0.9736      -2.8931      -1.9196
           50       1.9475      -4.0739      -2.1264
           51       1.6746      -4.1372      -2.4626
           52       2.3572      -3.5424      -1.1853
           53       1.0713      -3.1296      -2.0583
           54       1.6519      -4.1898      -2.5379
           55       0.6699      -2.7101      -2.0402
           56       1.0521      -3.7030      -2.6509
           57       1.7992      -3.5049      -1.7057
           58       1.9611      -3.4653      -1.5042
           59       1.3118      -2.7540      -1.4422
           60       1.2021      -3.8772      -2.6752
           61       1.6744      -3.4230      -1.7486
           62       1.1400      -3.4880      -2.3481
           63       1.2167      -3.6581      -2.4414
           64       0.8371      -2.2831      -1.4460
           65       1.3856      -3.6139      -2.2283
           66       1.1985      -3.7186      -2.5201
           67       1.7599      -2.8276      -1.0677
           68       2.3268      -4.3921      -2.0653
           69       1.8744      -3.4645      -1.5901
           70       1.7823      -3.8379      -2.0556
           71       1.3506      -3.9705      -2.6199
           72       0.9594      -3.0034      -2.0440
           73       0.9101      -2.0810      -1.1709
           74       1.5273      -4.2460      -2.7187
           75       2.0281      -3.8939      -1.8658
           76       1.2883      -4.0040      -2.7157
           77       1.4205      -3.6402      -2.2197
           78       1.2597      -1.4175      -0.1578
           79       0.8529      -1.7812      -0.9283
           80       0.6948      -3.5903      -2.8955
           81       1.5158      -3.9780      -2.4622
           82       1.7562      -3.7471      -1.9909
           83       1.0828      -3.6672      -2.5844
           84       0.9831      -3.8818      -2.8987
           85       1.3894      -3.0456      -1.6562
           86       1.3597      -4.0587      -2.6990
           87       1.7942      -3.4101      -1.6159
           88       1.3987      -2.9173      -1.5186
           89       1.7104      -4.1523      -2.4419
           90       1.7758      -3.9564      -2.1807
           91       0.6122      -3.7311      -3.1189
           92       1.5721      -3.0896      -1.5175
           93       1.4224      -1.8479      -0.4256
           94       1.0727      -4.0824      -3.0097
           95       1.2326      -3.8113      -2.5787
           96       2.1081      -4.4832      -2.3751
           97       0.6600      -3.5663      -2.9063
           98       1.4012      -3.5306      -2.1294
           99       2.0380      -3.3687      -1.3307
          100       2.2180      -4.1816      -1.9636
          101       1.3564      -4.3234      -2.9670
          102       0.7146      -3.6294      -2.9148
          103       1.5775      -2.9842      -1.4067
          104       1.9356      -4.5472      -2.6116
          105       0.8398      -3.8065      -2.9667
          106       1.7710      -4.2352      -2.4642
          107       1.0029      -2.7542      -1.7514
          108       1.2671      -2.9999      -1.7329
          109       1.0152      -1.7044      -0.6892
          110       1.0108      -2.5318      -1.5210
          111       1.0068      -2.8608      -1.8539
          112       2.7476      -3.3057      -0.5581
          113       1.5996      -3.1709      -1.5712
          114       1.6796      -4.3154      -2.6358
          115       2.6063      -4.2127      -1.6064
          116       1.8215      -2.3845      -0.5630
          117       1.3599      -2.7880      -1.4281
          118       0.9324      -2.0789      -1.1465
          119       1.3268      -2.6383      -1.3115
          120       1.3948      -3.3442      -1.9494
          121       1.4933      -2.9921      -1.4989
          122       1.5714      -3.5981      -2.0267
          123       0.9905      -3.0360      -2.0455
          124       1.3170      -2.6976      -1.3807
          125       1.0368      -2.4066      -1.3698
          126       1.5005      -3.3365      -1.8360
          127       1.2680      -2.3440      -1.0760
          128       1.5077      -3.0659      -1.5583
          129       1.9531      -2.8717      -0.9186
          130       2.2690      -4.0543      -1.7853
          131       1.0832      -3.4690      -2.3858
          132       1.4717      -3.8628      -2.3911
          133       1.3141      -2.8288      -1.5147
          134       1.4245      -3.6945      -2.2700
          135       1.1568      -3.3359      -2.1791
          136       1.4890      -3.9300      -2.4409
          137       1.8164      -4.2876      -2.4712
          138       1.6603      -3.7839      -2.1236
          139       1.1222      -4.1071      -2.9848
          140       1.1623      -3.3142      -2.1519
          141       2.1705      -3.7091      -1.5386
          142       1.3108      -3.6858      -2.3750
          143       1.4301      -2.9101      -1.4800
          144       1.5557      -3.9427      -2.3870
          145       2.0327      -3.3042      -1.2716
          146       1.7631      -3.6382      -1.8750
          147       1.9485      -4.2492      -2.3007
          148       1.8931      -3.5429      -1.6498
          149       1.2199      -3.8007      -2.5808
          150       1.4797      -2.9893      -1.5096
          151       0.7762      -3.4975      -2.7213
          152       1.6034      -3.6112      -2.0078
          153       1.6042      -3.3821      -1.7779
          154       1.3631      -3.5400      -2.1769
          155       1.8252      -3.7130      -1.8878
          156       1.5843      -3.5441      -1.9598
          157       1.1446      -3.3745      -2.2299
          158       1.9897      -3.6672      -1.6775
          159       1.3777      -3.3530      -1.9753
          160       1.3863      -4.1775      -2.7913
          161       1.2842      -3.9526      -2.6684
          162       1.8674      -4.1193      -2.2519
          163       1.6294      -4.3366      -2.7072
          164       1.2580      -3.9888      -2.7307
          165       1.2090      -3.9057      -2.6968
          166       1.6062      -3.6011      -1.9949
          167       0.7242      -3.8055      -3.0813
          168       1.6079      -4.2184      -2.6105
          169       1.3039      -3.6370      -2.3330
          170       2.1983      -3.9435      -1.7452
          171       1.3413      -2.9124      -1.5711
          172       1.2046      -3.5243      -2.3197
          173       1.2002      -4.4485      -3.2483
          174       1.2539      -3.6735      -2.4196
          175       1.6838      -3.7790      -2.0952
          176       1.4795      -4.3430      -2.8635
          177       2.6206      -4.3223      -1.7017
          178       2.0608      -3.9067      -1.8460
          179       1.9484      -1.0111       0.9373
          180       1.1362      -3.4866      -2.3505
          181       1.4797      -3.9016      -2.4219
          182       1.7225      -4.2327      -2.5101
          183       1.0938      -3.8134      -2.7196
          184       1.5591      -3.7559      -2.1969
          185       1.3670      -3.4352      -2.0683
          186       1.1600      -2.9738      -1.8138
          187       1.5137      -3.7143      -2.2006
          188       1.5604      -2.8373      -1.2769
          189       1.4119      -3.5267      -2.1148
          190       1.2153      -3.6823      -2.4671
          191       1.6734      -3.9400      -2.2666
          192       1.4651      -3.8195      -2.3544
          193       2.8303      -4.1878      -1.3575
          194       1.6486      -3.1812      -1.5326
          195       2.1496      -4.1987      -2.0491
          196       1.3616      -2.8427      -1.4811
          197       1.3964      -3.4761      -2.0797
          198       2.1248      -4.2612      -2.1364
          199       1.5400      -3.5810      -2.0410
          200       1.1444      -3.4542      -2.3098
          201       1.7578      -3.8879      -2.1300
          202       1.9809      -4.2653      -2.2844
          203       0.8311      -2.9092      -2.0782
          204       0.9791      -3.0777      -2.0986
          205       1.3278      -3.3224      -1.9946
          206       1.1837      -2.4264      -1.2426
          207       1.2300      -3.5212      -2.2912
          208       1.1340      -2.9033      -1.7693
          209       1.6410      -3.7168      -2.0758
          210       1.3290      -3.2833      -1.9543
          211       2.7083      -3.8304      -1.1221
          212       0.6656      -3.6654      -2.9998
          213       1.9340      -4.2754      -2.3414
          214       1.6063      -2.6346      -1.0284
          215       1.3979      -4.0287      -2.6308
          216       1.6883      -2.9630      -1.2747
          217       1.5474      -4.0020      -2.4547
          218       1.9299      -4.1015      -2.1716
          219       1.6699      -4.3702      -2.7003
          220       1.3020      -3.0459      -1.7439
          221       1.3319      -3.6613      -2.3294
          222       1.0935      -2.7718      -1.6783
          223       1.1140      -2.9833      -1.8692
          224       0.8758      -3.2358      -2.3601
          225       0.9280      -2.8048      -1.8767
          226       0.9494      -3.6860      -2.7366
          227       1.4736      -3.2275      -1.7539
          228       1.0563      -4.2071      -3.1509
          229       0.8652      -3.9988      -3.1335
          230       1.5524      -4.0824      -2.5299
          231       2.9463      -3.3622      -0.4158
          232       1.4167      -3.7963      -2.3796
          233       1.2156      -3.4259      -2.2102
          234       1.1881      -3.1378      -1.9497
          235       1.0977      -3.8038      -2.7061
          236       1.6236      -3.7985      -2.1749
          237       1.1913      -3.4239      -2.2326
          238       1.3142      -4.1324      -2.8182
          239       0.8431      -3.9746      -3.1316
          240       1.6212      -3.0273      -1.4060
          241       2.2192      -4.0196      -1.8004
          242       1.3710      -4.3040      -2.9330
          243       1.2554      -2.9698      -1.7144
          244       0.9512      -3.5064      -2.5552
          245       1.6734      -3.1582      -1.4849
          246       0.8288      -3.7528      -2.9240
          247       1.7074      -3.8232      -2.1157
          248       2.0462      -4.0342      -1.9879
          249       0.8679      -3.4694      -2.6015
          250       1.5558      -3.3098      -1.7540
          251       1.2834      -3.6621      -2.3786
          252       1.4569      -3.0843      -1.6274
          253       1.8791      -3.7914      -1.9123
          254       1.3927      -3.4210      -2.0283
          255       2.1478      -4.3360      -2.1882
          256       1.3438      -3.4963      -2.1525
          257       1.5082      -1.9411      -0.4329
          258       1.5276      -3.6421      -2.1144
          259       1.6005      -4.2009      -2.6004
          260       1.3813      -3.0995      -1.7182
          261       1.6709      -4.2103      -2.5394
          262       1.3874      -3.6556      -2.2682
          263       1.1577      -4.4559      -3.2982
          264       1.8017      -3.8706      -2.0688
          265       1.9403      -4.3592      -2.4188
          266       1.0673      -3.0345      -1.9671
          267       1.3587      -3.9457      -2.5870
          268       1.1877      -2.7690      -1.5813
          269       1.3827      -4.2997      -2.9170
          270       1.8681      -4.0145      -2.1464
          271       0.7873      -4.1097      -3.3224
          272       1.6342      -3.2839      -1.6497
          273       2.4893      -4.3445      -1.8552
          274       1.5135      -4.1139      -2.6004
          275       1.9202      -3.9623      -2.0421
          276       1.7631      -3.4050      -1.6419
          277       0.3127      -3.6220      -3.3093
          278       1.7173      -3.3577      -1.6404
          279       1.3211      -3.4869      -2.1658
          280       1.5280      -2.4382      -0.9102
          281       2.3973      -4.5532      -2.1560
          282       1.7881      -3.8843      -2.0963
          283       1.4693      -2.5801      -1.1109
          284       1.5292      -4.1742      -2.6449
          285       1.4782      -3.2915      -1.8134
          286       2.7778      -4.3154      -1.5376
          287       1.7033      -3.6502      -1.9469
          288       1.1155      -3.5446      -2.4292
          289       2.0359      -4.0108      -1.9749
          290       1.2032      -3.3606      -2.1573
          291       4.0277      -4.0047       0.0229
          292       1.5497      -4.0040      -2.4543
          293       1.3027      -3.3806      -2.0779
          294       2.3793      -3.6443      -1.2650
          295       1.3574      -3.7598      -2.4024
          296       1.4054      -3.3767      -1.9713
          297       1.5902      -3.7740      -2.1838
          298       1.5491      -2.9318      -1.3827
          299       1.5949      -4.0767      -2.4818
