# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/08/23  10:06:57                  
# N: 49215 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83616
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL_mut/MR-COL_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 3666 (N) to 3689 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49215
#        Step         Elec          VDW        Total
            1       0.6279      -0.0305       0.5973
            2       0.8359      -0.0312       0.8047
            3       0.4400      -0.0426       0.3973
            4       0.7623      -0.0379       0.7244
            5       0.1567      -0.0319       0.1249
            6       0.6824      -0.0337       0.6487
            7       0.6167      -0.0347       0.5820
            8       0.4908      -0.0329       0.4580
            9       0.1184      -0.0361       0.0823
           10       0.1302      -0.0276       0.1026
           11       0.7518      -0.0346       0.7173
           12       0.2000      -0.0301       0.1699
           13       0.0785      -0.0364       0.0421
           14      -0.0811      -0.0343      -0.1154
           15       0.6187      -0.0346       0.5841
           16       0.8850      -0.0284       0.8567
           17       0.5461      -0.0305       0.5156
           18       0.6604      -0.0304       0.6300
           19       0.6707      -0.0303       0.6404
           20       1.0554      -0.0347       1.0207
           21       0.4574      -0.0343       0.4231
           22       0.7533      -0.0312       0.7221
           23       0.6547      -0.0372       0.6175
           24       0.9713      -0.0361       0.9352
           25       0.5097      -0.0338       0.4758
           26       0.4802      -0.0385       0.4417
           27       0.3910      -0.0335       0.3575
           28       0.4556      -0.0350       0.4207
           29       0.7647      -0.0321       0.7326
           30       0.4156      -0.0332       0.3824
           31       0.5341      -0.0351       0.4989
           32       0.1905      -0.0302       0.1603
           33       0.3613      -0.0323       0.3289
           34       0.6623      -0.0325       0.6298
           35       0.8608      -0.0367       0.8240
           36       0.8351      -0.0353       0.7998
           37       0.5174      -0.0335       0.4840
           38       0.5122      -0.0328       0.4794
           39       0.7449      -0.0305       0.7145
           40       0.6102      -0.0304       0.5798
           41       0.6012      -0.0389       0.5623
           42       0.9531      -0.0365       0.9166
           43       0.6824      -0.0335       0.6489
           44       0.6336      -0.0338       0.5998
           45       0.6474      -0.0301       0.6173
           46       1.0246      -0.0364       0.9882
           47       0.5544      -0.0307       0.5236
           48       0.8167      -0.0303       0.7865
           49       1.0236      -0.0335       0.9901
           50       0.6446      -0.0296       0.6151
           51       0.5632      -0.0232       0.5400
           52       0.3610      -0.0307       0.3303
           53       0.7832      -0.0410       0.7423
           54       1.1921      -0.0339       1.1582
           55       1.0449      -0.0381       1.0068
           56       0.9399      -0.0368       0.9031
           57       0.7910      -0.0362       0.7548
           58       0.7784      -0.0288       0.7495
           59       0.6820      -0.0319       0.6501
           60       1.0587      -0.0360       1.0227
           61       0.6875      -0.0356       0.6519
           62       0.9365      -0.0382       0.8983
           63       0.9207      -0.0304       0.8903
           64       0.5610      -0.0284       0.5327
           65       0.4983      -0.0313       0.4670
           66       0.6871      -0.0317       0.6554
           67       0.7343      -0.0300       0.7043
           68       0.4059      -0.0393       0.3666
           69       0.4049      -0.0309       0.3741
           70       0.5721      -0.0347       0.5374
           71       0.6481      -0.0376       0.6104
           72       0.5752      -0.0382       0.5370
           73       0.6057      -0.0356       0.5701
           74       0.7052      -0.0285       0.6767
           75       0.9137      -0.0287       0.8850
           76       0.6748      -0.0306       0.6442
           77       0.5144      -0.0384       0.4760
           78       0.8417      -0.0402       0.8015
           79       0.2919      -0.0381       0.2538
           80       0.5605      -0.0307       0.5298
           81       0.3969      -0.0351       0.3618
           82       0.9481      -0.0325       0.9157
           83       0.4226      -0.0389       0.3837
           84       0.4641      -0.0356       0.4285
           85       0.7084      -0.0405       0.6678
           86       0.6285      -0.0326       0.5960
           87       0.4764      -0.0431       0.4333
           88       0.9037      -0.0399       0.8638
           89       0.8568      -0.0382       0.8187
           90       0.6731      -0.0305       0.6426
           91       0.1135      -0.0326       0.0809
           92      -0.2126      -0.0372      -0.2498
           93       0.1416      -0.0335       0.1080
           94       0.7359      -0.0349       0.7010
           95      -0.0363      -0.0282      -0.0646
           96       0.5741      -0.0282       0.5460
           97       0.1628      -0.0350       0.1278
           98       0.2887      -0.0339       0.2548
           99      -0.2706      -0.0346      -0.3052
          100       0.2286      -0.0328       0.1959
          101      -0.0442      -0.0333      -0.0775
          102       0.3579      -0.0325       0.3254
          103       0.4952      -0.0305       0.4647
          104       0.0812      -0.0272       0.0540
          105       0.2271      -0.0366       0.1905
          106       0.8362      -0.0314       0.8048
          107       0.5167      -0.0306       0.4862
          108       0.8088      -0.0376       0.7712
          109       0.7549      -0.0285       0.7264
          110       0.9991      -0.0348       0.9643
          111       0.8111      -0.0401       0.7710
          112       0.7189      -0.0282       0.6907
          113       0.4687      -0.0327       0.4360
          114       0.4671      -0.0335       0.4336
          115       0.6421      -0.0303       0.6118
          116       0.8022      -0.0412       0.7610
          117       0.4684      -0.0344       0.4340
          118       0.7335      -0.0205       0.7130
          119       0.5227      -0.0372       0.4856
          120       0.4746      -0.0310       0.4436
          121       0.8433      -0.0363       0.8070
          122       0.6098      -0.0293       0.5805
          123       0.3791      -0.0329       0.3462
          124       0.8036      -0.0336       0.7700
          125       0.5890      -0.0333       0.5556
          126       0.5302      -0.0282       0.5020
          127       0.6347      -0.0302       0.6046
          128       0.3481      -0.0343       0.3137
          129       0.4495      -0.0336       0.4159
          130       0.2368      -0.0335       0.2033
          131       0.6002      -0.0332       0.5670
          132       0.0756      -0.0352       0.0405
          133       0.4172      -0.0319       0.3852
          134       0.4852      -0.0315       0.4538
          135       0.5304      -0.0329       0.4975
          136       0.6554      -0.0307       0.6246
          137       0.6428      -0.0332       0.6095
          138       0.6964      -0.0359       0.6605
          139       0.1786      -0.0361       0.1425
          140       0.4593      -0.0380       0.4213
          141       0.6130      -0.0323       0.5807
          142       0.5065      -0.0353       0.4712
          143       0.4375      -0.0306       0.4069
          144       0.3400      -0.0386       0.3014
          145       0.0135      -0.0333      -0.0199
          146       0.6162      -0.0377       0.5785
          147       0.5802      -0.0314       0.5488
          148       0.2173      -0.0337       0.1835
          149       0.4176      -0.0381       0.3795
          150       0.7620      -0.0332       0.7288
          151       0.3495      -0.0271       0.3224
          152       0.2964      -0.0305       0.2659
