# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/08/23  10:06:57                  
# N: 49215 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83616
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL_mut/MR-COL_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# And atom 1 (C12) to 56 (H30).
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49215
#        Step         Elec          VDW        Total
            1     -37.9532     -56.0753     -94.0285
            2     -32.5087     -51.0157     -83.5244
            3     -41.3916     -51.6609     -93.0524
            4     -35.4224     -50.9672     -86.3896
            5     -40.4129     -52.8632     -93.2760
            6     -49.3752     -54.7014    -104.0766
            7     -31.4747     -57.2430     -88.7177
            8     -29.0213     -55.6733     -84.6946
            9     -42.4444     -51.7645     -94.2089
           10     -33.3773     -55.5906     -88.9679
           11     -37.6115     -54.6916     -92.3031
           12     -37.5293     -53.8331     -91.3624
           13     -32.0705     -56.9875     -89.0581
           14     -37.7434     -55.5555     -93.2989
           15     -40.9423     -50.6992     -91.6415
           16     -33.9512     -51.5472     -85.4985
           17     -34.5407     -53.7940     -88.3347
           18     -39.1062     -55.7293     -94.8355
           19     -39.3070     -51.5972     -90.9043
           20     -40.7439     -56.0795     -96.8234
           21     -41.1905     -51.2266     -92.4171
           22     -44.3864     -56.8010    -101.1875
           23     -41.2972     -51.3309     -92.6281
           24     -46.5528     -51.2558     -97.8086
           25     -42.4855     -53.2874     -95.7729
           26     -39.1028     -51.6530     -90.7558
           27     -34.7588     -52.5848     -87.3436
           28     -33.8444     -50.8069     -84.6514
           29     -28.3430     -56.3638     -84.7068
           30     -31.2777     -52.5484     -83.8260
           31     -35.7320     -54.8976     -90.6296
           32     -25.1060     -57.3768     -82.4828
           33     -34.8692     -52.0329     -86.9021
           34     -30.0884     -54.9574     -85.0458
           35     -46.9332     -48.6775     -95.6106
           36     -44.3584     -55.7697    -100.1281
           37     -37.5731     -51.4356     -89.0087
           38     -35.9974     -55.9318     -91.9292
           39     -38.5114     -49.4778     -87.9892
