# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/08/23  10:06:57                  
# N: 49215 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83616
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL_mut/MR-COL_S810L.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # Protein last residue number: 258
# You selected atom 57 (N) to 4269 (OXT)
# And atom 1 (C12) to 56 (H30).
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49215
#        Step         Elec          VDW        Total
            1     -43.6620     -54.5575     -98.2195
            2     -41.4324     -49.4354     -90.8678
            3     -37.8529     -50.9668     -88.8198
            4     -43.0846     -49.7591     -92.8436
            5     -45.0422     -51.1483     -96.1906
            6     -43.5892     -54.8151     -98.4043
            7     -39.0475     -55.5899     -94.6374
            8     -39.4599     -54.5479     -94.0078
            9     -44.7111     -50.3987     -95.1098
           10     -38.3791     -53.9483     -92.3274
           11     -39.6316     -53.2518     -92.8833
           12     -43.3046     -52.4247     -95.7293
           13     -35.8735     -55.7351     -91.6086
           14     -42.3920     -54.1021     -96.4941
           15     -46.4239     -49.5520     -95.9759
           16     -29.7095     -52.9508     -82.6603
           17     -36.8367     -51.3385     -88.1753
           18     -33.5527     -55.0361     -88.5889
           19     -36.4118     -50.2856     -86.6974
           20     -41.4382     -53.9836     -95.4218
           21     -39.0131     -49.3486     -88.3617
           22     -41.8854     -56.1550     -98.0404
           23     -36.0777     -52.0563     -88.1340
           24     -40.1768     -52.5434     -92.7202
           25     -36.8126     -53.1599     -89.9725
           26     -37.8972     -50.0177     -87.9149
           27     -43.5681     -50.8687     -94.4368
           28     -40.5164     -49.2450     -89.7615
           29     -31.0550     -55.2279     -86.2829
           30     -33.2491     -51.2907     -84.5398
           31     -39.9408     -53.6169     -93.5577
           32     -28.2197     -55.8958     -84.1155
           33     -40.1121     -50.4870     -90.5990
           34     -35.3175     -53.3570     -88.6744
           35     -42.4012     -49.5785     -91.9797
           36     -41.7861     -54.7528     -96.5390
           37     -39.9559     -49.8570     -89.8129
           38     -41.7479     -54.4281     -96.1760
           39     -38.7790     -47.4538     -86.2328
           40     -44.7050     -50.8832     -95.5882
           41     -36.7690     -50.5608     -87.3298
           42     -46.4269     -52.9171     -99.3440
           43     -34.3051     -53.2570     -87.5620
           44     -42.3607     -49.8939     -92.2547
           45     -34.4553     -52.9489     -87.4042
           46     -41.0305     -52.5957     -93.6262
           47     -37.9579     -54.1772     -92.1351
           48     -41.2076     -54.7710     -95.9786
           49     -41.8742     -50.7190     -92.5932
           50     -39.4788     -53.0012     -92.4800
           51     -36.0653     -52.4619     -88.5272
           52     -38.2521     -54.4025     -92.6546
           53     -37.4418     -55.0895     -92.5313
           54     -43.8045     -55.4178     -99.2222
           55     -37.7170     -48.4238     -86.1408
           56     -30.4794     -55.8940     -86.3734
           57     -39.6598     -50.2258     -89.8856
           58     -43.4231     -48.2411     -91.6642
           59     -43.8653     -48.6046     -92.4698
           60     -37.2819     -55.1491     -92.4310
           61     -34.2526     -52.9470     -87.1997
           62     -42.7090     -44.8793     -87.5883
           63     -41.6695     -52.3504     -94.0200
           64     -39.3437     -47.2250     -86.5686
           65     -41.4751     -53.5373     -95.0124
           66     -43.2088     -52.7924     -96.0012
           67     -41.6087     -48.3890     -89.9977
           68     -33.6605     -51.4683     -85.1288
           69     -36.4493     -53.9108     -90.3600
           70     -44.3048     -48.7438     -93.0486
           71     -43.2804     -49.5677     -92.8481
           72     -40.9558     -47.0378     -87.9936
           73     -42.0477     -48.3867     -90.4344
           74     -41.9828     -52.5758     -94.5587
           75     -35.8429     -57.8053     -93.6481
           76     -37.6034     -56.2067     -93.8101
           77     -47.8191     -45.8131     -93.6323
           78     -39.6673     -48.2332     -87.9005
           79     -51.9756     -46.9024     -98.8780
           80     -46.3629     -46.1285     -92.4913
           81     -42.0366     -55.4388     -97.4754
           82     -43.6675     -54.2100     -97.8775
           83     -43.4812     -52.9186     -96.3999
           84     -48.3833     -47.1572     -95.5405
           85     -44.8786     -49.2545     -94.1331
           86     -42.3162     -50.4250     -92.7412
           87     -38.3112     -52.8705     -91.1817
           88     -38.2374     -47.8192     -86.0566
           89     -32.5366     -58.6110     -91.1476
           90     -45.4581     -52.8136     -98.2717
           91     -38.6468     -53.3306     -91.9775
           92     -32.5922     -51.3243     -83.9165
           93     -35.4123     -50.0344     -85.4467
           94     -31.6579     -52.2877     -83.9456
           95     -36.2554     -48.7443     -84.9997
           96     -33.1843     -48.3427     -81.5270
           97     -32.5485     -51.2728     -83.8213
           98     -31.1960     -47.1539     -78.3499
           99     -29.2545     -49.7088     -78.9633
          100     -21.5191     -52.8619     -74.3810
          101     -37.0814     -50.3749     -87.4563
          102     -40.0549     -45.9925     -86.0474
          103     -43.1690     -47.8749     -91.0439
          104     -38.1662     -50.2552     -88.4215
          105     -42.3591     -51.8494     -94.2085
          106     -37.7748     -55.9246     -93.6994
          107     -42.9082     -47.8091     -90.7173
          108     -34.1046     -50.2412     -84.3458
          109     -35.4202     -44.0142     -79.4344
          110     -46.1106     -50.4328     -96.5434
          111     -41.3736     -47.1160     -88.4895
          112     -36.5629     -49.9309     -86.4939
