# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/13/23  16:27:23                  
# N: 49204 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83550
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR/MR-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 1488 (N) to 1511 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49204
#        Step         Elec          VDW        Total
            1     -19.8464       1.2933     -18.5531
            2     -15.6120       0.7388     -14.8732
            3     -17.0542      -0.4945     -17.5487
            4     -13.8498       0.9861     -12.8637
            5     -13.9529       0.9461     -13.0068
            6     -13.0213      -0.6355     -13.6568
            7     -12.7730      -0.4341     -13.2070
            8     -12.1652      -0.6040     -12.7691
            9     -14.3591      -0.1188     -14.4779
           10     -15.1621      -0.2017     -15.3638
           11     -14.2386       0.9272     -13.3115
           12     -16.2794       1.8698     -14.4096
           13     -15.5773       0.2070     -15.3703
           14     -13.6612      -0.6022     -14.2635
           15     -13.7794      -0.4798     -14.2591
           16     -14.3095      -0.5025     -14.8120
           17      -9.6183      -0.7641     -10.3823
           18     -12.7345      -0.0889     -12.8234
           19     -12.3221      -0.5289     -12.8510
           20     -10.6340      -0.5841     -11.2181
           21     -15.0741      -0.2824     -15.3565
           22     -14.8613       1.8323     -13.0290
           23     -13.3730      -0.4526     -13.8256
           24     -17.7108       0.3756     -17.3351
           25     -12.9863      -0.2533     -13.2396
           26     -17.2710       0.3355     -16.9355
           27     -10.7410      -0.7234     -11.4644
           28     -15.2508      -0.4114     -15.6622
           29     -11.7492      -0.6759     -12.4250
           30     -13.7812      -0.1234     -13.9046
           31     -12.2727      -0.6477     -12.9204
           32     -13.5670      -0.4003     -13.9673
           33     -14.3628      -0.4143     -14.7770
           34     -14.0608       0.4820     -13.5788
           35     -14.7401       0.1038     -14.6363
           36     -12.5236      -0.2001     -12.7236
           37     -14.4708       0.8911     -13.5797
           38     -11.7929      -0.6043     -12.3971
           39     -13.0989      -0.6945     -13.7935
           40     -15.3607       0.0306     -15.3301
           41     -13.4433      -0.3620     -13.8053
           42     -14.5847      -0.1907     -14.7754
           43     -15.3031      -0.3339     -15.6370
           44     -14.2206      -0.5614     -14.7820
           45     -13.9338      -0.1846     -14.1184
           46     -13.3874      -0.5985     -13.9858
           47     -10.8304      -0.6301     -11.4605
           48     -15.7250       0.3352     -15.3897
           49     -15.4532       0.5302     -14.9230
           50     -11.6974      -0.6737     -12.3711
           51     -12.3217      -0.5039     -12.8256
           52     -16.8106       0.9326     -15.8779
           53      -8.3673      -0.8172      -9.1846
           54     -19.6544       2.1171     -17.5373
           55     -11.4704      -0.7284     -12.1987
           56     -12.8954      -0.7264     -13.6218
           57     -14.5419       0.2795     -14.2624
           58     -10.5456      -0.6559     -11.2016
           59      -9.9965      -0.6745     -10.6710
           60     -19.8943       0.4777     -19.4166
           61     -15.6391       0.6426     -14.9966
           62     -13.7772      -0.5619     -14.3391
           63     -11.9428      -0.6302     -12.5730
           64     -15.3522       0.1938     -15.1583
