# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/13/23  16:27:23                  
# N: 49204 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83550
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR/MR-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 707 (N) to 720 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49204
#        Step         Elec          VDW        Total
            1      -1.5257      -3.2208      -4.7465
            2      -2.0719      -3.0914      -5.1633
            3      -1.9235      -2.8974      -4.8209
            4      -1.7816      -2.8847      -4.6663
            5      -1.4521      -2.8126      -4.2647
            6      -1.4724      -2.6883      -4.1607
            7      -2.5273      -0.7754      -3.3027
            8      -1.8613      -2.6627      -4.5240
            9      -2.1966      -3.0014      -5.1981
           10      -1.7148      -3.3319      -5.0467
           11      -1.9401      -2.4764      -4.4165
           12      -1.1942      -2.6635      -3.8577
           13      -2.1010      -2.6290      -4.7300
           14      -2.1226      -2.7495      -4.8721
           15      -2.1064      -1.7853      -3.8917
           16      -1.6350      -2.2610      -3.8961
           17      -1.3463      -3.0830      -4.4293
           18      -1.5437      -2.4107      -3.9544
           19      -2.0251      -2.8619      -4.8870
           20      -1.7309      -2.4847      -4.2156
           21      -1.6364      -3.0720      -4.7084
           22      -1.6858      -2.5014      -4.1873
           23      -1.2455      -1.8751      -3.1206
           24      -1.7667      -2.7638      -4.5305
           25      -1.6786      -2.2033      -3.8818
           26      -1.7479      -2.7492      -4.4972
           27      -1.9369      -3.6150      -5.5519
           28      -2.4571      -2.4801      -4.9372
           29      -2.1446      -2.8938      -5.0384
           30      -2.2357      -2.0523      -4.2879
           31      -1.7511      -1.9236      -3.6746
           32      -1.9395      -3.1115      -5.0510
           33      -0.6241      -3.3819      -4.0061
           34      -1.4483      -2.8448      -4.2932
           35      -1.4191      -3.2569      -4.6760
           36      -1.8519      -3.5428      -5.3947
           37      -2.2054      -2.1527      -4.3581
           38      -1.9723      -2.8112      -4.7835
           39      -2.0944      -2.9343      -5.0287
           40      -1.4998      -2.6047      -4.1045
           41      -1.9387      -2.6895      -4.6282
           42      -1.9858      -2.3523      -4.3381
           43      -2.6295       0.5460      -2.0835
           44      -1.1949      -3.2638      -4.4586
           45      -2.0061      -3.0889      -5.0950
           46      -1.6437      -2.9695      -4.6132
           47      -2.3942      -2.6564      -5.0506
           48      -2.0500      -3.5141      -5.5641
           49      -2.3535      -2.9484      -5.3019
           50      -1.7358      -3.0162      -4.7520
           51      -1.8571      -2.4756      -4.3327
           52      -2.2405      -3.3066      -5.5471
           53      -1.1856      -3.7714      -4.9569
           54      -2.2782      -2.7372      -5.0153
           55      -1.8459      -2.0052      -3.8511
           56      -2.0357      -2.5843      -4.6201
           57      -1.7951      -2.4188      -4.2140
           58      -2.3042      -2.1026      -4.4067
           59      -1.3851      -2.5185      -3.9036
           60      -2.8213      -2.4005      -5.2218
           61      -1.7618      -3.2497      -5.0115
           62      -1.6846      -3.1453      -4.8298
           63      -1.7485      -2.7855      -4.5340
           64      -1.8354      -2.9707      -4.8060
           65      -1.6725      -2.7921      -4.4646
           66      -1.8981      -2.3584      -4.2565
           67      -2.2381      -1.7557      -3.9937
           68      -1.9949      -2.8090      -4.8039
           69      -1.8093      -2.6913      -4.5006
