# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/13/23  16:27:23                  
# N: 49204 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83550
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR/MR-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 803 (N) to 819 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49204
#        Step         Elec          VDW        Total
            1       0.1048      -1.5968      -1.4920
            2      -0.2615      -0.9446      -1.2061
            3      -0.6777      -1.0621      -1.7398
            4      -0.0445      -1.5913      -1.6357
            5      -0.0027      -1.4959      -1.4986
            6      -0.4557      -1.5019      -1.9576
            7       0.0520      -1.5849      -1.5329
            8      -0.5305      -1.4986      -2.0291
            9      -0.2314      -0.5412      -0.7726
           10      -0.1272      -1.4680      -1.5952
           11      -0.3462      -1.6502      -1.9965
           12      -0.7106      -0.7671      -1.4777
           13      -0.2287      -1.5799      -1.8086
           14      -0.3906      -1.5430      -1.9335
           15      -0.3637      -1.2080      -1.5718
           16      -0.0621      -0.5633      -0.6254
           17       0.1254      -0.9333      -0.8079
           18      -0.2287      -0.8320      -1.0607
           19      -0.4212      -0.5266      -0.9478
           20      -0.4718      -1.3046      -1.7764
           21      -0.5700      -1.5219      -2.0919
           22      -0.3427      -1.1956      -1.5383
           23      -0.6442      -0.9001      -1.5444
           24      -0.7426      -1.6071      -2.3497
           25      -0.0706      -1.2313      -1.3020
           26      -0.6428      -1.7022      -2.3450
           27      -0.8954      -1.4961      -2.3915
           28      -0.0381      -0.7829      -0.8210
           29      -0.4275      -0.8633      -1.2908
           30      -0.8811      -1.1088      -1.9900
           31      -0.1007      -1.9757      -2.0764
           32      -0.3770      -1.6612      -2.0382
           33      -0.5642      -1.3089      -1.8731
           34       0.0010      -0.9138      -0.9128
           35      -0.6240      -1.0556      -1.6796
           36      -0.5850      -0.5115      -1.0964
           37      -0.4658      -1.2229      -1.6887
           38      -0.3890      -1.4723      -1.8612
           39      -0.5079      -0.8936      -1.4015
           40      -0.9643      -1.4446      -2.4090
           41      -0.3105      -0.6131      -0.9237
           42      -0.1641      -1.1693      -1.3333
           43      -0.3820      -1.1094      -1.4914
           44       0.0909      -0.5976      -0.5066
