# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/13/23  16:27:23                  
# N: 49204 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83550
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR/MR-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 367 (N) to 380 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49204
#        Step         Elec          VDW        Total
            1       0.0799      -0.0097       0.0702
            2       0.1393      -0.0085       0.1308
            3       0.0888      -0.0089       0.0798
            4       0.1253      -0.0092       0.1161
            5       0.1497      -0.0170       0.1326
            6       0.1019      -0.0097       0.0923
            7       0.0912      -0.0100       0.0812
            8       0.1162      -0.0088       0.1075
            9       0.1343      -0.0086       0.1257
           10       0.1314      -0.0096       0.1218
           11       0.1250      -0.0094       0.1155
           12       0.1026      -0.0071       0.0955
           13       0.1297      -0.0144       0.1153
           14       0.0722      -0.0110       0.0612
           15       0.0830      -0.0115       0.0715
           16       0.1111      -0.0070       0.1041
           17       0.1368      -0.0081       0.1286
           18       0.1103      -0.0097       0.1006
           19       0.0996      -0.0092       0.0904
           20       0.1364      -0.0083       0.1281
           21       0.0973      -0.0100       0.0873
           22       0.0931      -0.0075       0.0857
           23       0.1112      -0.0085       0.1027
           24       0.1213      -0.0094       0.1119
           25       0.1021      -0.0064       0.0957
           26       0.1250      -0.0092       0.1158
           27       0.1309      -0.0126       0.1184
           28       0.0837      -0.0070       0.0767
           29       0.0989      -0.0077       0.0912
           30       0.0934      -0.0112       0.0821
           31       0.1224      -0.0133       0.1091
           32       0.0794      -0.0090       0.0703
           33       0.0892      -0.0071       0.0821
           34       0.1293      -0.0117       0.1176
           35       0.1133      -0.0107       0.1026
           36       0.0863      -0.0081       0.0782
           37       0.1233      -0.0075       0.1159
           38       0.1002      -0.0087       0.0915
           39       0.1024      -0.0097       0.0926
           40       0.0657      -0.0082       0.0575
           41       0.1215      -0.0082       0.1133
           42       0.1244      -0.0076       0.1168
           43       0.1275      -0.0107       0.1167
           44       0.1126      -0.0080       0.1046
           45       0.1326      -0.0095       0.1232
           46       0.1269      -0.0091       0.1177
           47       0.0975      -0.0121       0.0854
           48       0.1110      -0.0080       0.1030
           49       0.1078      -0.0101       0.0977
           50       0.1276      -0.0078       0.1198
           51       0.1041      -0.0080       0.0961
           52       0.1348      -0.0087       0.1261
           53       0.1179      -0.0108       0.1070
           54       0.1209      -0.0083       0.1125
           55       0.0799      -0.0082       0.0717
           56       0.1044      -0.0077       0.0967
           57       0.0778      -0.0096       0.0682
           58       0.1090      -0.0096       0.0994
           59       0.1000      -0.0095       0.0904
           60       0.1015      -0.0128       0.0886
           61       0.1161      -0.0087       0.1074
           62       0.1220      -0.0086       0.1134
           63       0.1081      -0.0084       0.0997
           64       0.1310      -0.0079       0.1231
           65       0.1192      -0.0085       0.1106
           66       0.1531      -0.0137       0.1394
           67       0.1506      -0.0099       0.1407
           68       0.1206      -0.0084       0.1122
           69       0.1517      -0.0110       0.1407
           70       0.1524      -0.0128       0.1396
           71       0.1230      -0.0126       0.1104
           72       0.1182      -0.0120       0.1061
           73       0.1149      -0.0126       0.1023
           74       0.1321      -0.0159       0.1162
           75       0.0968      -0.0124       0.0845
           76       0.1203      -0.0111       0.1092
           77       0.1083      -0.0096       0.0987
           78       0.1311      -0.0086       0.1225
           79       0.1113      -0.0111       0.1002
           80       0.0964      -0.0143       0.0821
           81       0.1638      -0.0144       0.1495
           82       0.1353      -0.0129       0.1224
           83       0.0832      -0.0144       0.0688
           84       0.1028      -0.0090       0.0939
           85       0.0862      -0.0148       0.0713
           86       0.1227      -0.0121       0.1105
           87       0.0828      -0.0099       0.0730
           88       0.1012      -0.0136       0.0876
           89       0.1308      -0.0124       0.1184
           90       0.1128      -0.0110       0.1018
           91       0.0949      -0.0089       0.0860
