# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/13/23  16:27:23                  
# N: 49204 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83550
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR/MR-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 1382 (N) to 1392 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49204
#        Step         Elec          VDW        Total
            1       1.2984      -3.3981      -2.0997
            2       1.5007      -3.2183      -1.7176
            3       1.3504      -3.8746      -2.5241
            4       1.0178      -3.3835      -2.3657
            5       1.5752      -3.5914      -2.0163
            6       1.4474      -3.7357      -2.2882
            7       3.1483      -2.3406       0.8078
            8       1.2097      -2.9279      -1.7181
            9       1.1834      -2.1320      -0.9485
           10       1.1729      -2.2338      -1.0609
           11       1.2608      -3.3021      -2.0413
           12       2.0348      -2.7118      -0.6769
           13       1.8071      -3.7296      -1.9224
           14       1.1814      -2.9464      -1.7650
           15       1.0269      -2.7949      -1.7680
           16       1.4042      -3.5587      -2.1545
           17       1.4182      -3.6288      -2.2106
           18       0.8642      -2.6693      -1.8051
           19       2.1855      -3.7104      -1.5248
           20       1.6232      -3.2746      -1.6514
           21       1.9686      -3.4895      -1.5209
           22       0.7920      -3.4364      -2.6445
           23       1.5315      -2.7819      -1.2504
           24       1.8709      -3.5975      -1.7266
           25       2.0746      -3.1106      -1.0360
           26       1.2734      -3.9509      -2.6775
           27       1.1982      -3.0864      -1.8882
           28       2.8112      -3.8166      -1.0053
           29       2.0530      -3.4597      -1.4066
           30       1.8997      -3.1807      -1.2810
           31       1.5553      -3.6044      -2.0491
           32       1.4850      -3.4584      -1.9734
           33       2.3456      -2.7239      -0.3782
           34       1.1435      -1.3615      -0.2180
           35       0.9013      -2.2082      -1.3070
           36       1.3070      -3.7594      -2.4525
           37       1.3437      -3.3596      -2.0159
           38       0.7942      -2.5958      -1.8016
           39       0.9384      -3.8294      -2.8911
           40       0.5667      -3.6058      -3.0391
           41       2.4796      -2.7814      -0.3018
           42       1.0646      -2.7697      -1.7051
           43       2.5637      -3.2410      -0.6773
           44       2.2476      -2.9880      -0.7404
           45       1.1700      -1.4090      -0.2390
           46       1.6665      -3.7148      -2.0483
           47       1.3144      -3.1859      -1.8715
           48       1.5016      -3.8407      -2.3391
           49       1.7724      -3.4937      -1.7212
           50       1.2491      -3.4025      -2.1534
           51       1.0792      -2.8072      -1.7280
           52       1.5130      -2.9993      -1.4863
           53       1.8709      -3.3941      -1.5233
           54       1.8257      -3.4490      -1.6233
           55       0.3209      -2.8871      -2.5662
           56       3.0392      -3.4858      -0.4466
           57       1.0724      -3.5791      -2.5067
           58       1.5480      -3.9532      -2.4052
           59       1.0197      -3.6987      -2.6790
           60       1.0904      -3.4482      -2.3578
           61       1.1536      -2.9880      -1.8344
           62       1.5694      -3.8856      -2.3162
           63       1.0131      -2.8905      -1.8775
           64       1.8263      -3.4227      -1.5964
           65       0.9406      -3.5627      -2.6220
           66       0.8448      -3.2209      -2.3761
           67       2.8050      -3.8010      -0.9961
           68       1.6383      -3.1488      -1.5105
           69       1.5990      -3.7206      -2.1216
           70       2.6948      -2.0909       0.6040
           71       0.8562      -3.5525      -2.6963
           72       1.0966      -3.1339      -2.0374
           73       0.7708      -3.7316      -2.9608
           74       2.7562      -3.4559      -0.6998
           75       1.2705      -4.0239      -2.7534
           76       1.6102      -3.8933      -2.2831
           77       1.0663      -3.2087      -2.1424
           78       0.6350      -3.1936      -2.5586
           79       1.3651      -2.4734      -1.1083
           80       0.4325      -2.7915      -2.3590
           81       1.2082      -3.8142      -2.6060
           82       1.7289      -3.8282      -2.0993
           83       0.8604      -3.1878      -2.3274
           84       1.3022      -3.6384      -2.3363
           85       1.0252      -3.2314      -2.2063
           86       1.2224      -2.6256      -1.4031
           87       2.2692      -3.4958      -1.2266
           88       0.8394      -3.6542      -2.8147
           89       2.4707      -2.6880      -0.2173
           90       0.9900      -3.5410      -2.5510
           91       0.8643      -3.6731      -2.8088
           92       0.7976      -2.3308      -1.5332
           93       1.4083      -3.4234      -2.0151
           94       1.1033      -3.3069      -2.2036
           95       1.9780      -3.3031      -1.3252
           96       1.2513      -3.1697      -1.9184
           97       1.2223      -3.6490      -2.4267
           98       0.8563      -2.8298      -1.9735
           99       2.0086      -3.5547      -1.5461
          100       2.0168      -3.8049      -1.7881
          101       1.6763      -3.5353      -1.8590
          102       2.0246      -3.0005      -0.9759
          103       1.1608      -3.4991      -2.3383
          104       0.8451      -3.4843      -2.6393
          105       0.6072      -3.6768      -3.0696
          106       0.9299      -1.7389      -0.8089
          107       2.0608      -3.7093      -1.6485
          108       1.6925      -3.0139      -1.3214
          109       1.0328      -3.7426      -2.7098
          110       0.6520      -3.1401      -2.4881
          111       1.0466      -3.3244      -2.2778
          112       0.8881      -2.6161      -1.7280
