# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/13/23  16:27:23                  
# N: 49204 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83550
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR/MR-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 3655 (N) to 3678 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49204
#        Step         Elec          VDW        Total
            1      -0.7624      -0.0285      -0.7908
            2      -0.6409      -0.0324      -0.6733
            3      -0.9215      -0.0333      -0.9548
            4      -0.6872      -0.0336      -0.7208
            5      -0.5304      -0.0250      -0.5554
            6      -0.7240      -0.0274      -0.7514
            7      -0.7402      -0.0291      -0.7693
            8      -0.5772      -0.0280      -0.6052
            9      -0.8694      -0.0287      -0.8981
           10      -0.5849      -0.0265      -0.6114
           11      -0.7674      -0.0306      -0.7980
           12      -0.5651      -0.0225      -0.5876
           13      -0.8285      -0.0270      -0.8554
           14      -0.7049      -0.0232      -0.7282
           15      -0.2262      -0.0224      -0.2486
           16      -0.3320      -0.0306      -0.3626
           17      -0.3538      -0.0323      -0.3861
           18      -0.2402      -0.0289      -0.2691
           19      -0.6884      -0.0294      -0.7178
           20      -0.6548      -0.0278      -0.6826
           21      -0.5086      -0.0281      -0.5367
           22      -0.7475      -0.0292      -0.7766
           23      -0.8299      -0.0305      -0.8604
           24      -0.6773      -0.0305      -0.7078
           25      -0.5925      -0.0312      -0.6237
           26      -0.4685      -0.0296      -0.4981
           27      -0.5611      -0.0342      -0.5953
           28      -0.5683      -0.0236      -0.5920
           29      -0.5551      -0.0280      -0.5831
           30      -0.5554      -0.0249      -0.5803
           31      -0.4560      -0.0276      -0.4836
           32      -0.5859      -0.0251      -0.6110
           33      -0.5546      -0.0292      -0.5838
           34      -0.2561      -0.0268      -0.2829
           35      -0.5055      -0.0243      -0.5299
           36      -0.4960      -0.0247      -0.5207
           37      -0.2382      -0.0231      -0.2613
           38      -0.6408      -0.0290      -0.6698
           39      -0.4681      -0.0237      -0.4918
           40      -0.3810      -0.0304      -0.4114
           41      -0.6460      -0.0268      -0.6728
           42      -0.4754      -0.0248      -0.5002
           43      -0.7546      -0.0275      -0.7822
           44      -0.6048      -0.0286      -0.6335
           45      -0.4226      -0.0232      -0.4458
           46      -0.4903      -0.0283      -0.5186
           47      -0.2872      -0.0271      -0.3142
           48      -0.5421      -0.0260      -0.5681
           49      -0.5455      -0.0240      -0.5695
           50      -0.5151      -0.0301      -0.5452
           51      -0.4005      -0.0316      -0.4321
           52      -0.5043      -0.0272      -0.5315
           53      -0.4036      -0.0308      -0.4344
           54      -0.3168      -0.0301      -0.3470
           55      -0.5486      -0.0280      -0.5766
           56      -0.3616      -0.0280      -0.3896
           57      -0.5971      -0.0263      -0.6234
           58      -0.4998      -0.0237      -0.5235
           59      -0.5685      -0.0273      -0.5958
           60      -0.6667      -0.0314      -0.6981
           61      -0.6961      -0.0288      -0.7249
           62      -0.5639      -0.0303      -0.5942
           63      -0.5375      -0.0271      -0.5647
           64      -0.6099      -0.0257      -0.6356
           65      -0.6807      -0.0259      -0.7066
           66      -0.4397      -0.0225      -0.4622
           67      -0.6460      -0.0293      -0.6753
           68      -0.5598      -0.0325      -0.5922
           69      -0.6781      -0.0295      -0.7076
           70      -0.4913      -0.0249      -0.5162
           71      -0.4292      -0.0281      -0.4573
           72      -0.5710      -0.0231      -0.5941
           73      -0.7342      -0.0313      -0.7655
           74      -0.6593      -0.0256      -0.6849
           75      -0.7399      -0.0295      -0.7694
           76      -0.6112      -0.0246      -0.6358
           77      -0.3618      -0.0269      -0.3887
           78      -0.5521      -0.0271      -0.5792
           79      -0.3508      -0.0262      -0.3771
           80      -0.4427      -0.0245      -0.4672
           81      -0.5468      -0.0266      -0.5734
           82      -0.5449      -0.0226      -0.5675
           83      -0.4641      -0.0282      -0.4923
           84      -0.7046      -0.0291      -0.7337
           85      -0.8502      -0.0283      -0.8785
           86      -0.6852      -0.0251      -0.7103
           87      -0.6381      -0.0241      -0.6622
           88      -0.6847      -0.0255      -0.7102
           89      -0.8141      -0.0354      -0.8494
           90      -0.7505      -0.0270      -0.7775
           91      -0.7828      -0.0288      -0.8116
           92      -0.7441      -0.0264      -0.7705
           93      -0.5514      -0.0211      -0.5725
           94      -0.5565      -0.0303      -0.5868
           95      -0.8170      -0.0320      -0.8489
           96      -0.9151      -0.0284      -0.9435
           97      -0.8638      -0.0326      -0.8964
           98      -0.6916      -0.0290      -0.7206
           99      -0.9123      -0.0287      -0.9410
          100      -1.0557      -0.0321      -1.0878
          101      -1.0011      -0.0351      -1.0363
          102      -0.6933      -0.0311      -0.7244
