# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/13/23  16:27:23                  
# N: 49204 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83550
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR/MR-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# And atom 1 (C12) to 53 (H30).
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49204
#        Step         Elec          VDW        Total
            1     -22.2487     -51.4194     -73.6681
            2     -20.1266     -52.3070     -72.4336
            3     -16.8508     -52.4315     -69.2823
            4     -12.8589     -55.3929     -68.2518
            5     -12.4923     -51.2022     -63.6945
            6     -12.5992     -57.9526     -70.5518
            7     -13.5869     -54.2711     -67.8580
            8     -13.4873     -52.9797     -66.4670
            9     -20.3247     -52.9220     -73.2468
           10     -12.3096     -54.1169     -66.4265
           11     -17.2101     -55.0162     -72.2263
           12     -11.7923     -52.5377     -64.3300
           13     -19.1862     -55.9451     -75.1313
           14     -18.2797     -52.1667     -70.4465
           15     -15.6583     -50.1872     -65.8455
           16     -18.4634     -53.7049     -72.1683
           17     -16.7980     -54.8250     -71.6230
           18     -13.8491     -51.4785     -65.3277
           19     -15.2228     -54.8937     -70.1165
           20     -14.4379     -51.2840     -65.7219
           21     -16.1573     -52.7118     -68.8691
           22     -15.2398     -50.9882     -66.2280
           23     -15.4387     -52.1121     -67.5508
           24     -23.5314     -50.4665     -73.9979
           25     -14.8599     -49.3465     -64.2065
           26     -15.2636     -54.0424     -69.3059
           27     -17.9673     -54.9280     -72.8952
           28     -19.3366     -51.2706     -70.6072
           29     -14.8601     -53.7751     -68.6352
           30     -15.4729     -52.9469     -68.4198
           31     -13.1816     -56.6990     -69.8807
           32     -13.6913     -54.0915     -67.7828
           33     -10.4184     -56.4370     -66.8554
           34     -17.0251     -50.0694     -67.0945
           35     -20.6363     -53.1060     -73.7423
           36     -10.2185     -57.2235     -67.4420
           37     -15.1514     -48.8979     -64.0493
           38     -15.3132     -52.2983     -67.6115
           39      -8.2130     -56.9889     -65.2019
           40     -12.8441     -55.3314     -68.1755
           41     -15.8977     -53.5245     -69.4223
           42     -14.7313     -51.9660     -66.6973
           43     -15.1500     -52.5375     -67.6875
           44     -14.1546     -53.0002     -67.1548
           45     -12.8221     -55.3737     -68.1958
           46     -15.1021     -58.0099     -73.1120
           47     -15.8651     -56.1843     -72.0494
           48     -16.8300     -57.4046     -74.2347
           49     -16.8698     -51.3870     -68.2568
           50     -12.4240     -52.7090     -65.1330
           51     -15.2318     -53.6779     -68.9097
           52     -15.5489     -50.0805     -65.6294
           53     -10.0856     -50.4061     -60.4917
           54     -24.0196     -52.2881     -76.3078
           55     -11.9098     -52.0932     -64.0030
           56     -22.4940     -52.9663     -75.4603
           57     -15.8759     -53.2451     -69.1210
           58      -8.7337     -55.0067     -63.7405
           59      -9.1062     -56.8222     -65.9284
           60     -18.4105     -55.6299     -74.0405
           61     -21.2761     -52.0913     -73.3674
           62     -13.4649     -58.8338     -72.2987
           63     -12.8728     -53.6062     -66.4789
           64     -20.9134     -50.5932     -71.5067
           65     -14.4932     -54.5849     -69.0781
           66     -13.5340     -51.4933     -65.0274
           67     -17.9414     -51.5157     -69.4571
           68     -12.2851     -53.2324     -65.5175
           69     -19.2905     -51.6456     -70.9361
           70     -15.0021     -54.2542     -69.2564
           71     -21.1453     -51.9549     -73.1002
           72     -14.1808     -52.3865     -66.5673
           73     -15.1728     -51.2051     -66.3779
           74     -14.9349     -52.4038     -67.3387
           75     -15.4804     -52.3413     -67.8217
