# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/13/23  16:27:23                  
# N: 49204 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83550
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR/MR-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # Protein last residue number: 258
# You selected atom 54 (N) to 4258 (OXT)
# And atom 1 (C12) to 53 (H30).
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49204
#        Step         Elec          VDW        Total
            1     -23.5518     -50.4669     -74.0188
            2     -20.8454     -50.9197     -71.7651
            3     -20.5109     -51.7865     -72.2974
            4     -15.3256     -54.5611     -69.8867
            5     -17.0808     -49.7461     -66.8269
            6     -14.1193     -56.5351     -70.6544
            7     -17.7809     -53.0530     -70.8339
            8     -14.8842     -51.6770     -66.5612
            9     -20.9575     -51.0973     -72.0548
           10     -17.4725     -52.4555     -69.9281
           11     -18.3419     -53.2987     -71.6406
           12     -16.4288     -51.1226     -67.5514
           13     -22.8995     -54.7599     -77.6595
           14     -21.0898     -50.9084     -71.9982
           15     -17.8098     -48.9120     -66.7218
           16     -19.9482     -51.4849     -71.4331
           17     -16.4623     -53.2475     -69.7098
           18     -16.6227     -50.2235     -66.8461
           19     -16.1523     -53.2286     -69.3809
           20     -16.4089     -49.8785     -66.2874
           21     -19.4303     -50.9065     -70.3368
           22     -20.2209     -49.2383     -69.4592
           23     -18.9813     -50.6193     -69.6006
           24     -22.5772     -50.3297     -72.9069
           25     -18.5318     -48.0311     -66.5630
           26     -18.8266     -52.6215     -71.4481
           27     -16.2036     -53.2325     -69.4361
