# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/17/23  10:56:49                  
# N: 49212 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83599
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR_mut/MR_S810L-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 1496 (N) to 1519 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49212
#        Step         Elec          VDW        Total
            1     -14.2410      -0.1597     -14.4008
            2     -10.0958      -0.7275     -10.8233
            3     -15.9039       0.1142     -15.7897
            4     -17.3501       0.5661     -16.7839
            5     -14.9494       0.0553     -14.8941
            6     -11.4164      -0.6514     -12.0678
            7     -14.1767       0.6498     -13.5270
            8     -14.9549       0.1706     -14.7843
            9     -10.9085      -0.6456     -11.5540
           10     -15.1573       0.6511     -14.5062
           11     -10.8593      -0.6573     -11.5167
           12     -16.7959       0.9587     -15.8372
           13     -13.4839      -0.6220     -14.1058
           14     -17.1265       1.2155     -15.9110
           15     -10.6133      -0.6286     -11.2419
           16     -12.8573      -0.1075     -12.9649
           17     -16.7636      -0.0112     -16.7748
           18     -12.0697      -0.7052     -12.7749
           19     -12.7677      -0.5326     -13.3002
           20     -16.3907       0.9049     -15.4858
           21     -16.0678      -0.0213     -16.0891
           22     -10.3280      -0.6703     -10.9984
           23     -13.9680      -0.4924     -14.4604
           24     -16.7946      -0.0715     -16.8661
           25     -15.3666      -0.4206     -15.7872
           26     -16.6047       0.8167     -15.7881
           27     -12.9140      -0.6204     -13.5343
           28     -13.3437       0.2696     -13.0741
           29     -12.7682      -0.6452     -13.4134
           30     -11.2267      -0.6956     -11.9223
