# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/17/23  10:56:49                  
# N: 49212 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83599
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR_mut/MR_S810L-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 707 (N) to 720 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49212
#        Step         Elec          VDW        Total
            1      -1.8826      -2.5581      -4.4407
            2      -1.1776      -2.5912      -3.7687
            3      -1.8372      -2.6575      -4.4947
            4      -1.2670      -2.0969      -3.3639
            5      -1.9218      -2.9041      -4.8259
            6      -1.8467      -3.5668      -5.4135
            7      -1.8834      -3.0145      -4.8978
            8      -1.6832      -3.2165      -4.8997
            9      -1.5845      -3.4243      -5.0089
           10      -2.2663      -2.8238      -5.0901
           11      -0.8687      -3.5856      -4.4542
           12      -1.1785      -4.0337      -5.2121
           13      -1.5659      -3.6086      -5.1745
           14      -2.1425      -2.6318      -4.7743
           15      -2.0178      -2.3352      -4.3530
           16      -1.6498      -2.5534      -4.2032
           17      -1.0766      -3.7508      -4.8274
           18      -1.1769      -3.0050      -4.1819
           19      -1.8724      -2.4316      -4.3040
           20      -2.3926      -2.4994      -4.8920
           21      -2.0931      -2.6015      -4.6946
           22      -1.8913      -3.4122      -5.3035
           23      -1.4388      -3.4788      -4.9176
           24      -1.7250      -2.9670      -4.6920
           25      -1.5050      -2.5756      -4.0806
           26      -1.8711      -1.8101      -3.6812
           27      -1.8711      -2.3698      -4.2409
           28      -1.7017      -2.9730      -4.6748
           29      -2.0847      -2.8132      -4.8979
           30      -1.3913      -3.0640      -4.4553
           31      -1.2971      -3.5098      -4.8070
           32      -2.2736      -3.9452      -6.2188
           33      -0.9515      -3.6599      -4.6114
           34      -1.7783      -2.5524      -4.3307
           35      -1.9694      -2.0532      -4.0226
           36      -1.8818      -2.0741      -3.9559
           37      -1.7067      -3.1481      -4.8547
           38      -1.9560      -2.3817      -4.3377
           39      -1.7237      -2.5226      -4.2463
           40      -1.2646      -3.1693      -4.4339
           41      -1.1787      -1.7426      -2.9212
           42      -2.0866      -1.2132      -3.2998
           43      -1.9254      -3.0072      -4.9326
           44      -1.7839      -2.6404      -4.4243
           45      -2.1771      -2.5951      -4.7723
           46      -1.1826      -3.0159      -4.1985
           47      -1.8559      -1.9883      -3.8442
           48      -1.7731      -2.9092      -4.6823
           49      -0.7530      -1.9660      -2.7189
           50      -1.9568      -2.5056      -4.4624
           51      -0.6496      -3.4235      -4.0731
           52      -1.8150      -3.2526      -5.0676
           53      -1.7137      -2.9277      -4.6414
           54      -1.7780      -2.9828      -4.7608
           55      -1.4252      -2.4217      -3.8469
           56      -2.2832      -2.6782      -4.9614
           57      -2.1479      -3.0614      -5.2093
           58      -2.3434      -2.3997      -4.7431
           59      -1.6406      -2.8708      -4.5114
           60      -1.9077      -3.4095      -5.3173
           61      -1.6267      -3.5877      -5.2144
           62      -1.8144      -2.4694      -4.2838
           63      -1.2931      -3.6095      -4.9026
           64      -1.7665      -2.2023      -3.9688
           65      -1.5128      -3.6821      -5.1950
           66      -2.5706      -2.3020      -4.8727
           67      -1.0180      -3.0599      -4.0779
           68      -2.0573      -2.7342      -4.7914
           69      -2.3481      -2.6368      -4.9848
           70      -1.8320      -2.9383      -4.7704
           71      -1.6028      -1.8927      -3.4955
           72      -1.4618      -1.9596      -3.4213
           73      -1.7183      -1.7544      -3.4727
           74      -1.7822      -1.4269      -3.2091
           75      -1.2260      -3.3487      -4.5747
           76      -1.7160      -3.3717      -5.0877
           77      -2.2132      -2.9361      -5.1493
