# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/17/23  10:56:49                  
# N: 49212 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83599
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR_mut/MR_S810L-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 367 (N) to 380 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49212
#        Step         Elec          VDW        Total
            1       0.1110      -0.0096       0.1015
            2       0.1264      -0.0137       0.1128
            3       0.1236      -0.0106       0.1131
            4       0.1060      -0.0116       0.0943
            5       0.1023      -0.0076       0.0947
            6       0.0559      -0.0069       0.0491
            7       0.1104      -0.0074       0.1030
            8       0.1187      -0.0113       0.1075
            9       0.0602      -0.0102       0.0500
           10       0.1537      -0.0133       0.1404
           11       0.1048      -0.0108       0.0940
           12       0.0881      -0.0134       0.0747
           13       0.1456      -0.0081       0.1375
           14       0.1007      -0.0093       0.0914
           15       0.1214      -0.0118       0.1096
           16       0.1336      -0.0102       0.1234
           17       0.0707      -0.0149       0.0559
           18       0.1206      -0.0096       0.1110
           19       0.0711      -0.0101       0.0610
           20       0.0958      -0.0070       0.0888
           21       0.1333      -0.0114       0.1220
           22       0.0857      -0.0076       0.0781
           23       0.0994      -0.0081       0.0913
           24       0.0494      -0.0059       0.0436
           25       0.0816      -0.0063       0.0753
           26       0.0040      -0.0119      -0.0079
           27       0.0982      -0.0089       0.0893
           28       0.1220      -0.0099       0.1121
           29       0.0935      -0.0095       0.0841
           30       0.0865      -0.0075       0.0790
           31       0.1027      -0.0100       0.0927
           32       0.0938      -0.0186       0.0751
           33       0.0929      -0.0117       0.0812
           34       0.1271      -0.0132       0.1138
           35       0.1068      -0.0106       0.0961
           36       0.0848      -0.0090       0.0758
           37       0.1099      -0.0109       0.0990
           38       0.1196      -0.0116       0.1080
           39       0.1453      -0.0112       0.1341
           40       0.1309      -0.0105       0.1204
           41       0.1059      -0.0112       0.0947
           42       0.2022      -0.0165       0.1857
           43       0.1562      -0.0108       0.1454
           44       0.0977      -0.0114       0.0864
           45       0.1315      -0.0090       0.1225
           46       0.1767      -0.0136       0.1630
           47       0.1055      -0.0132       0.0923
           48       0.1295      -0.0111       0.1184
           49       0.1309      -0.0128       0.1180
           50       0.1188      -0.0112       0.1076
           51       0.1165      -0.0089       0.1076
           52       0.1307      -0.0103       0.1204
           53       0.1502      -0.0115       0.1387
           54       0.1282      -0.0168       0.1115
           55       0.0532      -0.0112       0.0420
           56       0.1187      -0.0154       0.1033
           57       0.0898      -0.0130       0.0768
           58       0.0674      -0.0150       0.0524
           59       0.0926      -0.0130       0.0795
           60       0.1006      -0.0101       0.0905
           61       0.1146      -0.0115       0.1031
           62       0.1158      -0.0109       0.1049
           63       0.1088      -0.0105       0.0982
           64       0.1119      -0.0114       0.1005
           65       0.1029      -0.0135       0.0894
           66       0.1405      -0.0101       0.1304
           67       0.1053      -0.0142       0.0911
           68       0.1262      -0.0113       0.1150
           69       0.1159      -0.0140       0.1019
           70       0.1640      -0.0157       0.1483
           71       0.0696      -0.0172       0.0524
           72       0.1742      -0.0144       0.1597
           73       0.0845      -0.0117       0.0729
           74       0.0804      -0.0131       0.0672
           75       0.1172      -0.0076       0.1096
           76       0.0978      -0.0074       0.0904
           77       0.0848      -0.0087       0.0761
           78       0.1508      -0.0101       0.1407
           79       0.0866      -0.0083       0.0782
           80       0.1387      -0.0095       0.1292
           81       0.1077      -0.0110       0.0966
           82       0.1244      -0.0095       0.1149
           83       0.1273      -0.0085       0.1188
           84       0.1147      -0.0070       0.1077
           85       0.1152      -0.0072       0.1080
           86       0.1176      -0.0105       0.1071
           87       0.1073      -0.0083       0.0990
           88       0.1522      -0.0122       0.1400
           89       0.1166      -0.0096       0.1070
           90       0.1347      -0.0117       0.1230
           91       0.1105      -0.0098       0.1007
           92       0.1174      -0.0086       0.1088
           93       0.1666      -0.0121       0.1545
           94       0.0986      -0.0091       0.0895
           95       0.0932      -0.0074       0.0858
           96       0.0419      -0.0112       0.0307
           97       0.1439      -0.0114       0.1324
           98       0.1121      -0.0113       0.1008
           99       0.1522      -0.0110       0.1413
          100       0.0995      -0.0087       0.0908
          101       0.1446      -0.0103       0.1343
          102       0.1230      -0.0110       0.1120
          103       0.1057      -0.0098       0.0959
          104       0.1233      -0.0115       0.1118
          105       0.1201      -0.0133       0.1068
          106       0.1268      -0.0115       0.1153
          107       0.1132      -0.0107       0.1025
          108       0.0860      -0.0091       0.0769
          109       0.1243      -0.0105       0.1139
          110       0.0930      -0.0089       0.0842
          111       0.1296      -0.0125       0.1171
          112       0.0452      -0.0096       0.0356
          113       0.0850      -0.0091       0.0760
          114       0.1154      -0.0128       0.1026
          115       0.1115      -0.0102       0.1012
          116       0.1008      -0.0095       0.0913
          117       0.1329      -0.0110       0.1219
