# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/17/23  10:56:49                  
# N: 49212 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83599
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR_mut/MR_S810L-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 1935 (N) to 1945 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49212
#        Step         Elec          VDW        Total
            1       0.0710      -0.1747      -0.1037
            2      -0.1828      -0.1200      -0.3028
            3      -0.1778      -0.0795      -0.2572
            4      -0.2848      -0.1191      -0.4039
            5      -0.2284      -0.0873      -0.3156
            6      -0.3079      -0.1289      -0.4368
            7      -0.4692      -0.1167      -0.5858
            8      -0.0725      -0.1401      -0.2126
            9      -0.1951      -0.1118      -0.3069
           10      -0.1948      -0.0947      -0.2895
           11      -0.1209      -0.0992      -0.2201
           12      -0.3608      -0.0960      -0.4568
           13      -0.3358      -0.1063      -0.4421
           14      -0.3319      -0.1225      -0.4544
           15       0.0020      -0.1473      -0.1453
           16      -0.1509      -0.1354      -0.2864
           17      -0.0175      -0.1522      -0.1697
           18      -0.0346      -0.1164      -0.1510
           19       0.0620      -0.1196      -0.0576
           20       0.2510      -0.1897       0.0613
           21      -0.1319      -0.0918      -0.2237
           22      -0.2221      -0.1509      -0.3731
           23      -0.1136      -0.1294      -0.2430
           24      -0.2139      -0.1550      -0.3689
           25      -0.2268      -0.1394      -0.3662
           26      -0.3510      -0.1455      -0.4965
           27      -0.2579      -0.1178      -0.3757
           28      -0.0760      -0.0851      -0.1612
           29      -0.2547      -0.1215      -0.3762
           30      -0.2667      -0.0987      -0.3655
           31      -0.1681      -0.1434      -0.3115
           32      -0.0169      -0.0974      -0.1143
