# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/17/23  10:56:49                  
# N: 49212 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83599
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR_mut/MR_S810L-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # Protein last residue number: 258
# You selected atom 54 (N) to 4266 (OXT)
# And atom 1 (C12) to 53 (H30).
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49212
#        Step         Elec          VDW        Total
            1     -20.1564     -52.2512     -72.4076
            2     -14.3640     -49.2386     -63.6026
            3     -22.4517     -52.5717     -75.0235
            4     -18.5439     -51.6770     -70.2210
            5     -18.0689     -47.6210     -65.6899
            6     -17.9550     -54.9315     -72.8865
            7     -23.6657     -51.2409     -74.9066
            8     -17.7856     -49.7336     -67.5192
            9     -17.0936     -54.7979     -71.8915
           10     -19.8897     -52.3737     -72.2634
           11     -18.1178     -52.8122     -70.9300
           12     -20.8713     -52.3483     -73.2196
           13     -16.4263     -51.6809     -68.1072
           14     -23.9703     -53.6494     -77.6197
           15     -23.9210     -48.3026     -72.2236
           16     -22.8013     -51.8022     -74.6035
           17     -17.7603     -49.7720     -67.5323
           18     -18.4370     -51.2865     -69.7235
           19     -19.9499     -53.2491     -73.1990
           20     -26.6754     -50.3816     -77.0570
           21     -22.8972     -50.4880     -73.3852
           22     -21.7874     -54.2259     -76.0133
           23     -23.2022     -52.3535     -75.5557
           24     -23.9595     -51.0449     -75.0045
           25     -22.1472     -52.4018     -74.5489
           26     -24.2218     -50.7381     -74.9599
           27     -22.1018     -52.2024     -74.3043
           28     -21.0495     -50.9243     -71.9738
           29     -22.4077     -54.7902     -77.1979
           30     -20.1684     -49.0773     -69.2458
           31     -21.9533     -55.3186     -77.2718
           32     -22.4924     -55.6854     -78.1778
           33     -14.6254     -55.4982     -70.1236
           34     -18.7791     -53.7814     -72.5605
           35     -21.3187     -49.9647     -71.2834
           36     -17.2331     -50.5913     -67.8243
           37     -20.8906     -54.1275     -75.0180
           38     -18.0413     -54.7961     -72.8374
           39     -16.8810     -53.9718     -70.8528
           40     -13.3737     -52.8393     -66.2130
           41     -18.2684     -48.8761     -67.1445
           42     -15.3013     -51.7341     -67.0354
           43     -15.7430     -55.0671     -70.8101
           44     -18.8755     -50.3833     -69.2588
           45     -20.0622     -56.1648     -76.2269
           46     -14.9037     -52.8730     -67.7767
           47     -16.9504     -52.2246     -69.1750
           48     -18.7530     -55.6217     -74.3747
           49     -16.6779     -54.1873     -70.8652
           50     -17.1134     -52.0434     -69.1567
           51     -18.7949     -50.0454     -68.8403
           52     -18.1769     -49.1669     -67.3438
           53     -18.4485     -56.7959     -75.2444
           54     -11.5584     -50.9544     -62.5128
           55     -17.1981     -52.2923     -69.4904
           56     -18.3162     -52.5294     -70.8456
           57     -16.0253     -54.6131     -70.6384
           58     -21.3733     -51.4093     -72.7826
           59     -20.7594     -56.0887     -76.8481
           60     -15.9094     -55.8048     -71.7143
           61     -17.0312     -54.9920     -72.0233
           62     -18.6910     -53.9722     -72.6633
           63     -20.8466     -52.3178     -73.1644
           64     -17.5351     -52.8040     -70.3391
           65     -21.0702     -52.5232     -73.5933
           66     -24.4035     -49.1152     -73.5186
           67     -15.4123     -54.4234     -69.8357
           68     -20.5918     -49.9146     -70.5064
           69     -12.1004     -53.8998     -66.0002
           70     -16.1013     -51.7815     -67.8828
           71     -10.7811     -52.5398     -63.3209
           72     -18.7601     -50.9079     -69.6680
           73     -18.8684     -52.0796     -70.9480
           74     -21.4322     -45.9951     -67.4273
           75     -20.8809     -55.4772     -76.3581
           76     -16.5727     -55.0861     -71.6588
           77     -19.4406     -50.6979     -70.1385
           78     -20.3996     -52.0356     -72.4352
           79     -22.7354     -49.0739     -71.8094
           80     -19.1274     -54.5255     -73.6529
           81     -13.5965     -54.3263     -67.9228
           82     -17.3057     -52.6240     -69.9297
           83     -20.0395     -54.2059     -74.2453
           84     -14.1563     -51.0628     -65.2191
           85     -19.4726     -52.0779     -71.5505
           86     -16.3685     -54.6970     -71.0655
           87     -12.2255     -48.3762     -60.6018
           88      -9.7312     -50.2656     -59.9968
           89     -13.3939     -54.6109     -68.0049
           90     -14.5170     -55.2508     -69.7678
           91      -9.4817     -53.4537     -62.9354
           92     -11.5852     -54.4476     -66.0328
           93      -9.1600     -47.8430     -57.0030
           94      -8.8468     -51.2614     -60.1082
           95      -9.4120     -54.8541     -64.2661
           96      -7.8291     -50.0062     -57.8352
           97      -7.5986     -54.9319     -62.5305
           98     -11.7849     -53.6777     -65.4626
           99      -8.3941     -49.5505     -57.9446
          100     -11.6829     -49.3802     -61.0630
          101      -7.8814     -49.8702     -57.7516
          102     -10.8088     -50.0518     -60.8606
          103     -11.5722     -51.7096     -63.2818
          104      -9.5283     -51.3385     -60.8668
