# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/17/23  10:56:49                  
# N: 49212 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83599
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR_mut/MR_S810L-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 803 (N) to 819 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49212
#        Step         Elec          VDW        Total
            1      -6.3581      -1.4367      -7.7948
            2      -2.7122      -0.9985      -3.7107
            3      -3.7067      -1.5205      -5.2273
            4      -3.0548      -1.7861      -4.8409
            5      -5.4212      -1.8429      -7.2641
            6      -1.5182      -1.4735      -2.9917
            7      -2.8797      -1.1480      -4.0277
            8      -3.4362      -2.4471      -5.8833
            9      -4.7811      -2.2158      -6.9969
           10      -4.0495      -2.1317      -6.1812
           11      -5.6898      -1.6197      -7.3095
           12      -2.1507      -1.2196      -3.3703
           13      -1.6417      -2.1717      -3.8134
           14      -3.8392      -1.6621      -5.5013
           15      -5.4214      -1.3084      -6.7297
           16      -5.9324      -0.8667      -6.7991
           17       4.4550      -1.4343       3.0207
           18      -3.8025      -1.7642      -5.5666
           19      -6.1537      -0.0746      -6.2283
           20      -3.5000      -2.1173      -5.6173
           21      -4.6856      -0.6326      -5.3182
           22      -5.9272      -1.9585      -7.8858
           23      -3.7275      -1.9635      -5.6909
           24      -0.3624      -1.6416      -2.0039
           25      -2.2960      -2.2134      -4.5094
           26      -4.6322      -2.0868      -6.7190
           27      -6.9161      -0.2073      -7.1234
