# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/17/23  10:56:49                  
# N: 49212 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83599
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR_mut/MR_S810L-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 1335 (N) to 1351 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49212
#        Step         Elec          VDW        Total
            1      -0.2990      -2.7252      -3.0242
            2      -1.3281      -1.4864      -2.8145
            3      -1.1806      -3.3915      -4.5721
            4      -1.3046      -2.7198      -4.0244
            5      -0.8371      -2.7590      -3.5961
            6      -0.7509      -3.6033      -4.3542
            7      -1.1121      -3.7898      -4.9019
            8      -0.4215      -3.3178      -3.7393
            9      -0.7005      -3.8560      -4.5565
           10      -1.0212      -2.5119      -3.5331
           11      -0.6818      -3.0252      -3.7070
           12      -1.0353      -3.7746      -4.8100
           13      -0.6100      -3.0480      -3.6580
           14      -1.2762      -3.2904      -4.5667
           15      -0.8986      -2.9138      -3.8124
           16      -0.8201      -3.2628      -4.0829
           17      -0.9467      -4.0191      -4.9658
           18      -0.9084      -3.5609      -4.4693
           19      -0.3309      -3.2395      -3.5704
           20      -0.7101      -2.9767      -3.6868
           21      -0.9433      -4.0666      -5.0100
           22      -0.9736      -3.2273      -4.2009
           23      -0.9584      -2.9232      -3.8816
           24      -1.1672      -3.5310      -4.6982
           25      -0.5217      -2.2147      -2.7364
           26      -1.0252      -3.1974      -4.2226
           27      -1.2750      -3.4105      -4.6855
           28      -0.7665      -3.6230      -4.3895
           29      -1.6059      -3.5741      -5.1799
           30      -1.2603      -3.1854      -4.4456
           31      -0.9825      -4.0375      -5.0199
           32      -0.6756      -3.6512      -4.3269
           33      -1.0164      -3.6027      -4.6190
           34      -0.7544      -3.5417      -4.2961
           35      -1.2544      -3.7143      -4.9687
           36      -0.9843      -2.7816      -3.7659
           37      -0.7977      -3.7627      -4.5604
           38      -0.7578      -4.0767      -4.8345
           39      -1.0553      -3.4307      -4.4860
           40      -1.1946      -3.8191      -5.0138
           41      -1.4057      -3.7287      -5.1344
           42      -1.2580      -4.0416      -5.2996
           43      -1.1926      -3.6657      -4.8583
           44      -1.2853      -3.1947      -4.4800
           45      -0.7774      -3.9038      -4.6812
           46      -0.9900      -3.3428      -4.3329
           47      -1.0502      -3.4840      -4.5343
           48      -0.7251      -3.6743      -4.3994
           49      -0.7417      -3.0863      -3.8280
           50      -0.9119      -3.3065      -4.2183
           51      -1.3225      -1.8965      -3.2191
           52      -0.7301      -2.9065      -3.6366
           53      -0.7989      -3.8813      -4.6802
           54      -0.8584      -3.8387      -4.6971
           55      -1.2769      -3.0217      -4.2986
           56      -1.0266      -2.4088      -3.4354
           57      -1.0276      -3.6306      -4.6582
           58      -1.0870      -3.1191      -4.2061
           59      -1.2688      -3.6947      -4.9634
           60      -1.1374      -3.6044      -4.7418
           61      -1.2208      -3.3159      -4.5368
           62      -1.4260      -3.8035      -5.2294
           63      -0.4903      -2.7124      -3.2027
           64      -0.7304      -3.3660      -4.0964
           65      -1.0335      -3.6291      -4.6626
           66      -1.7974      -1.2230      -3.0205
           67      -1.0591      -3.3810      -4.4400
           68      -1.0421      -3.7476      -4.7897
           69      -1.1233      -3.9478      -5.0710
           70      -0.9109      -4.0937      -5.0046
           71      -0.9047      -3.0309      -3.9356
           72      -1.2446      -3.2449      -4.4894
           73      -1.4227      -3.4859      -4.9086
           74      -1.0352      -3.2447      -4.2799
           75      -1.0780      -3.2479      -4.3259
           76      -1.3688      -3.9416      -5.3105
           77      -0.8008      -3.1827      -3.9835
           78      -0.8255      -3.2112      -4.0366
           79      -0.9170      -2.9687      -3.8856
           80      -1.0376      -3.8511      -4.8886
           81      -0.9796      -3.4286      -4.4082
           82      -1.0541      -2.6718      -3.7259
           83      -1.0918      -3.8739      -4.9657
           84      -1.1727      -4.1051      -5.2778
           85      -0.9453      -3.4999      -4.4452
           86      -1.4650      -3.7681      -5.2330
           87      -1.3373      -3.6545      -4.9918
           88      -1.1839      -4.0010      -5.1849
           89      -1.0962      -3.3496      -4.4459
           90      -1.3722      -3.5284      -4.9006
           91      -1.1404      -3.5928      -4.7332
           92      -1.0449      -3.6001      -4.6449
           93      -0.9473      -3.6325      -4.5797
           94      -1.3132      -3.1124      -4.4257
           95      -1.1620      -4.1904      -5.3524
           96      -1.3970      -2.6690      -4.0660
           97      -0.8108      -3.4268      -4.2377
           98      -1.0223      -3.8233      -4.8456
           99      -0.8449      -3.3569      -4.2019
          100      -1.1850      -4.0094      -5.1944
          101      -1.1190      -4.0662      -5.1852
          102      -1.1740      -3.1985      -4.3725
          103      -0.9041      -3.6279      -4.5321
          104      -1.1065      -3.8223      -4.9288
          105      -0.7846      -3.1418      -3.9264
          106      -1.2523      -3.4499      -4.7021
          107      -1.5231      -3.8939      -5.4170
          108      -1.1600      -3.6976      -4.8576
          109      -1.1751      -3.3441      -4.5192
          110      -0.6692      -3.6789      -4.3481
          111      -1.1234      -3.6291      -4.7525
          112      -1.0528      -3.7534      -4.8061
          113      -0.9660      -3.7207      -4.6867
          114      -1.1707      -3.6004      -4.7711
          115      -1.0783      -3.2970      -4.3753
          116      -1.1541      -0.7507      -1.9048
          117      -0.6603      -3.6796      -4.3400
          118      -1.3887      -3.4850      -4.8738
          119      -1.5337      -3.7032      -5.2370
          120      -1.1885      -2.1588      -3.3473
          121      -0.9560      -3.7364      -4.6924
          122      -0.6372      -3.2035      -3.8407
