# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/17/23  10:56:49                  
# N: 49212 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83599
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR_mut/MR_S810L-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# Define your second residue: # You selected atoms 3663 (N) to 3686 (O)
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49212
#        Step         Elec          VDW        Total
            1      -0.4237      -0.0302      -0.4539
            2      -0.5999      -0.0304      -0.6303
            3      -0.5823      -0.0269      -0.6092
            4      -0.3481      -0.0276      -0.3757
            5      -0.6447      -0.0266      -0.6713
            6      -0.5843      -0.0301      -0.6143
            7      -0.6990      -0.0263      -0.7254
            8      -0.5129      -0.0284      -0.5413
            9      -0.5594      -0.0337      -0.5931
           10      -0.6146      -0.0247      -0.6394
           11      -0.1385      -0.0246      -0.1631
           12      -0.4822      -0.0279      -0.5101
           13      -0.5466      -0.0262      -0.5727
           14      -0.5938      -0.0273      -0.6212
           15      -0.3877      -0.0295      -0.4172
           16      -0.5126      -0.0310      -0.5437
           17      -0.5725      -0.0299      -0.6024
           18      -0.6995      -0.0284      -0.7279
           19      -0.5908      -0.0303      -0.6212
           20      -0.5541      -0.0325      -0.5866
           21      -0.5584      -0.0240      -0.5824
           22      -0.6719      -0.0280      -0.6999
           23      -0.6237      -0.0285      -0.6522
           24      -0.5130      -0.0292      -0.5421
           25      -0.4181      -0.0223      -0.4405
           26      -0.6244      -0.0264      -0.6509
           27      -0.4950      -0.0278      -0.5228
           28      -0.5678      -0.0296      -0.5974
           29      -0.7150      -0.0264      -0.7414
           30      -0.5182      -0.0268      -0.5450
           31      -0.6956      -0.0283      -0.7240
           32      -0.3837      -0.0288      -0.4125
           33      -0.1372      -0.0267      -0.1638
           34      -0.4474      -0.0280      -0.4754
           35      -0.4157      -0.0215      -0.4373
           36      -0.3107      -0.0242      -0.3350
           37      -0.6424      -0.0256      -0.6679
           38      -0.6456      -0.0299      -0.6756
           39      -0.6000      -0.0292      -0.6292
           40      -0.8821      -0.0373      -0.9194
           41      -0.4772      -0.0257      -0.5029
           42      -0.7735      -0.0296      -0.8031
           43      -0.4079      -0.0256      -0.4335
           44      -0.6296      -0.0260      -0.6556
           45      -0.7190      -0.0283      -0.7473
           46      -0.5710      -0.0271      -0.5981
           47      -0.5787      -0.0290      -0.6076
           48      -0.9393      -0.0276      -0.9668
           49      -0.7031      -0.0303      -0.7334
           50      -0.3124      -0.0203      -0.3326
           51      -0.6370      -0.0264      -0.6634
           52      -0.5816      -0.0255      -0.6072
           53      -0.6796      -0.0311      -0.7107
           54      -0.6107      -0.0266      -0.6373
           55      -0.6359      -0.0249      -0.6608
           56      -0.6174      -0.0226      -0.6400
           57      -0.6007      -0.0345      -0.6352
           58      -0.7236      -0.0278      -0.7513
           59      -0.5554      -0.0232      -0.5786
           60      -0.6655      -0.0302      -0.6957
           61      -0.4689      -0.0292      -0.4981
           62      -0.5818      -0.0256      -0.6074
           63      -0.6760      -0.0311      -0.7071
           64      -0.8187      -0.0248      -0.8436
           65      -0.6972      -0.0279      -0.7251
           66      -0.6600      -0.0215      -0.6815
           67      -0.5195      -0.0260      -0.5455
           68      -0.6713      -0.0286      -0.6999
           69      -0.4794      -0.0212      -0.5006
           70      -0.5257      -0.0292      -0.5549
           71      -0.5998      -0.0214      -0.6212
           72      -0.7564      -0.0277      -0.7841
           73      -0.6853      -0.0274      -0.7127
           74      -0.6535      -0.0280      -0.6815
           75      -0.4791      -0.0218      -0.5010
           76      -0.7184      -0.0295      -0.7479
           77      -0.5842      -0.0295      -0.6137
           78      -0.4484      -0.0230      -0.4714
           79      -0.6419      -0.0250      -0.6669
           80      -0.6369      -0.0278      -0.6647
           81      -0.5107      -0.0243      -0.5350
           82      -0.6139      -0.0250      -0.6389
           83      -0.6914      -0.0288      -0.7202
           84      -0.6422      -0.0253      -0.6675
