# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 03/17/23  10:56:49                  
# N: 49212 Ntypes: 23 Nres: 15294 NPH: 1 NNB:83599
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/STR_mut/MR_S810L-STR.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 53 (H30)
# And atom 1 (C12) to 53 (H30).
# NetCDF Frame dimension: 1000
# NetCDF number of atoms: 49212
#        Step         Elec          VDW        Total
            1     -17.5725     -53.4923     -71.0648
            2     -11.4004     -50.7395     -62.1399
            3     -21.8736     -54.0292     -75.9028
            4     -18.7815     -53.0730     -71.8546
            5     -17.0208     -49.1249     -66.1457
            6     -17.4206     -56.3534     -73.7739
            7     -22.6733     -52.7486     -75.4219
            8     -16.8800     -51.2402     -68.1202
            9     -16.8117     -56.0390     -72.8507
           10     -19.6158     -53.5464     -73.1622
           11     -16.9172     -54.3928     -71.3100
           12     -18.2443     -53.5591     -71.8034
           13     -16.5892     -52.8457     -69.4349
           14     -22.9381     -55.0699     -78.0081
           15     -23.5356     -49.8739     -73.4096
           16     -20.8938     -53.3176     -74.2114
           17     -22.3432     -50.1566     -72.4999
           18     -17.6318     -52.7320     -70.3638
           19     -18.0750     -54.7931     -72.8681
           20     -25.3639     -51.3475     -76.7114
           21     -20.3907     -51.2071     -71.5978
           22     -21.0981     -55.6547     -76.7528
           23     -21.1472     -53.7992     -74.9464
           24     -21.3075     -51.6271     -72.9347
           25     -21.0526     -53.7401     -74.7926
           26     -22.2938     -51.7133     -74.0071
           27     -21.9169     -53.7563     -75.6732
           28     -18.6387     -51.6708     -70.3095
           29     -20.1565     -55.8999     -76.0564
           30     -16.2713     -50.1546     -66.4259
           31     -20.2716     -56.6881     -76.9597
           32     -25.0608     -56.7273     -81.7881
           33     -14.6512     -56.3105     -70.9617
           34     -20.0015     -53.1533     -73.1548
           35     -17.6158     -50.9639     -68.5797
